,Sample_id,User code,Carbon source,Timepoint-tag,Sebacoyl-l-carnitine (c10-dc),Deoxycarnitine (deoxy-c0),Glutarylcarnitine (c5-dc),Phenylalanine,Leucine,Isoleucine,Methionine,Gamma-aminobutyrate,Proline,Tyrosine,Valine,Pipecolic acid,Alpha-aminobutyrate,Beta-alanine,Alanine,Creatine,Alpha-aminoadipate,Glycine,Glutamine,Glutamate,Serine,Asparagine,Aspartate,Lysine,Pyruvate,Lactate,Hexoses,NAD,Glutarate,Succinate,Malate,Cis-aconitate,Citrate,Isocitrate,Trans-aconitate,Hours,Timepoint,Bioreactor
11,SM_MPTA_112023_83_Galactose-T18_M2_11,#83: Galactose-T18 M2,Galactose,T4,0.08667941766414719,4.18119107572062,0.1640226387364782,3.5002637659161997,6.83407136248258,8.03611097703204,0.681011257869654,ND,0.44810480143112796,1.399998775525094,8.4836401046341,0.0376346160857612,ND,ND,ND,0.01090099490528796,0.074682826646588,ND,ND,0.36963694067441,1.068590884064294,ND,0.358644067293734,ND,3.4060554752997803,2.61369940881184,6699.08182120806,ND,ND,ND,3.0607444368579797,0.25663593355147596,ND,0.2976604758421,0.0320147408430266,18.0,4,REL02
12,SM_MPTA_112023_93_Galactose-T20_M3_12,#93: Galactose-T20 M3,Galactose,T4,0.088797575378224,3.1067400270729197,ND,2.7573119838478197,5.90951947532386,6.0535445957725,1.098736441761368,0.379876000765466,0.780464255675842,1.619012814613292,4.97671484719936,0.0517008716739172,ND,0.0305062593852936,ND,0.00710358004154628,0.079438182193942,ND,ND,6.309611904005,ND,ND,0.44052483836037004,ND,ND,ND,8668.60655231628,ND,ND,30.2594160452508,3.7612463434195,0.297868359111042,ND,0.405468509330726,0.0213460515696412,20.0,4,REL03
13,SM_MPTA_112023_31_L-malate-T6_M5_13,#31: L-malate-T6 M5,L-malate,T1,0.0953822119062262,ND,0.402533207973646,ND,ND,0.1491821436527386,0.0319024852844254,0.87261979525305,0.01737311941456662,ND,ND,ND,ND,0.0584263592262968,ND,ND,ND,ND,ND,4.92727537919582,ND,0.1633316015054502,6.12125871144434,ND,105.19999229425659,ND,ND,ND,4.27791018035556,914.13411376716,25626.3537071928,0.0457741474346468,ND,ND,ND,6.0,1,REL04
14,SM_MPTA_112023_32_L-malate-T6_M6_14,#32: L-malate-T6 M6,L-malate,T1,0.0808780785203548,ND,0.366364887459372,ND,ND,ND,0.0255589418472442,0.43463275900453,ND,ND,ND,ND,ND,0.045619578627828,ND,ND,ND,ND,ND,3.7544895877454203,ND,0.1957164363211488,7.459067757487619,ND,64.1434289765744,1.026115462619084,ND,0.053547593299386,3.43903976686578,690.47406810438,19546.28873392188,0.0604963224697036,ND,ND,ND,6.0,1,REL05
15,SM_MPTA_112023_33_L-malate-T6_M7_15,#33: L-malate-T6 M7,L-malate,T1,0.0745730836852582,ND,ND,0.00363835120318658,ND,0.1868663507677368,0.016115935890012558,0.639285733968654,ND,ND,ND,ND,ND,0.0791475827218304,ND,ND,ND,ND,ND,6.3693226890199,ND,0.1613767232976466,8.22536145311758,ND,69.70350488572879,ND,ND,ND,4.26866802482666,1095.958300851612,23585.6902309694,0.028259968751971797,ND,ND,0.001563957403287536,6.0,1,REL06
16,SM_MPTA_112023_127_L-malate-T9_M5_16,#127: L-malate-T9 M5,L-malate,T2,0.10404058049621241,0.41995323131361395,0.246991257233602,ND,ND,ND,0.0692860169838478,1.7403670650592382,0.01016856537813458,0.006823661695923281,ND,0.01573208286487044,ND,0.1686494908034104,ND,0.00255172953299788,0.002777957099045,ND,0.05747899891117521,6.28388047514936,ND,0.448760103695198,6.7210023720384395,ND,140.5286823980336,ND,ND,0.0543719326852216,3.68276410722198,366.092222410898,9813.990710673399,0.338764072654146,ND,0.0534911660419818,0.012891715925655661,9.25,2,REL04
17,SM_MPTA_112023_50_L-malate-T10_M6_17,#50: L-malate-T10 M6,L-malate,T2,0.0945089659827974,0.793163505577928,0.1598588244953644,0.016194156349102783,0.0691928768132704,0.09412283058344159,0.047464416224419395,0.434310135941326,ND,ND,ND,0.01172839973970314,ND,0.1132460279289054,ND,ND,0.0239891818856204,ND,ND,6.05310286042712,ND,0.290557656479286,7.57820069283468,ND,282.886532851602,ND,ND,0.0251638233885898,3.77222586723422,385.77125661512,10379.07677453302,0.322699415322084,ND,0.036605450142755604,0.00863747322102526,10.0,2,REL05
18,SM_MPTA_112023_129_L-malate-T9_M7_18,#129: L-malate-T9 M7,L-malate,T2,0.074217061058818,0.1911460599894852,0.1619520000267074,0.0062367391033136595,0.055951443022438596,0.1557458037158952,0.0229103065663042,1.6952151638117818,ND,ND,ND,0.00733963193438706,ND,0.369626820444144,ND,ND,ND,ND,ND,1.911939068495244,ND,0.244496501235888,6.12250883546628,ND,110.9691541233738,ND,ND,0.05106390943910279,3.0743265308937597,1008.579825505818,13253.9608651513,0.264970111687884,ND,ND,0.00806139015437852,9.25,2,REL06
19,SM_MPTA_112023_49_L-malate-T10_M5_19,#49: L-malate-T10 M5,L-malate,T3,0.0746060824714022,0.8181405152413561,0.1958660712245196,ND,ND,0.0989124380113074,ND,1.036829779807868,0.01610234520214766,ND,ND,0.020603185110232798,ND,0.205276592281438,1.193908219570364,ND,0.01793501100131412,ND,0.12470466887571281,5.71214863953236,ND,0.1959205649491934,4.4758606886116,0.0769772422107842,58.4570074692914,1.118748222063428,ND,0.054508070795432795,4.39748835072064,280.403508958898,2636.3927678135396,0.640556617947732,23.575848301989602,0.535788687104786,0.013153056617573619,10.0,3,REL04
20,SM_MPTA_112023_134_L-malate-T11_M6_20,#134: L-malate-T11 M6,L-malate,T3,0.1136637981460924,1.010589860697074,0.16980027879570042,0.0223385615611866,ND,ND,0.0640475022341912,0.290456994158628,0.014245500441164242,ND,ND,0.012500550981062,ND,0.1784734271157172,ND,0.001425202773127522,0.0551586647494998,ND,ND,7.1047437553621196,ND,0.1128050346855088,4.19689005358002,ND,252.98573060998802,1.2381406937955861,ND,ND,3.4025166724376597,825.2185996223039,4473.85014971928,0.557192424052252,5.14633018944482,0.47612099631486,0.01981871408993758,11.0,3,REL05
21,SM_MPTA_112023_51_L-malate-T10_M7_21,#51: L-malate-T10 M7,L-malate,T3,0.0797401245040142,0.5857278592787319,0.25240962692021596,ND,0.0725134830821984,0.1211431494903658,0.01323165984918708,1.25180021200564,0.01926451848150532,ND,ND,0.024436968044864598,ND,0.31956489525988,ND,0.001324797610716666,0.0358301851575736,ND,ND,5.26004455976706,ND,0.1173640552114692,5.57464126289834,ND,93.659412252629,1.042649984737164,ND,0.0449691006372158,3.30582306688286,911.1298064522219,7139.69214075676,0.48325658198800003,0.1089767864704128,0.1537811423888874,0.013928707115475562,10.0,3,REL06
