,Carbon source,Metabolite,Slope,Intercept,r,p-value,Std. Err,N,T3_pval,Fitted on,Comment,Rate [mmol/gDW/h],Std. Err [mmol/gDW/h],Rate [1/gDW/h],Std. Err [1/gDW/h]
37,L-malate,Acetate,614.0630198971179,122.13725132194975,0.6314151279036081,0.05022877290454849,266.62690016493616,10,0.6070648972690065,Concentration [uM],,0.6140630198971179,0.2666269001649362,,
38,L-alanine,Acetate,2114.485185426341,1046.365767288146,0.8943142427821249,0.0065834351833132295,473.11175770392856,7,0.0014617327073880675,Concentration [uM],,2.114485185426341,0.47311175770392855,,
39,Galactose,Adenosine,0.3985750505036451,-1.1712883120850797,0.9611167520745224,6.557047851699758e-07,0.03621320430323837,12,0.949244863299046,Z-score,,,,0.3985750505036451,0.03621320430323837
40,L-malate,Adenosine,0.5110748639321123,0.22209398622708576,0.2656223915122971,0.40403852091748493,0.5865859106461403,12,0.291875301507112,Z-score,,,,0.5110748639321123,0.5865859106461403
41,L-alanine,Adenosine,0.641724085394899,-1.1762325281268846,0.9645610572942929,4.147899890998171e-07,0.05551262440933281,12,0.9875146411756743,Z-score,,,,0.641724085394899,0.05551262440933281
42,Galactose,"Adenosine 3',5'-cyclic phosphate",0.6713483726617608,-0.6535298800293031,0.8491587608989225,0.0037747457341666857,0.15781823108184162,9,0.4878655971643012,Z-score,,,,0.6713483726617608,0.15781823108184162
43,L-malate,"Adenosine 3',5'-cyclic phosphate",0.9167285281480739,-1.5096263372310963,0.982754358812284,3.7903498281634234e-07,0.06098526341135212,10,0.9881413972669948,Z-score,,,,0.9167285281480739,0.06098526341135212
44,L-alanine,"Adenosine 3',5'-cyclic phosphate",1.2264724110939524,-1.7129817636842315,0.9818285056564706,2.616415051121018e-06,0.08959865358691373,9,0.994005336689977,Z-score,,,,1.2264724110939524,0.08959865358691373
45,Galactose,Adipate,-0.4064320858165582,0.561039032157723,-0.5706683161945012,0.052656130091814336,0.18494514559442693,12,0.08264183933589395,Z-score,,,,-0.4064320858165582,0.18494514559442693
46,L-malate,Adipate,-0.3250051311718427,0.07694861419664789,-0.29653284391970625,0.37590912758333217,0.34890712195989,11,0.7212726864137493,Z-score,,,,-0.3250051311718427,0.34890712195989
47,L-alanine,Adipate,-0.42182431897537526,0.09671421200091893,-0.41552257607586734,0.17915969388261027,0.29199758514052826,12,0.05585927470224584,Z-score,,,,-0.42182431897537526,0.29199758514052826
48,Galactose,Aicar,0.3202859655745922,-0.7060885524030307,0.45340600636678946,0.22029409151868298,0.23797291081095065,9,0.1777160914043593,Z-score,,,,0.3202859655745922,0.23797291081095065
49,L-malate,Aicar,1.16239352230615,-1.0123333487135022,0.46067869527144967,0.21204665118450916,0.8464614199927133,9,0.16175255829335294,Z-score,,,,1.16239352230615,0.8464614199927133
50,L-alanine,Aicar,0.8752827304168805,-0.830025298823625,0.7121850835458209,0.03134934658884361,0.32609074289059153,9,0.07705564299819788,Z-score,,,,0.8752827304168805,0.32609074289059153
51,Galactose,Alanine,-0.5832213060638046,3.49157182142567,-0.9693889815101283,0.1579239982006264,0.14772021932867033,3,,Concentration [uM],,-0.0005832213060638046,0.00014772021932867033,,
52,L-malate,Alanine,-2.4235603365261538,4.662757846142727,-0.985022298743848,0.014977701256152057,0.29998397342212685,4,,Concentration [uM],,-0.0024235603365261537,0.00029998397342212684,,
53,L-alanine,Alanine,-17252.09652088157,39806.57256909442,-0.9938832269415504,6.674669529356694e-11,606.2022748175045,12,0.006463244503003323,Concentration [uM],,-17.25209652088157,0.6062022748175045,,
54,Galactose,Allantoin,0.8954528216031489,-1.203553015883815,0.9346614924776596,0.00022014741255404753,0.12874383380936238,9,0.9299177440533974,Z-score,,,,0.8954528216031489,0.12874383380936238
55,L-malate,Allantoin,1.4426600438530621,-1.4197375996988237,0.9557008685008656,5.768539210694653e-05,0.16793523378575034,9,0.9736764651989172,Z-score,,,,1.4426600438530621,0.16793523378575034
56,L-alanine,Allantoin,0.7922012101960356,-1.677356535259849,0.9979120557008162,1.3666940445309266e-09,0.01937946797782879,9,0.9959037510948258,Z-score,,,,0.7922012101960356,0.01937946797782879
57,Galactose,Alpha-aminoadipate,0.028487276957775642,-0.04812516761867107,0.7736816679965327,0.22631833200346718,0.016495722382413477,4,0.8500269468529273,Concentration [uM],,2.8487276957775643e-05,1.6495722382413477e-05,,
58,L-malate,Alpha-aminoadipate,0.04220041571529238,-0.023607509470326686,0.5143307293833561,0.3752767813046316,0.040625087526692964,5,0.87667542456099,Concentration [uM],,4.220041571529238e-05,4.0625087526692963e-05,,
59,L-alanine,Alpha-aminoadipate,0.7399225090820299,-0.9303913200761438,0.7172623460578893,0.029618257371651826,0.27168729851258233,9,0.579478825581518,Z-score,Rate scaled for slope estimated on Z-scores,6.407048415693967e-05,2.352562132024874e-05,0.7399225090820299,0.27168729851258233
60,Galactose,Alpha-aminobutyrate,,,,,,0,,,Not sufficient data,,,,
61,L-malate,Alpha-aminobutyrate,,,,,,0,,,Not sufficient data,,,,
62,L-alanine,Alpha-aminobutyrate,187.59813953988308,52.17193980500548,0.9454068697932424,3.483443806392223e-06,20.449561220936488,12,0.9863404122615214,Concentration [uM],,0.18759813953988308,0.02044956122093649,,
63,Galactose,Alpha-glucose (cl adduct),-0.6408134444169526,0.9613432374617538,-0.9521405056099231,1.824442061185274e-06,0.06505342447307265,12,0.0009213900373702565,Z-score,,,,-0.6408134444169526,0.06505342447307265
64,L-malate,Alpha-glucose (cl adduct),,,,,,0,,,Not sufficient data,,,,
65,L-alanine,Alpha-glucose (cl adduct),,,,,,0,,,Not sufficient data,,,,
66,Galactose,Anthranilate,0.364198910979601,-1.4214215921204167,0.6641854775010281,0.05103871088695924,0.15493546790460125,9,0.9356191077387159,Z-score,,,,0.364198910979601,0.15493546790460125
67,L-malate,Anthranilate,1.8561516792200834,-1.7239889359049545,0.8843682743146069,0.0015432825124229086,0.370299123118374,9,0.8811871557351271,Z-score,,,,1.8561516792200834,0.370299123118374
68,L-alanine,Anthranilate,0.3731260826855749,-0.5955034449926374,0.5829506985663035,0.09946161030486647,0.19656317343641586,9,0.5335680971294853,Z-score,,,,0.3731260826855749,0.19656317343641586
69,Galactose,Arginine,0.03971692941548631,-0.36983930959602074,0.48558364753111954,0.10951558423592207,0.0226108844183684,12,0.8782509728328867,Z-score,,,,0.03971692941548631,0.0226108844183684
70,L-malate,Arginine,0.19165532249424513,-0.5254954428368308,0.7968776365559946,0.01013117076926934,0.054918459689236705,9,0.9850722929610035,Z-score,,,,0.19165532249424513,0.054918459689236705
71,L-alanine,Arginine,0.22580886080753776,-0.48043257530030514,0.9646595252684563,4.0912745540510874e-07,0.019505036234281466,12,0.9955063960093334,Z-score,,,,0.22580886080753776,0.019505036234281466
72,Galactose,Asparagine,-0.1275852261206179,0.7905782955708764,-0.6837605510492542,0.0422619637854623,0.05146304912611781,9,0.17058192089944416,Concentration [uM],,-0.0001275852261206179,5.146304912611781e-05,,
73,L-malate,Asparagine,0.27892907383129945,0.08155206947879247,0.9122899414728917,0.001577873943580937,0.05111952900929199,8,0.025559481672513405,Concentration [uM],,0.00027892907383129944,5.111952900929199e-05,,
74,L-alanine,Asparagine,5.821160413559797,3.61496816636385,0.7918605259235192,0.03381531599699017,2.007729492692544,7,0.027806766261261964,Concentration [uM],,0.005821160413559797,0.002007729492692544,,
75,Galactose,Aspartate,0.12074952626392277,0.11781979779357496,0.9254546826333439,4.428886655107668e-05,0.016477292772447458,11,0.8765668540083669,Concentration [uM],,0.00012074952626392277,1.6477292772447458e-05,,
76,L-malate,Aspartate,-0.511558711599941,7.330012086206138,-0.23832151931980936,0.6492857121521898,1.0423289095384345,6,0.01299395877453067,Concentration [uM],,-0.000511558711599941,0.0010423289095384345,,
77,L-alanine,Aspartate,0.029713813659494957,0.2931436614637614,0.20476906549043924,0.5232069635755989,0.04491512203120389,12,0.6681206869768463,Concentration [uM],,2.971381365949496e-05,4.491512203120389e-05,,
78,Galactose,Beta-alanine,0.028280178505571022,0.05827042246539441,0.8477608311006591,0.033000941134525216,0.00884636560823318,6,0.8603143795453123,Concentration [uM],,2.8280178505571022e-05,8.84636560823318e-06,,
79,L-malate,Beta-alanine,0.11752165575007893,0.07392361370653201,0.5252800511116928,0.14643936907339206,0.07195674508941424,9,0.572102683657468,Concentration [uM],,0.00011752165575007894,7.195674508941424e-05,,
80,L-alanine,Beta-alanine,0.4901797682445759,-0.12561589429246012,0.9957235215607837,2.739329707006632e-05,0.022739449751748166,6,0.9972026522519275,Concentration [uM],,0.0004901797682445759,2.2739449751748166e-05,,
81,Galactose,Cdp-ethanolamine,-0.38128317240119064,0.20006332839025487,-0.5217274666910848,0.08190193043676908,0.19715604498469383,12,0.2600384762098663,Z-score,,,,-0.38128317240119064,0.19715604498469383
82,L-malate,Cdp-ethanolamine,-0.9221439686913846,0.4774498419126604,-0.6237572004051848,0.030200287120920176,0.36540779002509094,12,0.044312846666085794,Z-score,,,,-0.9221439686913846,0.36540779002509094
83,L-alanine,Cdp-ethanolamine,-1.2301659312145186,1.2403954631066596,-0.7937743286272305,0.002053774666970772,0.2980725007631038,12,0.12118738441531271,Z-score,,,,-1.2301659312145186,0.2980725007631038
84,Galactose,Cis-aconitate,0.10235824003196348,-0.0031438337760058,0.9889003279423997,4.6927410598673153e-07,0.0058127661641750004,9,0.9975250080481499,Concentration [uM],,0.00010235824003196347,5.8127661641750005e-06,,
85,L-malate,Cis-aconitate,0.4389141665854869,-0.057490670506424035,0.9774687953923096,5.530068380527398e-06,0.03582405160659868,9,0.9961604958889492,Concentration [uM],,0.0004389141665854869,3.5824051606598675e-05,,
86,L-alanine,Cis-aconitate,0.9137946959113523,-0.2540178939293225,0.9707207055957816,1.3742673947162551e-05,0.08546694149480005,9,0.9983118227533162,Concentration [uM],,0.0009137946959113523,8.546694149480005e-05,,
87,Galactose,Citrate,,,,,,2,,,Not sufficient data,,,,
88,L-malate,Citrate,30.903599486902767,-31.59316679020902,0.5599044082281804,0.6216756978567948,45.73173537663171,3,,Concentration [uM],,0.03090359948690277,0.045731735376631714,,
89,L-alanine,Citrate,-1.8524358357555968,9.692703716830426,-0.3741908336887882,0.6258091663112118,3.2462317052894454,4,0.20321010624817099,Concentration [uM],,-0.0018524358357555968,0.0032462317052894454,,
90,Galactose,Citrulline,0.028365860993785574,-0.7750951277603114,0.2823726461362637,0.3738719310284243,0.030474034977076552,12,0.8620079660221865,Z-score,,,,0.028365860993785574,0.030474034977076552
91,L-malate,Citrulline,0.09314597359738315,0.8433058396456095,0.18055628816069078,0.6420205129714057,0.19178090394404151,9,0.30459561679472114,Z-score,,,,0.09314597359738315,0.19178090394404151
92,L-alanine,Citrulline,0.21596120371852917,-0.8911983454740389,0.8282620497663059,0.0008750817835421277,0.04620195325986013,12,0.807968844144767,Z-score,,,,0.21596120371852917,0.04620195325986013
93,Galactose,Creatine,0.001029118265078485,0.0011647915013981787,0.6881045991423536,0.013370603680852706,0.00034317448262116885,12,0.8128944344648731,Concentration [uM],Some abs. conc. values calculated from standard curve,1.0291182650784851e-06,3.4317448262116883e-07,,
94,L-malate,Creatine,-0.00022487734505036237,0.0024951384159218625,-0.16484438412783387,0.6281293942139717,0.00044850568496244037,11,0.0051423624390829975,Concentration [uM],Some abs. conc. values calculated from standard curve,-2.2487734505036237e-07,4.485056849624404e-07,,
95,L-alanine,Creatine,-0.003380730550542571,0.016647427423211042,-0.603978764719405,0.037544521737034785,0.0014107414695685445,12,0.29410309175852456,Concentration [uM],Some abs. conc. values calculated from standard curve,-3.380730550542571e-06,1.4107414695685445e-06,,
96,Galactose,Creatinine,0.05981129951849482,-0.25127674351475665,0.5687305360686604,0.14126494371396411,0.035314218194819946,8,0.8421397257605617,Z-score,,,,0.05981129951849482,0.035314218194819946
97,L-malate,Creatinine,-0.029724529776506754,-0.20499231970532483,-0.2127422125427733,0.582619951812009,0.051600633247727956,9,0.40425020182810895,Z-score,,,,-0.029724529776506754,0.051600633247727956
