,Sample_id,Carbon source,Hours,AUC [gDW*h/L],Bioreactor,Timepoint,Metabolite,Z-score
48,SM_MPTA_112023_28_Galactose-T6_M1_1,Galactose,6.0,0.3027227371464714,REL01,1,"2,5-dihydroxybenzoate",-1.1097935085265638
49,SM_MPTA_112023_M9_Galactose_001_40,Galactose,0.0,0.0,,0,"2,5-dihydroxybenzoate",
50,SM_MPTA_112023_M9_L-alanine_001_37,L-alanine,0.0,0.0,,0,"2,5-dihydroxybenzoate",
51,SM_MPTA_112023_M9_Galactose_002_41,Galactose,0.0,0.0,,0,"2,5-dihydroxybenzoate",
52,SM_MPTA_112023_64_Galactose-T14_M1_7,Galactose,14.0,3.657264738592213,REL01,3,"2,5-dihydroxybenzoate",-0.2508962472620838
53,SM_MPTA_112023_52_L-alanine-T10_M9_25,L-alanine,10.0,0.3182352285057104,REL07,1,"2,5-dihydroxybenzoate",-0.7974334780669226
54,SM_MPTA_112023_32_L-malate-T6_M6_14,L-malate,6.0,0.1847473940054876,REL05,1,"2,5-dihydroxybenzoate",-0.8669732460155612
55,SM_MPTA_112023_55_Galactose-T12_M1_4,Galactose,12.0,2.122869171591218,REL01,2,"2,5-dihydroxybenzoate",-0.3262466206282822
56,SM_MPTA_112023_29_Galactose-T6_M2_2,Galactose,6.0,0.3061863840245775,REL02,1,"2,5-dihydroxybenzoate",-1.1190841987215905
57,SM_MPTA_112023_108_L-alanine-T22_M11_36,L-alanine,22.0,3.9376424130469174,REL09,4,"2,5-dihydroxybenzoate",0.6080188158632478
58,SM_MPTA_112023_134_L-malate-T11_M6_20,L-malate,11.0,1.4913949991123805,REL05,3,"2,5-dihydroxybenzoate",1.846680243727797
59,SM_MPTA_112023_56_Galactose-T12_M2_5,Galactose,12.0,2.076109938736786,REL02,2,"2,5-dihydroxybenzoate",-0.8451005538623784
60,SM_MPTA_112023_89_L-alanine-T18_M10_32,L-alanine,18.0,1.718588757293409,REL08,3,"2,5-dihydroxybenzoate",-0.3097961818077603
61,SM_MPTA_112023_M9_L-malate_002_44,L-malate,0.0,0.0,,0,"2,5-dihydroxybenzoate",
62,SM_MPTA_112023_88_L-alanine-T18_M9_31,L-alanine,18.0,1.9627468841916456,REL07,3,"2,5-dihydroxybenzoate",0.1436256212091705
63,SM_MPTA_112023_33_L-malate-T6_M7_15,L-malate,6.0,0.2093431136310292,REL06,1,"2,5-dihydroxybenzoate",-0.9332764680086636
64,SM_MPTA_112023_M9_L-alanine_003_39,L-alanine,0.0,0.0,,0,"2,5-dihydroxybenzoate",
65,SM_MPTA_112023_M9_L-malate_001_43,L-malate,0.0,0.0,,0,"2,5-dihydroxybenzoate",
66,SM_MPTA_112023_31_L-malate-T6_M5_13,L-malate,6.0,0.2588140496960388,REL04,1,"2,5-dihydroxybenzoate",-0.8202964988962006
67,SM_MPTA_112023_39_Galactose-T8_M3_3,Galactose,8.0,0.4312240363242068,REL03,1,"2,5-dihydroxybenzoate",-1.1525725233157538
68,SM_MPTA_112023_83_Galactose-T18_M2_11,Galactose,18.0,8.140262892924916,REL02,4,"2,5-dihydroxybenzoate",-0.2334250347197814
