Hours,Well,Carbon source,Replicate,OD600
47.986111111111114,E3,Galactose,1,0.9036
48.236111111111114,E3,Galactose,1,0.9028
0.2361111111111111,F3,Galactose,2,0.0908
0.4861111111111111,F3,Galactose,2,0.0947
0.736111111111111,F3,Galactose,2,0.0929
0.986111111111111,F3,Galactose,2,0.0929
1.2361111111111112,F3,Galactose,2,0.0946
1.4861111111111112,F3,Galactose,2,0.0946
1.7361111111111112,F3,Galactose,2,0.0944
1.9861111111111112,F3,Galactose,2,0.0953
2.236111111111111,F3,Galactose,2,0.0956
2.486111111111111,F3,Galactose,2,0.0955
2.736111111111111,F3,Galactose,2,0.0959
2.986111111111111,F3,Galactose,2,0.0961
3.236111111111111,F3,Galactose,2,0.0964
3.486111111111111,F3,Galactose,2,0.0968
3.736111111111111,F3,Galactose,2,0.0974
3.986111111111111,F3,Galactose,2,0.0975
4.236111111111112,F3,Galactose,2,0.0974
4.486111111111112,F3,Galactose,2,0.0978
4.736111111111112,F3,Galactose,2,0.0984
4.986111111111112,F3,Galactose,2,0.0986
5.236111111111112,F3,Galactose,2,0.0987
5.486111111111112,F3,Galactose,2,0.0991
5.736111111111112,F3,Galactose,2,0.0997
5.986111111111112,F3,Galactose,2,0.1
6.236111111111112,F3,Galactose,2,0.1001
6.486111111111112,F3,Galactose,2,0.1009
6.736111111111112,F3,Galactose,2,0.1012
6.986111111111112,F3,Galactose,2,0.1014
7.236111111111112,F3,Galactose,2,0.1021
7.486111111111112,F3,Galactose,2,0.1026
7.736111111111112,F3,Galactose,2,0.1027
7.986111111111112,F3,Galactose,2,0.1036
8.23611111111111,F3,Galactose,2,0.1039
8.48611111111111,F3,Galactose,2,0.1046
8.73611111111111,F3,Galactose,2,0.1053
8.98611111111111,F3,Galactose,2,0.1059
9.23611111111111,F3,Galactose,2,0.1065
9.48611111111111,F3,Galactose,2,0.1068
9.73611111111111,F3,Galactose,2,0.1076
9.98611111111111,F3,Galactose,2,0.1083
10.23611111111111,F3,Galactose,2,0.1093
10.48611111111111,F3,Galactose,2,0.11
10.73611111111111,F3,Galactose,2,0.1112
10.98611111111111,F3,Galactose,2,0.112
11.23611111111111,F3,Galactose,2,0.1126
11.48611111111111,F3,Galactose,2,0.1134
