,Sample_id,Carbon source,Metabolite,Concentration [uM],Hours,Bioreactor,AUC [gDW*h/L],Z-score
114,SM_MPTA_112023_107_L-alanine-T22_M10_35,L-alanine,2-aminoisobutyrate,,22.0,REL08,4.314250397619318,-0.8382898499445866
115,SM_MPTA_112023_82_Galactose-T18_M1_10,Galactose,2-aminoisobutyrate,,18.0,REL01,7.65846961218036,
116,SM_MPTA_112023_75_Galactose-T16_M3_9,Galactose,2-aminoisobutyrate,,16.0,REL03,3.4179267393150816,
117,SM_MPTA_112023_M9_L-malate_003_45,L-malate,2-aminoisobutyrate,,0.0,,0.0,
118,SM_MPTA_112023_60_L-malate-T12_M7_24,L-malate,2-aminoisobutyrate,,12.0,REL06,2.385225810049673,
119,SM_MPTA_112023_129_L-malate-T9_M7_18,L-malate,2-aminoisobutyrate,,9.25,REL06,0.7606505791012634,
120,SM_MPTA_112023_90_L-alanine-T18_M11_33,L-alanine,2-aminoisobutyrate,,18.0,REL09,1.7064401126297837,1.5893364905568237
121,SM_MPTA_112023_106_L-alanine-T22_M9_34,L-alanine,2-aminoisobutyrate,,22.0,REL07,4.508036095424472,-0.8393688868298734
122,SM_MPTA_112023_50_L-malate-T10_M6_17,L-malate,2-aminoisobutyrate,,10.0,REL05,0.9785183455570544,
123,SM_MPTA_112023_65_Galactose-T14_M2_8,Galactose,2-aminoisobutyrate,,14.0,REL02,3.5031324525164917,
124,SM_MPTA_112023_M9_Galactose_003_42,Galactose,2-aminoisobutyrate,,0.0,,0.0,
125,SM_MPTA_112023_93_Galactose-T20_M3_12,Galactose,2-aminoisobutyrate,,20.0,REL03,7.426058906659442,-0.8406561296893174
126,SM_MPTA_112023_80_L-alanine-T16_M10_29,L-alanine,2-aminoisobutyrate,,16.0,REL08,1.099304187854922,0.9259790418180468
127,SM_MPTA_112023_53_L-alanine-T10_M10_26,L-alanine,2-aminoisobutyrate,,10.0,REL08,0.3217909293828691,-0.4683566693003096
128,SM_MPTA_112023_54_L-alanine-T10_M11_27,L-alanine,2-aminoisobutyrate,,10.0,REL09,0.296012098023468,-0.4462754866627296
129,SM_MPTA_112023_M9_L-alanine_002_38,L-alanine,2-aminoisobutyrate,,0.0,,0.0,-0.8393407897742687
130,SM_MPTA_112023_81_L-alanine-T16_M11_30,L-alanine,2-aminoisobutyrate,,16.0,REL09,1.1067118980156694,0.8095236825345874
131,SM_MPTA_112023_66_Galactose-T14_M3_6,Galactose,2-aminoisobutyrate,,14.0,REL03,2.1848684507093163,
132,SM_MPTA_112023_143_L-malate-T13_M6_23,L-malate,2-aminoisobutyrate,,13.0,REL05,2.7850460023716854,
133,SM_MPTA_112023_127_L-malate-T9_M5_16,L-malate,2-aminoisobutyrate,,9.25,REL04,1.034068337324968,
134,SM_MPTA_112023_51_L-malate-T10_M7_21,L-malate,2-aminoisobutyrate,,10.0,REL06,1.0771807208731472,
135,SM_MPTA_112023_49_L-malate-T10_M5_19,L-malate,2-hydroxybutyrate,,10.0,REL04,1.4313031841181596,0.4625437429191646
136,SM_MPTA_112023_79_L-alanine-T16_M9_28,L-alanine,2-hydroxybutyrate,,16.0,REL07,1.224938952181199,2.773470074964662
137,SM_MPTA_112023_58_L-malate-T12_M5_22,L-malate,2-hydroxybutyrate,,12.0,REL04,2.865121839561659,-0.7065445144789653
138,SM_MPTA_112023_28_Galactose-T6_M1_1,Galactose,2-hydroxybutyrate,,6.0,REL01,0.3027227371464714,-0.7756488213160416
139,SM_MPTA_112023_M9_Galactose_001_40,Galactose,2-hydroxybutyrate,,0.0,,0.0,-1.0085276689652072
140,SM_MPTA_112023_M9_L-alanine_001_37,L-alanine,2-hydroxybutyrate,,0.0,,0.0,
141,SM_MPTA_112023_M9_Galactose_002_41,Galactose,2-hydroxybutyrate,,0.0,,0.0,
142,SM_MPTA_112023_64_Galactose-T14_M1_7,Galactose,2-hydroxybutyrate,,14.0,REL01,3.657264738592213,1.1408817614654811
143,SM_MPTA_112023_52_L-alanine-T10_M9_25,L-alanine,2-hydroxybutyrate,,10.0,REL07,0.3182352285057104,0.914048625324936
144,SM_MPTA_112023_32_L-malate-T6_M6_14,L-malate,2-hydroxybutyrate,,6.0,REL05,0.1847473940054876,-0.6121018407146347
145,SM_MPTA_112023_55_Galactose-T12_M1_4,Galactose,2-hydroxybutyrate,,12.0,REL01,2.122869171591218,-0.5468199856191855
146,SM_MPTA_112023_29_Galactose-T6_M2_2,Galactose,2-hydroxybutyrate,,6.0,REL02,0.3061863840245775,-0.7597382940187521
147,SM_MPTA_112023_108_L-alanine-T22_M11_36,L-alanine,2-hydroxybutyrate,,22.0,REL09,3.9376424130469174,-0.7593748311410062
148,SM_MPTA_112023_134_L-malate-T11_M6_20,L-malate,2-hydroxybutyrate,,11.0,REL05,1.4913949991123805,-0.5934540282177434
149,SM_MPTA_112023_56_Galactose-T12_M2_5,Galactose,2-hydroxybutyrate,,12.0,REL02,2.076109938736786,-0.4572412319385332
150,SM_MPTA_112023_89_L-alanine-T18_M10_32,L-alanine,2-hydroxybutyrate,,18.0,REL08,1.718588757293409,2.1072323850162364
151,SM_MPTA_112023_M9_L-malate_002_44,L-malate,2-hydroxybutyrate,,0.0,,0.0,
152,SM_MPTA_112023_88_L-alanine-T18_M9_31,L-alanine,2-hydroxybutyrate,,18.0,REL07,1.9627468841916456,0.1813413790432321
153,SM_MPTA_112023_33_L-malate-T6_M7_15,L-malate,2-hydroxybutyrate,,6.0,REL06,0.2093431136310292,-0.569431482001506
154,SM_MPTA_112023_M9_L-alanine_003_39,L-alanine,2-hydroxybutyrate,,0.0,,0.0,
155,SM_MPTA_112023_M9_L-malate_001_43,L-malate,2-hydroxybutyrate,,0.0,,0.0,-0.8815021551549844
156,SM_MPTA_112023_31_L-malate-T6_M5_13,L-malate,2-hydroxybutyrate,,6.0,REL04,0.2588140496960388,-0.5496492865829259
157,SM_MPTA_112023_39_Galactose-T8_M3_3,Galactose,2-hydroxybutyrate,,8.0,REL03,0.4312240363242068,-0.8733544661692976
158,SM_MPTA_112023_83_Galactose-T18_M2_11,Galactose,2-hydroxybutyrate,,18.0,REL02,8.140262892924916,-0.9227863725911004
159,SM_MPTA_112023_107_L-alanine-T22_M10_35,L-alanine,2-hydroxybutyrate,,22.0,REL08,4.314250397619318,-0.2516212395099112
160,SM_MPTA_112023_82_Galactose-T18_M1_10,Galactose,2-hydroxybutyrate,,18.0,REL01,7.65846961218036,
161,SM_MPTA_112023_75_Galactose-T16_M3_9,Galactose,2-hydroxybutyrate,,16.0,REL03,3.4179267393150816,2.5263922156040803
162,SM_MPTA_112023_M9_L-malate_003_45,L-malate,2-hydroxybutyrate,,0.0,,0.0,
163,SM_MPTA_112023_60_L-malate-T12_M7_24,L-malate,2-hydroxybutyrate,,12.0,REL06,2.385225810049673,-0.8914715704243363
164,SM_MPTA_112023_129_L-malate-T9_M7_18,L-malate,2-hydroxybutyrate,,9.25,REL06,0.7606505791012634,-0.3577630851373073
165,SM_MPTA_112023_90_L-alanine-T18_M11_33,L-alanine,2-hydroxybutyrate,,18.0,REL09,1.7064401126297837,0.592604137331171
166,SM_MPTA_112023_106_L-alanine-T22_M9_34,L-alanine,2-hydroxybutyrate,,22.0,REL07,4.508036095424472,-0.6444275038914691
167,SM_MPTA_112023_50_L-malate-T10_M6_17,L-malate,2-hydroxybutyrate,,10.0,REL05,0.9785183455570544,-0.450576448265492
168,SM_MPTA_112023_65_Galactose-T14_M2_8,Galactose,2-hydroxybutyrate,,14.0,REL02,3.5031324525164917,0.0806035768965438
169,SM_MPTA_112023_M9_Galactose_003_42,Galactose,2-hydroxybutyrate,,0.0,,0.0,
