,Metabolite,InChIKey,ClassyFy Status,Kingdom,Superclass,Class,Subclass,Parent Level 1,Parent Level 2,Parent Level 3,Parent Level 4,Parent Level 5
21,Gamma-aminobutyrate,BTCSSZJGUNDROE-UHFFFAOYSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Gamma amino acids and derivatives,,,
22,Glucose-6-phosphate,NBSCHQHZLSJFNQ-GASJEMHNSA-N,Completed,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides,Hexoses,Hexose phosphates,,
23,Glutamate,WHUUTDBJXJRKMK-VKHMYHEASA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Glutamic acid and derivatives,,
24,Glutamine,ZDXPYRJPNDTMRX-VKHMYHEASA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Alpha amino acids,L-alpha-amino acids,
25,Glutarate,JFCQEDHGNNZCLN-UHFFFAOYSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,Dicarboxylic acids and derivatives,,,,
26,Glyceraldehyde-3-phosphate,LXJXRIRHZLFYRP-VKHMYHEASA-N,Completed,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides,Monosaccharide phosphates,Glyceraldehyde-3-phosphates,,
27,Glycine,DHMQDGOQFOQNFH-UHFFFAOYSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Alpha amino acids,,
28,Hexoses,GZCGUPFRVQAUEE-UHFFFAOYSA-N,Completed,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides,Hexoses,,,
29,Histidine,HNDVDQJCIGZPNO-YFKPBYRVSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Histidine and derivatives,,
30,Homoserine,UKAUYVFTDYCKQA-UHFFFAOYSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Alpha amino acids,,
31,Isocitrate,ODBLHEXUDAPZAU-UHFFFAOYSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives,Tricarboxylic acids and derivatives,,,,
32,Isoleucine,AGPKZVBTJJNPAG-WHFBIAKZSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Isoleucine and derivatives,,
33,Lactate,JVTAAEKCZFNVCJ-UHFFFAOYSA-M,Completed,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,,,,
34,Leucine,ROHFNLRQFUQHCH-YFKPBYRVSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Leucine and derivatives,,
35,Lysine,KDXKERNSBIXSRK-YFKPBYRVSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Alpha amino acids,L-alpha-amino acids,
36,Malate,BJEPYKJPYRNKOW-UHFFFAOYSA-N,Completed,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,Beta hydroxy acids and derivatives,,,,
37,Methionine,FFEARJCKVFRZRR-BYPYZUCNSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Methionine and derivatives,,
38,NAD,BAWFJGJZGIEFAR-NNYOXOHSSA-N,Completed,Organic compounds,"Nucleosides, nucleotides, and analogues",(5'->5')-dinucleotides,,(5'->5')-dinucleotides,,,,
39,Orotate,PXQPEWDEAKTCGB-UHFFFAOYSA-M,Completed,Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,Pyrimidinecarboxylic acids and derivatives,Pyrimidinecarboxylic acids,,,
