JW ID,Gene Name,Annotation,Location,Type,Expected direction,Metabolite class,Transported metabolites
JW3512,dppB,dipeptide/heme transporter,Inner membrane,ABC,Import,Peptide,Dipeptide
JW3692,adeP,"adenine permease, high affinity",Inner membrane,Proton symport,Import,Nucleobase,Adenine
JW4072,proP,proline/glycine betaine transporter,Inner membrane,Proton symport,Import,Amino acid,"proline, glycine betaine"
JW4166,cycA,D-alanine/D-serine/glycine transporter,Inner membrane,Proton symport,Import,Amino acid,"D-alanine, D-serine, glycine, L-alanine, beta-alanine"
JW5234,ansP,L-asparagine transporter,Inner membrane,Proton symport,Import,Amino acid,L-asparagine
JW5503,tolC,transport channel,Outer membrane,Porin,Export,Drug,Large variety of toxic compounds and metabolites
JW5585,rhtB,"homoserine, homoserine lactone and S-methyl-methionine efflux pump",Inner membrane,Proton antiport,Export,Amino acid,"L-homoserine, L-homoserine lactone, L-threonine"
JW5586,rhtC,threonine efflux pump,Inner membrane,Proton antiport,Export,Amino acid,L-threonine
JW0858,ybjE,L-lysine/thialysine exporter,Inner membrane,Proton antiport,Export,Amino acid,Lysine
JW1087,ptsG,fused glucose-specific PTS enzymes: IIB component/IIC component,Inner membrane,PTS,Import,Sugar,glucose
JW0327,codB,cytosine transporter,Inner membrane,Proton symport,Import,Nucleobase,cytosine
JW0391,brnQ,"Branched-chain amino acid transport system 2 carrier protein; LIV-II transport system for Ile, Leu, and Val",Inner membrane,Sodium symport,Import,Amino acid,"L-valine, L-leucine, L-isoleucine"
JW1848,znuB,zinc transporter,Inner membrane,ABC,Import,Other,Zinc
JW3491,yhjE,predicted transporter,Inner membrane,Proton symport,Import,Unknown,
JW5250,eamA,cysteine and O-acetyl-L-serine efflux system,Inner membrane,Unknown,Export,Amino acid,"Cysteine, O-acetyl-L-serine, glutamine, asparagine"
JW2154,fruA,fused fructose-specific PTS enzymes: IIBcomponent/IIC components,Inner membrane,PTS,Import,Sugar,Fructose
JW1807,manY,mannose-specific enzyme IIC component of PTS,Inner membrane,PTS,Import,Sugar,Mannose
JW0665,nagE,"fused N-acetyl glucosamine specific PTS enzyme: IIC, IIB, and IIA components",Inner membrane,PTS,Import,Sugar,N-acetyl glucosamine
JW0069,setA,broad specificity sugar efflux system,Inner membrane,Proton antiport,Export,Sugar,"Lactose, glucose"
JW3898,glpF,glycerol facilitator,Inner membrane,Channel,Both,Other,"Glycerol, glyceraldehyde, glycine, urea"
JW1001,putP,proline:sodium symporter,Inner membrane,Sodium symport,Import,Amino acid,Proline
JW1487,gadC,predicted glutamate:gamma-aminobutyric acid antiporter,Inner membrane,Antiport (other),Both,Amino acid,"Glutamate, 4-aminobutanoate"
JW3060,sstT,sodium:serine/threonine symporter,Inner membrane,Sodium symport,Import,Amino acid,"L-serine, L-threonine"
JW5735,dcuA,C4-dicarboxylate antiporter,Inner membrane,Antiport (other),Both,Organic acid,"L-aspartate, fumarate, succinate, malate"
JW4038,gltP,glutamate/aspartate:proton symporter,Inner membrane,Proton symport,Import,Amino acid,"L-aspartate, L-glutamate"
JW0009,satP,acetate/succinate:H+ï¿½symporter,Inner membrane,Proton symport,Both,Organic acid,"Acetate, succinate"
JW2910,galP,D-galactose transporter,Inner membrane,Proton symport,Import,Sugar,"Galactose, D-glucose"
JW1652,punC,Purine transporter,Inner membrane,Unknown,Export,Nucleobase,Purines
