Well,OD,Time,Strain,Carbon_Source,Replicate
A01,0.0367,30.33333333,Ecoli,Ctrl,1
A01,0.0367,30.5,Ecoli,Ctrl,1
A01,0.0366,30.66666667,Ecoli,Ctrl,1
A01,0.0366,30.83333333,Ecoli,Ctrl,1
A01,0.0366,31,Ecoli,Ctrl,1
A01,0.0366,31.16666667,Ecoli,Ctrl,1
A01,0.0367,31.33333333,Ecoli,Ctrl,1
A01,0.0368,31.5,Ecoli,Ctrl,1
A01,0.0367,31.66666667,Ecoli,Ctrl,1
A01,0.0366,31.83333333,Ecoli,Ctrl,1
A01,0.0366,32,Ecoli,Ctrl,1
A01,0.0367,32.16666667,Ecoli,Ctrl,1
A01,0.0366,32.33333333,Ecoli,Ctrl,1
A01,0.0367,32.5,Ecoli,Ctrl,1
A01,0.0367,32.66666667,Ecoli,Ctrl,1
A01,0.0367,32.83333333,Ecoli,Ctrl,1
A01,0.0367,33,Ecoli,Ctrl,1
A01,0.0368,33.16666667,Ecoli,Ctrl,1
A01,0.0367,33.33333333,Ecoli,Ctrl,1
A01,0.0368,33.5,Ecoli,Ctrl,1
A01,0.0369,33.66666667,Ecoli,Ctrl,1
A01,0.0367,33.83333333,Ecoli,Ctrl,1
A01,0.0367,34,Ecoli,Ctrl,1
A01,0.0367,34.16666667,Ecoli,Ctrl,1
A01,0.0367,34.33333333,Ecoli,Ctrl,1
A01,0.0367,34.5,Ecoli,Ctrl,1
A01,0.0366,34.66666667,Ecoli,Ctrl,1
A01,0.0367,34.83333333,Ecoli,Ctrl,1
A01,0.0367,35,Ecoli,Ctrl,1
A01,0.0367,35.16666667,Ecoli,Ctrl,1
A01,0.0368,35.33333333,Ecoli,Ctrl,1
A01,0.0368,35.5,Ecoli,Ctrl,1
A01,0.0367,35.66666667,Ecoli,Ctrl,1
A01,0.0367,35.83333333,Ecoli,Ctrl,1
A01,0.0367,36,Ecoli,Ctrl,1
A01,0.0368,36.16666667,Ecoli,Ctrl,1
A01,0.0368,36.33333333,Ecoli,Ctrl,1
A01,0.0367,36.5,Ecoli,Ctrl,1
A01,0.0367,36.66666667,Ecoli,Ctrl,1
A01,0.0368,36.83333333,Ecoli,Ctrl,1
A01,0.0367,37,Ecoli,Ctrl,1
A01,0.0367,37.16666667,Ecoli,Ctrl,1
A01,0.0369,37.33333333,Ecoli,Ctrl,1
A01,0.0368,37.5,Ecoli,Ctrl,1
A01,0.0368,37.66666667,Ecoli,Ctrl,1
A01,0.0368,37.83333333,Ecoli,Ctrl,1
