SangerID,CS,N0,Nmax,T0,Tmax,T16,N16,max_OD,rmax,gcr,gcauc,gcr_se,r,r16,Family
360,D-Gluconate,0.04,0.22,1.018611111,8.656111111,15.79277778,0.31,0.433,0.0629173228538607,0.476590091120181,13.199949027833,0.0551696688494177,0.322020506531888,0.199956882616299,Enterobacteriaceae
360,2-Ketogluconate,0.047,0.206,1.018611111,9.675,15.79305556,0.336,0.42,0.0412875909237976,0.452251313693746,12.208345695445,0.0447511712833177,0.246281873751615,0.19207006942946,Enterobacteriaceae
360,Pyruvate,0.04,0.164,1.018888889,10.185,15.79305556,0.233,0.468,0.0345020398035821,0.126142652909027,11.8951005564705,0.00735506832517188,0.222081522368611,0.172074547849597,Enterobacteriaceae
360,D-Lactate,0.041,0.316,1.018888889,31.08944444,15.79305556,0.117,0.419,0.0156510260929686,0.165940410596978,8.98124569606,0.00345518237740769,0.097977196948097,0.10239580672491,Enterobacteriaceae
360,Citrate,0.039,0.192,1.018611111,10.18472222,15.79305556,0.273,0.415,0.0444049135124166,0.219087782497536,12.144935417533,0.0129436055496344,0.250876326340952,0.190014246000811,Enterobacteriaceae
360,2-Oxoglutarate,0.041,0.082,1.018611111,15.28305556,15.79305556,0.085,0.169,0.00525263738221938,0.175962409411125,3.4572945838955,0.00395058306753304,0.0701043776065253,0.0711931291325686,Enterobacteriaceae
360,Succinate,0.041,0.206,1.018888889,18.85138889,15.79333333,0.16,0.483,0.0159722876896482,0.156408414907203,11.1364686132195,0.00285350727044059,0.130601347115353,0.132957695845267,Enterobacteriaceae
360,Fumarate,0.041,0.147,1.018611111,13.75333333,15.79305556,0.195,0.339,0.0226759950104818,0.183012604981112,8.3969663901495,0.00946380946940359,0.144653358631558,0.152274985154098,Enterobacteriaceae
360,L-Malate,0.041,0.126,1.018611111,7.128333333,15.79305556,0.235,0.383,0.0314790165979987,0.178067672100885,11.1224266680855,0.00681085367737699,0.26510663824445,0.170494731672798,Enterobacteriaceae
360,L-Glutamine,0.041,0.205,1.018611111,15.28305556,15.79277778,0.215,0.448,0.0160004259108511,0.163547521995334,11.7591329174265,0.00436739799378845,0.162777323939184,0.161812229314263,Enterobacteriaceae
360,Acetate,0.04,0.157,1.018611111,25.47972222,15.79305556,0.071,0.323,0.0104539647081437,0.154022905433395,5.749824306904,0.00274069406946591,0.0806460771636187,0.056030467167471,Enterobacteriaceae
360,L-Leucine,0.04,0.049,1.018611111,15.28333333,15.79305556,0.049,0.068,0.000948209099248161,0.139652636979172,0.780835972349,0.00315998199897686,0.0205248826253254,0.0198167687616615,Enterobacteriaceae
360,L-Phenylalanine,0.04,0.107,1.018611111,37.21138889,15.79305556,0.051,0.164,0.00676092288675326,0.105376252405274,1.873156111659,0.00198277869720156,0.0392216065918388,0.0237232099179104,Enterobacteriaceae
