Metabolite_Conc,Metabolite,Carbon_Source,Strain,Replicate,Timepoint
14.4,Alanine,D-Glucose,Enterobacter,1,28
10.6,Valine,D-Glucose,Enterobacter,1,28
250,Succinic acid,D-Glucose,Enterobacter,1,28
0.631,Butyric acid,D-Glucose,Enterobacter,1,28
0.666,beta-Hydroxybutyric acid,D-Glucose,Enterobacter,1,28
4.85,Glycine,D-Glucose,Enterobacter,1,28
7.28,Citric acid,D-Glucose,Enterobacter,1,28
0,Hippuric acid,D-Glucose,Enterobacter,1,28
1.2,alpha-Ketoglutaric acid,D-Glucose,Enterobacter,1,28
0,Putrescine,D-Glucose,Enterobacter,1,28
4.34,Pyruvic acid,D-Glucose,Enterobacter,1,28
0.489,Valeric acid,D-Glucose,Enterobacter,1,28
0.0461,Methionine,D-Glucose,Enterobacter,1,28
10.3,Acetyl-ornithine,D-Glucose,Enterobacter,1,28
5900,Acetic acid,D-Glucose,Enterobacter,1,28
33.5,Fumaric acid,D-Glucose,Enterobacter,1,28
6.07,Pyruvic acid,D-Glucose,Enterobacter,2,28
0,Serine,D-Glucose,Enterobacter,2,28
0.129,Asparagine,D-Glucose,Enterobacter,2,28
0.513,Butyric acid,D-Glucose,Enterobacter,2,28
2.5,alpha-Ketoglutaric acid,D-Glucose,Enterobacter,2,28
0.603,beta-Hydroxybutyric acid,D-Glucose,Enterobacter,2,28
16.6,Alanine,D-Glucose,Enterobacter,2,28
7.99,Citric acid,D-Glucose,Enterobacter,2,28
265,Succinic acid,D-Glucose,Enterobacter,2,28
0.0219,Methionine,D-Glucose,Enterobacter,2,28
14.3,Valine,D-Glucose,Enterobacter,2,28
6130,Acetic acid,D-Glucose,Enterobacter,2,28
2300,Lactic acid,D-Glucose,Enterobacter,2,28
40.6,Fumaric acid,D-Glucose,Enterobacter,2,28
5.62,Glycine,D-Glucose,Enterobacter,2,28
0,Hippuric acid,D-Glucose,Enterobacter,2,28
4.68,Propionic acid,D-Glucose,Enterobacter,2,28
0,Putrescine,D-Glucose,Enterobacter,2,28
9.33,Acetyl-ornithine,D-Glucose,Enterobacter,2,28
0.426,Valeric acid,D-Glucose,Enterobacter,2,28
182,Succinic acid,D-Glucose,Enterobacter,1,48
0.468,Pyruvic acid,D-Glucose,Enterobacter,1,48
0,alpha-Ketoglutaric acid,D-Glucose,Enterobacter,1,48
5.58,Glycine,D-Glucose,Enterobacter,1,48
0,Alanine,D-Glucose,Enterobacter,1,48
12,Propionic acid,D-Glucose,Enterobacter,1,48
0,Serine,D-Glucose,Enterobacter,1,48
6.16,beta-Hydroxybutyric acid,D-Glucose,Enterobacter,1,48
0,Valine,D-Glucose,Enterobacter,1,48
0.72,Asparagine,D-Glucose,Enterobacter,1,48
309,Lactic acid,D-Glucose,Enterobacter,1,48
0,Putrescine,D-Glucose,Enterobacter,1,48
30.3,Acetyl-ornithine,D-Glucose,Enterobacter,1,48
5900,Acetic acid,D-Glucose,Enterobacter,1,48
1.66,Butyric acid,D-Glucose,Enterobacter,1,48
17.1,Fumaric acid,D-Glucose,Enterobacter,1,48
0,Hippuric acid,D-Glucose,Enterobacter,1,48
0.557,Valeric acid,D-Glucose,Enterobacter,1,48
0.0382,Methionine,D-Glucose,Enterobacter,1,48
13.1,Citric acid,D-Glucose,Enterobacter,1,48
6.97,beta-Hydroxybutyric acid,D-Glucose,Enterobacter,2,48
319,Lactic acid,D-Glucose,Enterobacter,2,48
198,Succinic acid,D-Glucose,Enterobacter,2,48
0.491,Pyruvic acid,D-Glucose,Enterobacter,2,48
0,Alanine,D-Glucose,Enterobacter,2,48
0.505,Asparagine,D-Glucose,Enterobacter,2,48
14,Propionic acid,D-Glucose,Enterobacter,2,48
3.03,Glycine,D-Glucose,Enterobacter,2,48
0,Valine,D-Glucose,Enterobacter,2,48
2.07,Butyric acid,D-Glucose,Enterobacter,2,48
0.36,Serine,D-Glucose,Enterobacter,2,48
25.1,Acetyl-ornithine,D-Glucose,Enterobacter,2,48
0.486,Valeric acid,D-Glucose,Enterobacter,2,48
19.7,Fumaric acid,D-Glucose,Enterobacter,2,48
0,alpha-Ketoglutaric acid,D-Glucose,Enterobacter,2,48
0,Putrescine,D-Glucose,Enterobacter,2,48
0,Hippuric acid,D-Glucose,Enterobacter,2,48
6160,Acetic acid,D-Glucose,Enterobacter,2,48
0.189,Methionine,D-Glucose,Enterobacter,2,48
14.5,Citric acid,D-Glucose,Enterobacter,2,48
0,Valine,D-Glucose,Pputida,1,16
0,beta-Hydroxybutyric acid,D-Glucose,Pputida,1,16
0.0412,Fumaric acid,D-Glucose,Pputida,1,16
0,Serine,D-Glucose,Pputida,1,16
0,Alanine,D-Glucose,Pputida,1,16
0.833,Succinic acid,D-Glucose,Pputida,1,16
0,Lactic acid,D-Glucose,Pputida,1,16
105,Acetic acid,D-Glucose,Pputida,1,16
22.7,Pyruvic acid,D-Glucose,Pputida,1,16
0.154,alpha-Ketoglutaric acid,D-Glucose,Pputida,1,16
0,Putrescine,D-Glucose,Pputida,1,16
3.26,Glycine,D-Glucose,Pputida,1,16
0,Asparagine,D-Glucose,Pputida,1,16
0,Butyric acid,D-Glucose,Pputida,1,16
0,Methionine,D-Glucose,Pputida,1,16
0,Propionic acid,D-Glucose,Pputida,1,16
0.873,Citric acid,D-Glucose,Pputida,1,16
0,Valeric acid,D-Glucose,Pputida,1,16
0,Acetyl-ornithine,D-Glucose,Pputida,1,16
0,Hippuric acid,D-Glucose,Pputida,1,16
2.93,Glycine,D-Glucose,Pputida,2,16
