Metabolite_Conc,Metabolite,Carbon_Source,Strain,Replicate,Timepoint
9.39,Citric acid,Acetate,Pseudomonas,1,48
0,Putrescine,Acetate,Pseudomonas,1,48
6560,Acetic acid,Acetate,Pseudomonas,1,48
0.539,Valeric acid,Acetate,Pseudomonas,1,48
0,Methionine,Acetate,Pseudomonas,1,48
0.749,Acetyl-ornithine,Acetate,Pseudomonas,1,48
0,Hippuric acid,Acetate,Pseudomonas,1,48
0.708,Acetyl-ornithine,Acetate,Pseudomonas,2,48
0,Pyruvic acid,Acetate,Pseudomonas,2,48
3.25,Glycine,Acetate,Pseudomonas,2,48
3.19,beta-Hydroxybutyric acid,Acetate,Pseudomonas,2,48
0,Hippuric acid,Acetate,Pseudomonas,2,48
0,Asparagine,Acetate,Pseudomonas,2,48
0.109,alpha-Ketoglutaric acid,Acetate,Pseudomonas,2,48
0,Serine,Acetate,Pseudomonas,2,48
0,Valine,Acetate,Pseudomonas,2,48
0,Alanine,Acetate,Pseudomonas,2,48
3.56,Butyric acid,Acetate,Pseudomonas,2,48
0.0957,Methionine,Acetate,Pseudomonas,2,48
0.223,Fumaric acid,Acetate,Pseudomonas,2,48
12840,Acetic acid,Acetate,Pseudomonas,2,48
7.12,Succinic acid,Acetate,Pseudomonas,2,48
0,Lactic acid,Acetate,Pseudomonas,2,48
0.0338,Putrescine,Acetate,Pseudomonas,2,48
5.65,Citric acid,Acetate,Pseudomonas,2,48
11.7,Propionic acid,Acetate,Pseudomonas,2,48
0.728,Valeric acid,Acetate,Pseudomonas,2,48
0,Alanine,D-Fructose,Ecoli,1,16
2.78,Glycine,D-Fructose,Ecoli,1,16
0,beta-Hydroxybutyric acid,D-Fructose,Ecoli,1,16
0.11,Putrescine,D-Fructose,Ecoli,1,16
0,Valine,D-Fructose,Ecoli,1,16
0.0168,Methionine,D-Fructose,Ecoli,1,16
0,Acetyl-ornithine,D-Fructose,Ecoli,1,16
0.826,Pyruvic acid,D-Fructose,Ecoli,1,16
0.747,Succinic acid,D-Fructose,Ecoli,1,16
0,Lactic acid,D-Fructose,Ecoli,1,16
0,Hippuric acid,D-Fructose,Ecoli,1,16
635,Acetic acid,D-Fructose,Ecoli,1,16
0.772,Asparagine,D-Fructose,Ecoli,1,16
0,alpha-Ketoglutaric acid,D-Fructose,Ecoli,1,16
0,Serine,D-Fructose,Ecoli,1,16
0.378,Fumaric acid,D-Fructose,Ecoli,1,16
0.25,Valeric acid,D-Fructose,Ecoli,1,16
0.508,Butyric acid,D-Fructose,Ecoli,1,16
5.19,Propionic acid,D-Fructose,Ecoli,1,16
0.598,Citric acid,D-Fructose,Ecoli,1,16
0.809,Pyruvic acid,D-Fructose,Ecoli,2,16
0,Serine,D-Fructose,Ecoli,2,16
0,beta-Hydroxybutyric acid,D-Fructose,Ecoli,2,16
630,Acetic acid,D-Fructose,Ecoli,2,16
0.207,Valeric acid,D-Fructose,Ecoli,2,16
0.0983,Putrescine,D-Fructose,Ecoli,2,16
0,Asparagine,D-Fructose,Ecoli,2,16
0,Alanine,D-Fructose,Ecoli,2,16
0.844,Succinic acid,D-Fructose,Ecoli,2,16
5.97,Propionic acid,D-Fructose,Ecoli,2,16
0,Valine,D-Fructose,Ecoli,2,16
0,Lactic acid,D-Fructose,Ecoli,2,16
0.355,Fumaric acid,D-Fructose,Ecoli,2,16
3.01,Glycine,D-Fructose,Ecoli,2,16
0,Hippuric acid,D-Fructose,Ecoli,2,16
0,alpha-Ketoglutaric acid,D-Fructose,Ecoli,2,16
0.291,Methionine,D-Fructose,Ecoli,2,16
0,Acetyl-ornithine,D-Fructose,Ecoli,2,16
0.103,Butyric acid,D-Fructose,Ecoli,2,16
0.648,Citric acid,D-Fructose,Ecoli,2,16
305,Pyruvic acid,D-Fructose,Ecoli,1,28
0,Serine,D-Fructose,Ecoli,1,28
1.17,beta-Hydroxybutyric acid,D-Fructose,Ecoli,1,28
3.06,Glycine,D-Fructose,Ecoli,1,28
97.2,Succinic acid,D-Fructose,Ecoli,1,28
0.325,Butyric acid,D-Fructose,Ecoli,1,28
4.67,Valine,D-Fructose,Ecoli,1,28
441,Lactic acid,D-Fructose,Ecoli,1,28
0,Alanine,D-Fructose,Ecoli,1,28
29.2,Propionic acid,D-Fructose,Ecoli,1,28
18.3,Fumaric acid,D-Fructose,Ecoli,1,28
0,alpha-Ketoglutaric acid,D-Fructose,Ecoli,1,28
3.23,Acetyl-ornithine,D-Fructose,Ecoli,1,28
4190,Acetic acid,D-Fructose,Ecoli,1,28
0,Asparagine,D-Fructose,Ecoli,1,28
4.53,Citric acid,D-Fructose,Ecoli,1,28
2.61,Valeric acid,D-Fructose,Ecoli,1,28
2.6,Putrescine,D-Fructose,Ecoli,1,28
0,Hippuric acid,D-Fructose,Ecoli,1,28
0.0432,Methionine,D-Fructose,Ecoli,1,28
40.6,Succinic acid,D-Fructose,Ecoli,2,28
6.03,Glycine,D-Fructose,Ecoli,2,28
0,alpha-Ketoglutaric acid,D-Fructose,Ecoli,2,28
0,Alanine,D-Fructose,Ecoli,2,28
3.26,Valine,D-Fructose,Ecoli,2,28
24.4,Propionic acid,D-Fructose,Ecoli,2,28
1.01,Butyric acid,D-Fructose,Ecoli,2,28
3.2,Acetyl-ornithine,D-Fructose,Ecoli,2,28
0,Hippuric acid,D-Fructose,Ecoli,2,28
247,Pyruvic acid,D-Fructose,Ecoli,2,28
3350,Acetic acid,D-Fructose,Ecoli,2,28
0.779,beta-Hydroxybutyric acid,D-Fructose,Ecoli,2,28
112,Lactic acid,D-Fructose,Ecoli,2,28
0,Serine,D-Fructose,Ecoli,2,28
7.4,Fumaric acid,D-Fructose,Ecoli,2,28
0.16,Asparagine,D-Fructose,Ecoli,2,28
3.86,Citric acid,D-Fructose,Ecoli,2,28
0.0244,Methionine,D-Fructose,Ecoli,2,28
1.98,Putrescine,D-Fructose,Ecoli,2,28
1.63,Valeric acid,D-Fructose,Ecoli,2,28
0.0687,Asparagine,D-Fructose,Ecoli,1,48
1230,Lactic acid,D-Fructose,Ecoli,1,48
24.9,Valine,D-Fructose,Ecoli,1,48
0.947,Pyruvic acid,D-Fructose,Ecoli,1,48
0,alpha-Ketoglutaric acid,D-Fructose,Ecoli,1,48
4.88,Valeric acid,D-Fructose,Ecoli,1,48
6660,Acetic acid,D-Fructose,Ecoli,1,48
1.39,Butyric acid,D-Fructose,Ecoli,1,48
5.35,beta-Hydroxybutyric acid,D-Fructose,Ecoli,1,48
29.9,Acetyl-ornithine,D-Fructose,Ecoli,1,48
0,Alanine,D-Fructose,Ecoli,1,48
309,Succinic acid,D-Fructose,Ecoli,1,48
59.5,Propionic acid,D-Fructose,Ecoli,1,48
5.61,Citric acid,D-Fructose,Ecoli,1,48
0,Hippuric acid,D-Fructose,Ecoli,1,48
0,Serine,D-Fructose,Ecoli,1,48
2.78,Glycine,D-Fructose,Ecoli,1,48
1.26,Putrescine,D-Fructose,Ecoli,1,48
79,Fumaric acid,D-Fructose,Ecoli,1,48
0,Methionine,D-Fructose,Ecoli,1,48
25.5,Valine,D-Fructose,Ecoli,2,48
3.92,beta-Hydroxybutyric acid,D-Fructose,Ecoli,2,48
0,Serine,D-Fructose,Ecoli,2,48
353,Succinic acid,D-Fructose,Ecoli,2,48
1460,Lactic acid,D-Fructose,Ecoli,2,48
69.7,Fumaric acid,D-Fructose,Ecoli,2,48
0.695,Pyruvic acid,D-Fructose,Ecoli,2,48
105,Alanine,D-Fructose,Ecoli,2,48
0,alpha-Ketoglutaric acid,D-Fructose,Ecoli,2,48
0.121,Methionine,D-Fructose,Ecoli,2,48
4.57,Valeric acid,D-Fructose,Ecoli,2,48
2.37,Putrescine,D-Fructose,Ecoli,2,48
2.22,Butyric acid,D-Fructose,Ecoli,2,48
0,Asparagine,D-Fructose,Ecoli,2,48
4.46,Citric acid,D-Fructose,Ecoli,2,48
30.9,Acetyl-ornithine,D-Fructose,Ecoli,2,48
50.8,Propionic acid,D-Fructose,Ecoli,2,48
6340,Acetic acid,D-Fructose,Ecoli,2,48
4.36,Glycine,D-Fructose,Ecoli,2,48
0,Hippuric acid,D-Fructose,Ecoli,2,48
0.103,Butyric acid,D-Fructose,Enterobacter,1,16
0,Serine,D-Fructose,Enterobacter,1,16
7.47,Valine,D-Fructose,Enterobacter,1,16
170,Succinic acid,D-Fructose,Enterobacter,1,16
0.995,Acetyl-ornithine,D-Fructose,Enterobacter,1,16
3.11,Glycine,D-Fructose,Enterobacter,1,16
388,Pyruvic acid,D-Fructose,Enterobacter,1,16
0.045,alpha-Ketoglutaric acid,D-Fructose,Enterobacter,1,16
0.507,beta-Hydroxybutyric acid,D-Fructose,Enterobacter,1,16
0,Hippuric acid,D-Fructose,Enterobacter,1,16
0,Asparagine,D-Fructose,Enterobacter,1,16
3.8,Citric acid,D-Fructose,Enterobacter,1,16
0.1,Methionine,D-Fructose,Enterobacter,1,16
26.7,Fumaric acid,D-Fructose,Enterobacter,1,16
32.5,Alanine,D-Fructose,Enterobacter,1,16
5,Propionic acid,D-Fructose,Enterobacter,1,16
2000,Lactic acid,D-Fructose,Enterobacter,1,16
0.366,Putrescine,D-Fructose,Enterobacter,1,16
0.601,Valeric acid,D-Fructose,Enterobacter,1,16
4160,Acetic acid,D-Fructose,Enterobacter,1,16
35.6,Alanine,D-Fructose,Enterobacter,2,16
9.95,Valine,D-Fructose,Enterobacter,2,16
6,Propionic acid,D-Fructose,Enterobacter,2,16
0.0694,alpha-Ketoglutaric acid,D-Fructose,Enterobacter,2,16
0,Serine,D-Fructose,Enterobacter,2,16
3.57,Glycine,D-Fructose,Enterobacter,2,16
0.804,Valeric acid,D-Fructose,Enterobacter,2,16
169,Succinic acid,D-Fructose,Enterobacter,2,16
1.24,Asparagine,D-Fructose,Enterobacter,2,16
0.56,beta-Hydroxybutyric acid,D-Fructose,Enterobacter,2,16
1.95,Acetyl-ornithine,D-Fructose,Enterobacter,2,16
394,Pyruvic acid,D-Fructose,Enterobacter,2,16
1970,Lactic acid,D-Fructose,Enterobacter,2,16
0.834,Putrescine,D-Fructose,Enterobacter,2,16
25.3,Fumaric acid,D-Fructose,Enterobacter,2,16
0.659,Butyric acid,D-Fructose,Enterobacter,2,16
0.0311,Methionine,D-Fructose,Enterobacter,2,16
0,Hippuric acid,D-Fructose,Enterobacter,2,16
3980,Acetic acid,D-Fructose,Enterobacter,2,16
3.92,Citric acid,D-Fructose,Enterobacter,2,16
29,Valine,D-Fructose,Enterobacter,1,28
3,beta-Hydroxybutyric acid,D-Fructose,Enterobacter,1,28
3800,Lactic acid,D-Fructose,Enterobacter,1,28
0,Asparagine,D-Fructose,Enterobacter,1,28
242,Succinic acid,D-Fructose,Enterobacter,1,28
5.73,Alanine,D-Fructose,Enterobacter,1,28
8.31,Propionic acid,D-Fructose,Enterobacter,1,28
2.67,Pyruvic acid,D-Fructose,Enterobacter,1,28
0,Serine,D-Fructose,Enterobacter,1,28
3.65,Glycine,D-Fructose,Enterobacter,1,28
13.1,Acetyl-ornithine,D-Fructose,Enterobacter,1,28
6.26,Citric acid,D-Fructose,Enterobacter,1,28
5910,Acetic acid,D-Fructose,Enterobacter,1,28
35.2,Fumaric acid,D-Fructose,Enterobacter,1,28
0,Putrescine,D-Fructose,Enterobacter,1,28
0,alpha-Ketoglutaric acid,D-Fructose,Enterobacter,1,28
0.166,Methionine,D-Fructose,Enterobacter,1,28
0.551,Valeric acid,D-Fructose,Enterobacter,1,28
1.31,Butyric acid,D-Fructose,Enterobacter,1,28
0,Hippuric acid,D-Fructose,Enterobacter,1,28
5.3,Pyruvic acid,D-Fructose,Enterobacter,2,28
9.48,Acetyl-ornithine,D-Fructose,Enterobacter,2,28
15.3,Alanine,D-Fructose,Enterobacter,2,28
29.3,Valine,D-Fructose,Enterobacter,2,28
0,Asparagine,D-Fructose,Enterobacter,2,28
253,Succinic acid,D-Fructose,Enterobacter,2,28
0,Serine,D-Fructose,Enterobacter,2,28
4.52,Glycine,D-Fructose,Enterobacter,2,28
9.43,Propionic acid,D-Fructose,Enterobacter,2,28
6.74,Citric acid,D-Fructose,Enterobacter,2,28
0,Methionine,D-Fructose,Enterobacter,2,28
2.88,beta-Hydroxybutyric acid,D-Fructose,Enterobacter,2,28
0,Hippuric acid,D-Fructose,Enterobacter,2,28
2.11,Butyric acid,D-Fructose,Enterobacter,2,28
4110,Lactic acid,D-Fructose,Enterobacter,2,28
36,Fumaric acid,D-Fructose,Enterobacter,2,28
0.738,Valeric acid,D-Fructose,Enterobacter,2,28
6220,Acetic acid,D-Fructose,Enterobacter,2,28
0,alpha-Ketoglutaric acid,D-Fructose,Enterobacter,2,28
0.0933,Putrescine,D-Fructose,Enterobacter,2,28
186,Succinic acid,D-Fructose,Enterobacter,1,48
0,Alanine,D-Fructose,Enterobacter,1,48
0.955,Pyruvic acid,D-Fructose,Enterobacter,1,48
0,Serine,D-Fructose,Enterobacter,1,48
3.87,Valine,D-Fructose,Enterobacter,1,48
16,Propionic acid,D-Fructose,Enterobacter,1,48
15.2,Citric acid,D-Fructose,Enterobacter,1,48
0,Putrescine,D-Fructose,Enterobacter,1,48
10.1,beta-Hydroxybutyric acid,D-Fructose,Enterobacter,1,48
0.848,Valeric acid,D-Fructose,Enterobacter,1,48
0,alpha-Ketoglutaric acid,D-Fructose,Enterobacter,1,48
0.137,Methionine,D-Fructose,Enterobacter,1,48
2.98,Glycine,D-Fructose,Enterobacter,1,48
15.5,Acetyl-ornithine,D-Fructose,Enterobacter,1,48
2.55,Butyric acid,D-Fructose,Enterobacter,1,48
694,Lactic acid,D-Fructose,Enterobacter,1,48
37,Fumaric acid,D-Fructose,Enterobacter,1,48
5970,Acetic acid,D-Fructose,Enterobacter,1,48
0.388,Asparagine,D-Fructose,Enterobacter,1,48
0,Hippuric acid,D-Fructose,Enterobacter,1,48
9.5,beta-Hydroxybutyric acid,D-Fructose,Enterobacter,2,48
217,Succinic acid,D-Fructose,Enterobacter,2,48
11.5,Valine,D-Fructose,Enterobacter,2,48
0,Serine,D-Fructose,Enterobacter,2,48
0,Alanine,D-Fructose,Enterobacter,2,48
1.87,Asparagine,D-Fructose,Enterobacter,2,48
40.6,Fumaric acid,D-Fructose,Enterobacter,2,48
739,Lactic acid,D-Fructose,Enterobacter,2,48
0,Putrescine,D-Fructose,Enterobacter,2,48
19,Propionic acid,D-Fructose,Enterobacter,2,48
0,Hippuric acid,D-Fructose,Enterobacter,2,48
0,alpha-Ketoglutaric acid,D-Fructose,Enterobacter,2,48
0.966,Valeric acid,D-Fructose,Enterobacter,2,48
3.05,Glycine,D-Fructose,Enterobacter,2,48
1.6,Pyruvic acid,D-Fructose,Enterobacter,2,48
2.11,Butyric acid,D-Fructose,Enterobacter,2,48
0.0821,Methionine,D-Fructose,Enterobacter,2,48
14.6,Citric acid,D-Fructose,Enterobacter,2,48
5960,Acetic acid,D-Fructose,Enterobacter,2,48
14.2,Acetyl-ornithine,D-Fructose,Enterobacter,2,48
0.115,Asparagine,D-Fructose,Pputida,1,16
0,beta-Hydroxybutyric acid,D-Fructose,Pputida,1,16
0.0209,Fumaric acid,D-Fructose,Pputida,1,16
0,Alanine,D-Fructose,Pputida,1,16
0.251,Butyric acid,D-Fructose,Pputida,1,16
0.198,Methionine,D-Fructose,Pputida,1,16
0.108,Valine,D-Fructose,Pputida,1,16
0,Serine,D-Fructose,Pputida,1,16
2.82,Propionic acid,D-Fructose,Pputida,1,16
0.0452,Succinic acid,D-Fructose,Pputida,1,16
0,Lactic acid,D-Fructose,Pputida,1,16
0,Putrescine,D-Fructose,Pputida,1,16
196,Acetic acid,D-Fructose,Pputida,1,16
0,Pyruvic acid,D-Fructose,Pputida,1,16
0,alpha-Ketoglutaric acid,D-Fructose,Pputida,1,16
0,Acetyl-ornithine,D-Fructose,Pputida,1,16
3.07,Glycine,D-Fructose,Pputida,1,16
0.36,Citric acid,D-Fructose,Pputida,1,16
0.34,Valeric acid,D-Fructose,Pputida,1,16
0,Hippuric acid,D-Fructose,Pputida,1,16
0,Pyruvic acid,D-Fructose,Pputida,2,16
0,Alanine,D-Fructose,Pputida,2,16
0.0262,Fumaric acid,D-Fructose,Pputida,2,16
0,Valine,D-Fructose,Pputida,2,16
3.81,Propionic acid,D-Fructose,Pputida,2,16
0,beta-Hydroxybutyric acid,D-Fructose,Pputida,2,16
0,Putrescine,D-Fructose,Pputida,2,16
0,Acetyl-ornithine,D-Fructose,Pputida,2,16
3.35,Glycine,D-Fructose,Pputida,2,16
0,alpha-Ketoglutaric acid,D-Fructose,Pputida,2,16
0.00814,Succinic acid,D-Fructose,Pputida,2,16
0,Lactic acid,D-Fructose,Pputida,2,16
0,Serine,D-Fructose,Pputida,2,16
0,Asparagine,D-Fructose,Pputida,2,16
0.482,Butyric acid,D-Fructose,Pputida,2,16
0.0101,Methionine,D-Fructose,Pputida,2,16
0,Hippuric acid,D-Fructose,Pputida,2,16
0.226,Valeric acid,D-Fructose,Pputida,2,16
0.342,Citric acid,D-Fructose,Pputida,2,16
286,Acetic acid,D-Fructose,Pputida,2,16
0.0231,Succinic acid,D-Fructose,Pputida,1,28
0,Alanine,D-Fructose,Pputida,1,28
0,Serine,D-Fructose,Pputida,1,28
0,Acetyl-ornithine,D-Fructose,Pputida,1,28
2.6,Glycine,D-Fructose,Pputida,1,28
0,Lactic acid,D-Fructose,Pputida,1,28
0.0374,Fumaric acid,D-Fructose,Pputida,1,28
4.24,Propionic acid,D-Fructose,Pputida,1,28
0.175,Methionine,D-Fructose,Pputida,1,28
0,Hippuric acid,D-Fructose,Pputida,1,28
0,Valine,D-Fructose,Pputida,1,28
0,Pyruvic acid,D-Fructose,Pputida,1,28
0,alpha-Ketoglutaric acid,D-Fructose,Pputida,1,28
0,beta-Hydroxybutyric acid,D-Fructose,Pputida,1,28
0.337,Valeric acid,D-Fructose,Pputida,1,28
0,Asparagine,D-Fructose,Pputida,1,28
0.354,Butyric acid,D-Fructose,Pputida,1,28
0,Putrescine,D-Fructose,Pputida,1,28
0.493,Citric acid,D-Fructose,Pputida,1,28
625,Acetic acid,D-Fructose,Pputida,1,28
0,Valine,D-Fructose,Pputida,2,28
0,Alanine,D-Fructose,Pputida,2,28
0.686,Butyric acid,D-Fructose,Pputida,2,28
0,beta-Hydroxybutyric acid,D-Fructose,Pputida,2,28
0.0365,Fumaric acid,D-Fructose,Pputida,2,28
0,Serine,D-Fructose,Pputida,2,28
303,Acetic acid,D-Fructose,Pputida,2,28
0,Asparagine,D-Fructose,Pputida,2,28
0.0112,Methionine,D-Fructose,Pputida,2,28
2.67,Glycine,D-Fructose,Pputida,2,28
5.25,Propionic acid,D-Fructose,Pputida,2,28
0.0426,Succinic acid,D-Fructose,Pputida,2,28
0,Lactic acid,D-Fructose,Pputida,2,28
0,Putrescine,D-Fructose,Pputida,2,28
0.436,Valeric acid,D-Fructose,Pputida,2,28
0,Pyruvic acid,D-Fructose,Pputida,2,28
0,alpha-Ketoglutaric acid,D-Fructose,Pputida,2,28
0.666,Acetyl-ornithine,D-Fructose,Pputida,2,28
0.538,Citric acid,D-Fructose,Pputida,2,28
0,Hippuric acid,D-Fructose,Pputida,2,28
0,Alanine,D-Fructose,Pputida,1,48
0,beta-Hydroxybutyric acid,D-Fructose,Pputida,1,48
0,Valine,D-Fructose,Pputida,1,48
0,alpha-Ketoglutaric acid,D-Fructose,Pputida,1,48
0,Asparagine,D-Fructose,Pputida,1,48
0.0378,Fumaric acid,D-Fructose,Pputida,1,48
3.21,Glycine,D-Fructose,Pputida,1,48
0,Pyruvic acid,D-Fructose,Pputida,1,48
5.78,Propionic acid,D-Fructose,Pputida,1,48
0,Putrescine,D-Fructose,Pputida,1,48
0,Serine,D-Fructose,Pputida,1,48
0,Hippuric acid,D-Fructose,Pputida,1,48
718,Acetic acid,D-Fructose,Pputida,1,48
0.0138,Succinic acid,D-Fructose,Pputida,1,48
0,Lactic acid,D-Fructose,Pputida,1,48
1.83,Acetyl-ornithine,D-Fructose,Pputida,1,48
0.11,Methionine,D-Fructose,Pputida,1,48
0.582,Citric acid,D-Fructose,Pputida,1,48
0.919,Butyric acid,D-Fructose,Pputida,1,48
0.405,Valeric acid,D-Fructose,Pputida,1,48
0,Serine,D-Fructose,Pputida,2,48
0,Lactic acid,D-Fructose,Pputida,2,48
0,beta-Hydroxybutyric acid,D-Fructose,Pputida,2,48
0,Alanine,D-Fructose,Pputida,2,48
0.0109,Succinic acid,D-Fructose,Pputida,2,48
6.57,Propionic acid,D-Fructose,Pputida,2,48
1.11,Acetyl-ornithine,D-Fructose,Pputida,2,48
0,Pyruvic acid,D-Fructose,Pputida,2,48
0,Valine,D-Fructose,Pputida,2,48
0.0239,Fumaric acid,D-Fructose,Pputida,2,48
0.573,Citric acid,D-Fructose,Pputida,2,48
2.75,Glycine,D-Fructose,Pputida,2,48
0.37,Valeric acid,D-Fructose,Pputida,2,48
0,alpha-Ketoglutaric acid,D-Fructose,Pputida,2,48
0,Asparagine,D-Fructose,Pputida,2,48
0,Hippuric acid,D-Fructose,Pputida,2,48
1.17,Butyric acid,D-Fructose,Pputida,2,48
0.116,Methionine,D-Fructose,Pputida,2,48
0,Putrescine,D-Fructose,Pputida,2,48
358,Acetic acid,D-Fructose,Pputida,2,48
0,Asparagine,D-Fructose,Pseudomonas,1,16
0,Valine,D-Fructose,Pseudomonas,1,16
0,Serine,D-Fructose,Pseudomonas,1,16
0,Alanine,D-Fructose,Pseudomonas,1,16
0.0149,Succinic acid,D-Fructose,Pseudomonas,1,16
0,Lactic acid,D-Fructose,Pseudomonas,1,16
0.21,Valeric acid,D-Fructose,Pseudomonas,1,16
0,Pyruvic acid,D-Fructose,Pseudomonas,1,16
0,alpha-Ketoglutaric acid,D-Fructose,Pseudomonas,1,16
2.73,Glycine,D-Fructose,Pseudomonas,1,16
0.279,Citric acid,D-Fructose,Pseudomonas,1,16
0,Hippuric acid,D-Fructose,Pseudomonas,1,16
0,beta-Hydroxybutyric acid,D-Fructose,Pseudomonas,1,16
0.022,Fumaric acid,D-Fructose,Pseudomonas,1,16
217,Acetic acid,D-Fructose,Pseudomonas,1,16
2.7,Propionic acid,D-Fructose,Pseudomonas,1,16
0.0183,Putrescine,D-Fructose,Pseudomonas,1,16
0,Acetyl-ornithine,D-Fructose,Pseudomonas,1,16
0.129,Methionine,D-Fructose,Pseudomonas,1,16
0.121,Butyric acid,D-Fructose,Pseudomonas,1,16
0,Serine,D-Fructose,Pseudomonas,2,16
0,Alanine,D-Fructose,Pseudomonas,2,16
0,Pyruvic acid,D-Fructose,Pseudomonas,2,16
0,Valine,D-Fructose,Pseudomonas,2,16
0,Lactic acid,D-Fructose,Pseudomonas,2,16
0,beta-Hydroxybutyric acid,D-Fructose,Pseudomonas,2,16
0.0228,Succinic acid,D-Fructose,Pseudomonas,2,16
0.652,Butyric acid,D-Fructose,Pseudomonas,2,16
0.0777,Methionine,D-Fructose,Pseudomonas,2,16
3.34,Glycine,D-Fructose,Pseudomonas,2,16
0.641,Asparagine,D-Fructose,Pseudomonas,2,16
4.82,Propionic acid,D-Fructose,Pseudomonas,2,16
0.279,Citric acid,D-Fructose,Pseudomonas,2,16
0.0269,Fumaric acid,D-Fructose,Pseudomonas,2,16
0,Hippuric acid,D-Fructose,Pseudomonas,2,16
214,Acetic acid,D-Fructose,Pseudomonas,2,16
0.192,Valeric acid,D-Fructose,Pseudomonas,2,16
0.0258,Putrescine,D-Fructose,Pseudomonas,2,16
0,Acetyl-ornithine,D-Fructose,Pseudomonas,2,16
0,alpha-Ketoglutaric acid,D-Fructose,Pseudomonas,2,16
0,Serine,D-Fructose,Pseudomonas,1,28
5.24,Propionic acid,D-Fructose,Pseudomonas,1,28
2.77,Glycine,D-Fructose,Pseudomonas,1,28
0.0248,Succinic acid,D-Fructose,Pseudomonas,1,28
0,Alanine,D-Fructose,Pseudomonas,1,28
0,alpha-Ketoglutaric acid,D-Fructose,Pseudomonas,1,28
0,beta-Hydroxybutyric acid,D-Fructose,Pseudomonas,1,28
0,Valine,D-Fructose,Pseudomonas,1,28
0,Pyruvic acid,D-Fructose,Pseudomonas,1,28
0.501,Butyric acid,D-Fructose,Pseudomonas,1,28
0.0176,Putrescine,D-Fructose,Pseudomonas,1,28
0,Acetyl-ornithine,D-Fructose,Pseudomonas,1,28
0.128,Asparagine,D-Fructose,Pseudomonas,1,28
355,Acetic acid,D-Fructose,Pseudomonas,1,28
0.0964,Methionine,D-Fructose,Pseudomonas,1,28
0.0372,Fumaric acid,D-Fructose,Pseudomonas,1,28
0,Hippuric acid,D-Fructose,Pseudomonas,1,28
0.27,Citric acid,D-Fructose,Pseudomonas,1,28
0,Lactic acid,D-Fructose,Pseudomonas,1,28
0.253,Valeric acid,D-Fructose,Pseudomonas,1,28
0,beta-Hydroxybutyric acid,D-Fructose,Pseudomonas,2,28
0,Asparagine,D-Fructose,Pseudomonas,2,28
1.25,Butyric acid,D-Fructose,Pseudomonas,2,28
0,Serine,D-Fructose,Pseudomonas,2,28
0,Alanine,D-Fructose,Pseudomonas,2,28
0.0363,Succinic acid,D-Fructose,Pseudomonas,2,28
0,Lactic acid,D-Fructose,Pseudomonas,2,28
0,Valine,D-Fructose,Pseudomonas,2,28
0,Pyruvic acid,D-Fructose,Pseudomonas,2,28
0,alpha-Ketoglutaric acid,D-Fructose,Pseudomonas,2,28
0.0258,Fumaric acid,D-Fructose,Pseudomonas,2,28
186,Acetic acid,D-Fructose,Pseudomonas,2,28
0.308,Citric acid,D-Fructose,Pseudomonas,2,28
2.7,Glycine,D-Fructose,Pseudomonas,2,28
0,Putrescine,D-Fructose,Pseudomonas,2,28
0,Acetyl-ornithine,D-Fructose,Pseudomonas,2,28
0.116,Methionine,D-Fructose,Pseudomonas,2,28
6.55,Propionic acid,D-Fructose,Pseudomonas,2,28
0.362,Valeric acid,D-Fructose,Pseudomonas,2,28
0,Hippuric acid,D-Fructose,Pseudomonas,2,28
0,beta-Hydroxybutyric acid,D-Fructose,Pseudomonas,1,48
0,Pyruvic acid,D-Fructose,Pseudomonas,1,48
0,Alanine,D-Fructose,Pseudomonas,1,48
0,alpha-Ketoglutaric acid,D-Fructose,Pseudomonas,1,48
0,Serine,D-Fructose,Pseudomonas,1,48
458,Acetic acid,D-Fructose,Pseudomonas,1,48
0.0192,Succinic acid,D-Fructose,Pseudomonas,1,48
0,Acetyl-ornithine,D-Fructose,Pseudomonas,1,48
0,Valine,D-Fructose,Pseudomonas,1,48
2.45,Glycine,D-Fructose,Pseudomonas,1,48
0.0657,Asparagine,D-Fructose,Pseudomonas,1,48
0,Lactic acid,D-Fructose,Pseudomonas,1,48
0.0398,Fumaric acid,D-Fructose,Pseudomonas,1,48
0.41,Citric acid,D-Fructose,Pseudomonas,1,48
5.64,Propionic acid,D-Fructose,Pseudomonas,1,48
0.142,Methionine,D-Fructose,Pseudomonas,1,48
0.248,Valeric acid,D-Fructose,Pseudomonas,1,48
0,Hippuric acid,D-Fructose,Pseudomonas,1,48
0.721,Butyric acid,D-Fructose,Pseudomonas,1,48
0,Putrescine,D-Fructose,Pseudomonas,1,48
0,beta-Hydroxybutyric acid,D-Fructose,Pseudomonas,2,48
0,Alanine,D-Fructose,Pseudomonas,2,48
0,Valine,D-Fructose,Pseudomonas,2,48
0,Lactic acid,D-Fructose,Pseudomonas,2,48
0.062,Succinic acid,D-Fructose,Pseudomonas,2,48
2.85,Glycine,D-Fructose,Pseudomonas,2,48
6.49,Propionic acid,D-Fructose,Pseudomonas,2,48
0,Asparagine,D-Fructose,Pseudomonas,2,48
0,Pyruvic acid,D-Fructose,Pseudomonas,2,48
0.028,Fumaric acid,D-Fructose,Pseudomonas,2,48
0,Serine,D-Fructose,Pseudomonas,2,48
