Strain abbrv.,Replicate,Strain,Hours,OD600
WT,A,E. coli BW25113,0,0.016
WT,B,E. coli BW25113,0,0.016
WT,C,E. coli BW25113,0,0.019
aceE,A,aceE-Ancestor,0,0.018
aceE,B,aceE-Ancestor,0,0.02
aceE,C,aceE-Ancestor,0,0.021
aceE-M2,A,aceE-M2-D44-2,0,0.018
aceE-M2,B,aceE-M2-D44-2,0,0.018
aceE-M2,C,aceE-M2-D44-2,0,0.018
sucB,A,sucB-Ancestor,0,0.017
sucB,B,sucB-Ancestor,0,0.02
sucB,C,sucB-Ancestor,0,0.02
WT,A,E. coli BW25113,1.5,0.03
WT,B,E. coli BW25113,1.5,0.023
WT,C,E. coli BW25113,1.5,0.024
aceE,A,aceE-Ancestor,1.5,0.025
aceE,B,aceE-Ancestor,1.5,0.023
aceE,C,aceE-Ancestor,1.5,0.022
aceE-M2,A,aceE-M2-D44-2,1.5,0.029
aceE-M2,B,aceE-M2-D44-2,1.5,0.028
aceE-M2,C,aceE-M2-D44-2,1.5,0.025
sucB,A,sucB-Ancestor,1.5,0.02
sucB,B,sucB-Ancestor,1.5,0.02
sucB,C,sucB-Ancestor,1.5,0.022
WT,A,E. coli BW25113,3.666666666569654,0.046
WT,B,E. coli BW25113,3.666666666569654,0.047
WT,C,E. coli BW25113,3.666666666569654,0.047
aceE,A,aceE-Ancestor,3.666666666569654,0.027
aceE,B,aceE-Ancestor,3.666666666569654,0.03
aceE,C,aceE-Ancestor,3.666666666569654,0.035
aceE-M2,A,aceE-M2-D44-2,3.666666666569654,0.055
aceE-M2,B,aceE-M2-D44-2,3.666666666569654,0.058
aceE-M2,C,aceE-M2-D44-2,3.666666666569654,0.055
sucB,A,sucB-Ancestor,3.666666666569654,0.026
sucB,B,sucB-Ancestor,3.666666666569654,0.026
sucB,C,sucB-Ancestor,3.666666666569654,0.028
WT,A,E. coli BW25113,4.583333333255723,0.059
WT,B,E. coli BW25113,4.583333333255723,0.061
WT,C,E. coli BW25113,4.583333333255723,0.061
aceE,A,aceE-Ancestor,4.583333333255723,0.028
aceE,B,aceE-Ancestor,4.583333333255723,0.028
aceE,C,aceE-Ancestor,4.583333333255723,0.029
aceE-M2,A,aceE-M2-D44-2,4.583333333255723,0.074
aceE-M2,B,aceE-M2-D44-2,4.583333333255723,0.079
aceE-M2,C,aceE-M2-D44-2,4.583333333255723,0.074
sucB,A,sucB-Ancestor,4.583333333255723,0.027
sucB,B,sucB-Ancestor,4.583333333255723,0.031
sucB,C,sucB-Ancestor,4.583333333255723,0.029
WT,A,E. coli BW25113,5.499999999941792,0.076
WT,B,E. coli BW25113,5.499999999941792,0.076
WT,C,E. coli BW25113,5.499999999941792,0.07
aceE,A,aceE-Ancestor,5.499999999941792,0.035
aceE,B,aceE-Ancestor,5.499999999941792,0.033
aceE,C,aceE-Ancestor,5.499999999941792,0.029
aceE-M2,A,aceE-M2-D44-2,5.499999999941792,0.104
aceE-M2,B,aceE-M2-D44-2,5.499999999941792,0.105
aceE-M2,C,aceE-M2-D44-2,5.499999999941792,0.104
sucB,A,sucB-Ancestor,5.499999999941792,0.024
sucB,B,sucB-Ancestor,5.499999999941792,0.026
sucB,C,sucB-Ancestor,5.499999999941792,0.028
WT,A,E. coli BW25113,6.499999999883585,0.09
WT,B,E. coli BW25113,6.499999999883585,0.088
WT,C,E. coli BW25113,6.499999999883585,0.088
aceE,A,aceE-Ancestor,6.499999999883585,
aceE,B,aceE-Ancestor,6.499999999883585,
aceE,C,aceE-Ancestor,6.499999999883585,
aceE-M2,A,aceE-M2-D44-2,6.499999999883585,0.149
aceE-M2,B,aceE-M2-D44-2,6.499999999883585,0.146
aceE-M2,C,aceE-M2-D44-2,6.499999999883585,0.142
sucB,A,sucB-Ancestor,6.499999999883585,
sucB,B,sucB-Ancestor,6.499999999883585,
sucB,C,sucB-Ancestor,6.499999999883585,
WT,A,E. coli BW25113,7.5,0.099
WT,B,E. coli BW25113,7.5,0.101
WT,C,E. coli BW25113,7.5,0.097
aceE,A,aceE-Ancestor,7.5,
aceE,B,aceE-Ancestor,7.5,
aceE,C,aceE-Ancestor,7.5,
aceE-M2,A,aceE-M2-D44-2,7.5,0.203
aceE-M2,B,aceE-M2-D44-2,7.5,0.201
aceE-M2,C,aceE-M2-D44-2,7.5,0.208
sucB,A,sucB-Ancestor,7.5,
sucB,B,sucB-Ancestor,7.5,
sucB,C,sucB-Ancestor,7.5,
WT,A,E. coli BW25113,7.8333333331975155,
WT,B,E. coli BW25113,7.8333333331975155,
WT,C,E. coli BW25113,7.8333333331975155,
aceE,A,aceE-Ancestor,7.8333333331975155,
aceE,B,aceE-Ancestor,7.8333333331975155,
aceE,C,aceE-Ancestor,7.8333333331975155,
aceE-M2,A,aceE-M2-D44-2,7.8333333331975155,
aceE-M2,B,aceE-M2-D44-2,7.8333333331975155,
aceE-M2,C,aceE-M2-D44-2,7.8333333331975155,
sucB,A,sucB-Ancestor,7.8333333331975155,
sucB,B,sucB-Ancestor,7.8333333331975155,
sucB,C,sucB-Ancestor,7.8333333331975155,
WT,A,E. coli BW25113,8.499999999941792,0.14
WT,B,E. coli BW25113,8.499999999941792,0.144
WT,C,E. coli BW25113,8.499999999941792,0.134
aceE,A,aceE-Ancestor,8.499999999941792,0.038
aceE,B,aceE-Ancestor,8.499999999941792,0.036
aceE,C,aceE-Ancestor,8.499999999941792,0.041
aceE-M2,A,aceE-M2-D44-2,8.499999999941792,0.286
aceE-M2,B,aceE-M2-D44-2,8.499999999941792,0.296
aceE-M2,C,aceE-M2-D44-2,8.499999999941792,0.287
sucB,A,sucB-Ancestor,8.499999999941792,0.033
sucB,B,sucB-Ancestor,8.499999999941792,0.031
sucB,C,sucB-Ancestor,8.499999999941792,0.039
WT,A,E. coli BW25113,9,
WT,B,E. coli BW25113,9,
WT,C,E. coli BW25113,9,
aceE,A,aceE-Ancestor,9,
aceE,B,aceE-Ancestor,9,
aceE,C,aceE-Ancestor,9,
aceE-M2,A,aceE-M2-D44-2,9,
aceE-M2,B,aceE-M2-D44-2,9,
aceE-M2,C,aceE-M2-D44-2,9,
sucB,A,sucB-Ancestor,9,
sucB,B,sucB-Ancestor,9,
sucB,C,sucB-Ancestor,9,
WT,A,E. coli BW25113,9.499999999883585,0.171
WT,B,E. coli BW25113,9.499999999883585,0.174
WT,C,E. coli BW25113,9.499999999883585,0.161
aceE,A,aceE-Ancestor,9.499999999883585,
aceE,B,aceE-Ancestor,9.499999999883585,
aceE,C,aceE-Ancestor,9.499999999883585,
aceE-M2,A,aceE-M2-D44-2,9.499999999883585,0.395
aceE-M2,B,aceE-M2-D44-2,9.499999999883585,0.383
aceE-M2,C,aceE-M2-D44-2,9.499999999883585,0.362
sucB,A,sucB-Ancestor,9.499999999883585,
sucB,B,sucB-Ancestor,9.499999999883585,
sucB,C,sucB-Ancestor,9.499999999883585,
WT,A,E. coli BW25113,10.5,0.204
WT,B,E. coli BW25113,10.5,0.209
WT,C,E. coli BW25113,10.5,0.19
aceE,A,aceE-Ancestor,10.5,
aceE,B,aceE-Ancestor,10.5,
aceE,C,aceE-Ancestor,10.5,
aceE-M2,A,aceE-M2-D44-2,10.5,0.471
aceE-M2,B,aceE-M2-D44-2,10.5,0.451
aceE-M2,C,aceE-M2-D44-2,10.5,0.435
sucB,A,sucB-Ancestor,10.5,
sucB,B,sucB-Ancestor,10.5,
sucB,C,sucB-Ancestor,10.5,
WT,A,E. coli BW25113,10.999999999883585,
WT,B,E. coli BW25113,10.999999999883585,
WT,C,E. coli BW25113,10.999999999883585,
aceE,A,aceE-Ancestor,10.999999999883585,
aceE,B,aceE-Ancestor,10.999999999883585,
aceE,C,aceE-Ancestor,10.999999999883585,
aceE-M2,A,aceE-M2-D44-2,10.999999999883585,
aceE-M2,B,aceE-M2-D44-2,10.999999999883585,
aceE-M2,C,aceE-M2-D44-2,10.999999999883585,
sucB,A,sucB-Ancestor,10.999999999883585,
sucB,B,sucB-Ancestor,10.999999999883585,
sucB,C,sucB-Ancestor,10.999999999883585,
WT,A,E. coli BW25113,12.499999999883585,0.324
WT,B,E. coli BW25113,12.499999999883585,0.326
WT,C,E. coli BW25113,12.499999999883585,0.307
aceE,A,aceE-Ancestor,12.499999999883585,0.049
aceE,B,aceE-Ancestor,12.499999999883585,0.054
aceE,C,aceE-Ancestor,12.499999999883585,0.051
aceE-M2,A,aceE-M2-D44-2,12.499999999883585,0.763
aceE-M2,B,aceE-M2-D44-2,12.499999999883585,0.704
aceE-M2,C,aceE-M2-D44-2,12.499999999883585,0.708
sucB,A,sucB-Ancestor,12.499999999883585,0.043
sucB,B,sucB-Ancestor,12.499999999883585,0.042
sucB,C,sucB-Ancestor,12.499999999883585,0.045
WT,A,E. coli BW25113,13.999999999883585,0.404
WT,B,E. coli BW25113,13.999999999883585,0.426
WT,C,E. coli BW25113,13.999999999883585,0.391
aceE,A,aceE-Ancestor,13.999999999883585,
aceE,B,aceE-Ancestor,13.999999999883585,
aceE,C,aceE-Ancestor,13.999999999883585,
aceE-M2,A,aceE-M2-D44-2,13.999999999883585,0.982
aceE-M2,B,aceE-M2-D44-2,13.999999999883585,0.921
aceE-M2,C,aceE-M2-D44-2,13.999999999883585,0.951
sucB,A,sucB-Ancestor,13.999999999883585,
sucB,B,sucB-Ancestor,13.999999999883585,
sucB,C,sucB-Ancestor,13.999999999883585,
WT,A,E. coli BW25113,14.499999999941792,
WT,B,E. coli BW25113,14.499999999941792,
WT,C,E. coli BW25113,14.499999999941792,
aceE,A,aceE-Ancestor,14.499999999941792,
aceE,B,aceE-Ancestor,14.499999999941792,
aceE,C,aceE-Ancestor,14.499999999941792,
aceE-M2,A,aceE-M2-D44-2,14.499999999941792,0.99
aceE-M2,B,aceE-M2-D44-2,14.499999999941792,0.995
aceE-M2,C,aceE-M2-D44-2,14.499999999941792,1.002
sucB,A,sucB-Ancestor,14.499999999941792,
sucB,B,sucB-Ancestor,14.499999999941792,
sucB,C,sucB-Ancestor,14.499999999941792,
WT,A,E. coli BW25113,16.5,0.706
WT,B,E. coli BW25113,16.5,0.703
WT,C,E. coli BW25113,16.5,0.626
aceE,A,aceE-Ancestor,16.5,0.059
aceE,B,aceE-Ancestor,16.5,0.058
aceE,C,aceE-Ancestor,16.5,0.057
aceE-M2,A,aceE-M2-D44-2,16.5,1.248
aceE-M2,B,aceE-M2-D44-2,16.5,1.268
aceE-M2,C,aceE-M2-D44-2,16.5,1.23
sucB,A,sucB-Ancestor,16.5,0.054
sucB,B,sucB-Ancestor,16.5,0.056
sucB,C,sucB-Ancestor,16.5,0.055
WT,A,E. coli BW25113,17.499999999941792,0.774
WT,B,E. coli BW25113,17.499999999941792,0.781
WT,C,E. coli BW25113,17.499999999941792,0.701
aceE,A,aceE-Ancestor,17.499999999941792,
aceE,B,aceE-Ancestor,17.499999999941792,
aceE,C,aceE-Ancestor,17.499999999941792,
aceE-M2,A,aceE-M2-D44-2,17.499999999941792,
aceE-M2,B,aceE-M2-D44-2,17.499999999941792,
aceE-M2,C,aceE-M2-D44-2,17.499999999941792,
sucB,A,sucB-Ancestor,17.499999999941792,
sucB,B,sucB-Ancestor,17.499999999941792,
sucB,C,sucB-Ancestor,17.499999999941792,
WT,A,E. coli BW25113,18.499999999883585,0.924
WT,B,E. coli BW25113,18.499999999883585,0.918
WT,C,E. coli BW25113,18.499999999883585,0.818
aceE,A,aceE-Ancestor,18.499999999883585,
aceE,B,aceE-Ancestor,18.499999999883585,
aceE,C,aceE-Ancestor,18.499999999883585,
aceE-M2,A,aceE-M2-D44-2,18.499999999883585,
aceE-M2,B,aceE-M2-D44-2,18.499999999883585,
aceE-M2,C,aceE-M2-D44-2,18.499999999883585,
sucB,A,sucB-Ancestor,18.499999999883585,
sucB,B,sucB-Ancestor,18.499999999883585,
sucB,C,sucB-Ancestor,18.499999999883585,
WT,A,E. coli BW25113,19.5,1.03
WT,B,E. coli BW25113,19.5,1.043
WT,C,E. coli BW25113,19.5,0.923
aceE,A,aceE-Ancestor,19.5,
aceE,B,aceE-Ancestor,19.5,
aceE,C,aceE-Ancestor,19.5,
aceE-M2,A,aceE-M2-D44-2,19.5,
aceE-M2,B,aceE-M2-D44-2,19.5,
aceE-M2,C,aceE-M2-D44-2,19.5,
sucB,A,sucB-Ancestor,19.5,
sucB,B,sucB-Ancestor,19.5,
sucB,C,sucB-Ancestor,19.5,
WT,A,E. coli BW25113,20.499999999941792,1.128
WT,B,E. coli BW25113,20.499999999941792,1.175
WT,C,E. coli BW25113,20.499999999941792,1.038
aceE,A,aceE-Ancestor,20.499999999941792,0.061
aceE,B,aceE-Ancestor,20.499999999941792,0.059
aceE,C,aceE-Ancestor,20.499999999941792,0.068
aceE-M2,A,aceE-M2-D44-2,20.499999999941792,1.2
aceE-M2,B,aceE-M2-D44-2,20.499999999941792,1.197
aceE-M2,C,aceE-M2-D44-2,20.499999999941792,1.275
sucB,A,sucB-Ancestor,20.499999999941792,0.059
sucB,B,sucB-Ancestor,20.499999999941792,0.058
sucB,C,sucB-Ancestor,20.499999999941792,0.066
WT,A,E. coli BW25113,28.5,1.696
WT,B,E. coli BW25113,28.5,1.697
WT,C,E. coli BW25113,28.5,1.661
aceE,A,aceE-Ancestor,28.5,0.09
aceE,B,aceE-Ancestor,28.5,0.091
aceE,C,aceE-Ancestor,28.5,0.093
aceE-M2,A,aceE-M2-D44-2,28.5,1.248
aceE-M2,B,aceE-M2-D44-2,28.5,1.25
aceE-M2,C,aceE-M2-D44-2,28.5,1.43
sucB,A,sucB-Ancestor,28.5,0.1
sucB,B,sucB-Ancestor,28.5,0.103
sucB,C,sucB-Ancestor,28.5,0.105
WT,A,E. coli BW25113,31.5,1.836
WT,B,E. coli BW25113,31.5,1.793
WT,C,E. coli BW25113,31.5,1.76
aceE,A,aceE-Ancestor,31.5,0.11
aceE,B,aceE-Ancestor,31.5,0.107
aceE,C,aceE-Ancestor,31.5,0.106
aceE-M2,A,aceE-M2-D44-2,31.5,
aceE-M2,B,aceE-M2-D44-2,31.5,
aceE-M2,C,aceE-M2-D44-2,31.5,
sucB,A,sucB-Ancestor,31.5,0.139
sucB,B,sucB-Ancestor,31.5,0.153
sucB,C,sucB-Ancestor,31.5,0.156
WT,A,E. coli BW25113,35.49999999994179,1.814
WT,B,E. coli BW25113,35.49999999994179,1.795
WT,C,E. coli BW25113,35.49999999994179,1.787
aceE,A,aceE-Ancestor,35.49999999994179,0.123
aceE,B,aceE-Ancestor,35.49999999994179,0.124
aceE,C,aceE-Ancestor,35.49999999994179,0.122
aceE-M2,A,aceE-M2-D44-2,35.49999999994179,
aceE-M2,B,aceE-M2-D44-2,35.49999999994179,
aceE-M2,C,aceE-M2-D44-2,35.49999999994179,
sucB,A,sucB-Ancestor,35.49999999994179,0.286
sucB,B,sucB-Ancestor,35.49999999994179,0.365
sucB,C,sucB-Ancestor,35.49999999994179,0.35
WT,A,E. coli BW25113,36.499999999883585,1.796
WT,B,E. coli BW25113,36.499999999883585,1.786
WT,C,E. coli BW25113,36.499999999883585,1.799
aceE,A,aceE-Ancestor,36.499999999883585,0.128
aceE,B,aceE-Ancestor,36.499999999883585,0.127
aceE,C,aceE-Ancestor,36.499999999883585,0.126
aceE-M2,A,aceE-M2-D44-2,36.499999999883585,
aceE-M2,B,aceE-M2-D44-2,36.499999999883585,
aceE-M2,C,aceE-M2-D44-2,36.499999999883585,
sucB,A,sucB-Ancestor,36.499999999883585,0.343
sucB,B,sucB-Ancestor,36.499999999883585,0.449
sucB,C,sucB-Ancestor,36.499999999883585,0.422
WT,A,E. coli BW25113,37.5,
WT,B,E. coli BW25113,37.5,
WT,C,E. coli BW25113,37.5,
aceE,A,aceE-Ancestor,37.5,0.138
aceE,B,aceE-Ancestor,37.5,0.13
aceE,C,aceE-Ancestor,37.5,0.136
aceE-M2,A,aceE-M2-D44-2,37.5,
aceE-M2,B,aceE-M2-D44-2,37.5,
aceE-M2,C,aceE-M2-D44-2,37.5,
sucB,A,sucB-Ancestor,37.5,0.44
sucB,B,sucB-Ancestor,37.5,0.565
sucB,C,sucB-Ancestor,37.5,0.535
WT,A,E. coli BW25113,38.49999999994179,
WT,B,E. coli BW25113,38.49999999994179,
WT,C,E. coli BW25113,38.49999999994179,
aceE,A,aceE-Ancestor,38.49999999994179,0.143
aceE,B,aceE-Ancestor,38.49999999994179,0.139
aceE,C,aceE-Ancestor,38.49999999994179,0.14
aceE-M2,A,aceE-M2-D44-2,38.49999999994179,
aceE-M2,B,aceE-M2-D44-2,38.49999999994179,
aceE-M2,C,aceE-M2-D44-2,38.49999999994179,
sucB,A,sucB-Ancestor,38.49999999994179,0.569
sucB,B,sucB-Ancestor,38.49999999994179,0.727
sucB,C,sucB-Ancestor,38.49999999994179,0.674
WT,A,E. coli BW25113,38.83333333331393,
WT,B,E. coli BW25113,38.83333333331393,
WT,C,E. coli BW25113,38.83333333331393,
aceE,A,aceE-Ancestor,38.83333333331393,
aceE,B,aceE-Ancestor,38.83333333331393,
aceE,C,aceE-Ancestor,38.83333333331393,
aceE-M2,A,aceE-M2-D44-2,38.83333333331393,
aceE-M2,B,aceE-M2-D44-2,38.83333333331393,
aceE-M2,C,aceE-M2-D44-2,38.83333333331393,
sucB,A,sucB-Ancestor,38.83333333331393,0.63
sucB,B,sucB-Ancestor,38.83333333331393,0.765
sucB,C,sucB-Ancestor,38.83333333331393,0.736
WT,A,E. coli BW25113,39.499999999883585,
WT,B,E. coli BW25113,39.499999999883585,
WT,C,E. coli BW25113,39.499999999883585,
aceE,A,aceE-Ancestor,39.499999999883585,0.146
aceE,B,aceE-Ancestor,39.499999999883585,0.145
aceE,C,aceE-Ancestor,39.499999999883585,0.153
aceE-M2,A,aceE-M2-D44-2,39.499999999883585,
aceE-M2,B,aceE-M2-D44-2,39.499999999883585,
aceE-M2,C,aceE-M2-D44-2,39.499999999883585,
sucB,A,sucB-Ancestor,39.499999999883585,0.72
sucB,B,sucB-Ancestor,39.499999999883585,0.865
sucB,C,sucB-Ancestor,39.499999999883585,0.828
WT,A,E. coli BW25113,40.5,
WT,B,E. coli BW25113,40.5,
WT,C,E. coli BW25113,40.5,
aceE,A,aceE-Ancestor,40.5,0.153
aceE,B,aceE-Ancestor,40.5,0.152
aceE,C,aceE-Ancestor,40.5,0.161
aceE-M2,A,aceE-M2-D44-2,40.5,
aceE-M2,B,aceE-M2-D44-2,40.5,
aceE-M2,C,aceE-M2-D44-2,40.5,
sucB,A,sucB-Ancestor,40.5,0.92
sucB,B,sucB-Ancestor,40.5,1.072
sucB,C,sucB-Ancestor,40.5,1.038
WT,A,E. coli BW25113,41.166666666569654,
WT,B,E. coli BW25113,41.166666666569654,
WT,C,E. coli BW25113,41.166666666569654,
aceE,A,aceE-Ancestor,41.166666666569654,
aceE,B,aceE-Ancestor,41.166666666569654,
aceE,C,aceE-Ancestor,41.166666666569654,
aceE-M2,A,aceE-M2-D44-2,41.166666666569654,
aceE-M2,B,aceE-M2-D44-2,41.166666666569654,
aceE-M2,C,aceE-M2-D44-2,41.166666666569654,
sucB,A,sucB-Ancestor,41.166666666569654,1.002
sucB,B,sucB-Ancestor,41.166666666569654,
sucB,C,sucB-Ancestor,41.166666666569654,
WT,A,E. coli BW25113,41.49999999994179,
WT,B,E. coli BW25113,41.49999999994179,
WT,C,E. coli BW25113,41.49999999994179,
aceE,A,aceE-Ancestor,41.49999999994179,0.158
aceE,B,aceE-Ancestor,41.49999999994179,0.156
aceE,C,aceE-Ancestor,41.49999999994179,0.16
aceE-M2,A,aceE-M2-D44-2,41.49999999994179,
aceE-M2,B,aceE-M2-D44-2,41.49999999994179,
aceE-M2,C,aceE-M2-D44-2,41.49999999994179,
sucB,A,sucB-Ancestor,41.49999999994179,1.072
sucB,B,sucB-Ancestor,41.49999999994179,1.177
sucB,C,sucB-Ancestor,41.49999999994179,1.151
WT,A,E. coli BW25113,42.499999999883585,
WT,B,E. coli BW25113,42.499999999883585,
WT,C,E. coli BW25113,42.499999999883585,
aceE,A,aceE-Ancestor,42.499999999883585,0.164
aceE,B,aceE-Ancestor,42.499999999883585,0.169
aceE,C,aceE-Ancestor,42.499999999883585,0.17
aceE-M2,A,aceE-M2-D44-2,42.499999999883585,
aceE-M2,B,aceE-M2-D44-2,42.499999999883585,
aceE-M2,C,aceE-M2-D44-2,42.499999999883585,
sucB,A,sucB-Ancestor,42.499999999883585,1.233
sucB,B,sucB-Ancestor,42.499999999883585,1.312
sucB,C,sucB-Ancestor,42.499999999883585,1.302
WT,A,E. coli BW25113,43.999999999883585,1.739
WT,B,E. coli BW25113,43.999999999883585,1.754
WT,C,E. coli BW25113,43.999999999883585,1.815
aceE,A,aceE-Ancestor,43.999999999883585,0.174
aceE,B,aceE-Ancestor,43.999999999883585,0.174
aceE,C,aceE-Ancestor,43.999999999883585,0.18
aceE-M2,A,aceE-M2-D44-2,43.999999999883585,
aceE-M2,B,aceE-M2-D44-2,43.999999999883585,
aceE-M2,C,aceE-M2-D44-2,43.999999999883585,
sucB,A,sucB-Ancestor,43.999999999883585,1.389
sucB,B,sucB-Ancestor,43.999999999883585,1.319
sucB,C,sucB-Ancestor,43.999999999883585,1.324
WT,A,E. coli BW25113,45.499999999883585,1.745
WT,B,E. coli BW25113,45.499999999883585,1.704
WT,C,E. coli BW25113,45.499999999883585,1.736
aceE,A,aceE-Ancestor,45.499999999883585,0.186
aceE,B,aceE-Ancestor,45.499999999883585,0.188
aceE,C,aceE-Ancestor,45.499999999883585,0.186
aceE-M2,A,aceE-M2-D44-2,45.499999999883585,
aceE-M2,B,aceE-M2-D44-2,45.499999999883585,
aceE-M2,C,aceE-M2-D44-2,45.499999999883585,
sucB,A,sucB-Ancestor,45.499999999883585,1.386
sucB,B,sucB-Ancestor,45.499999999883585,1.337
sucB,C,sucB-Ancestor,45.499999999883585,1.307
WT,A,E. coli BW25113,51.99999999994179,
WT,B,E. coli BW25113,51.99999999994179,
WT,C,E. coli BW25113,51.99999999994179,
aceE,A,aceE-Ancestor,51.99999999994179,0.254
aceE,B,aceE-Ancestor,51.99999999994179,0.257
aceE,C,aceE-Ancestor,51.99999999994179,0.253
aceE-M2,A,aceE-M2-D44-2,51.99999999994179,
aceE-M2,B,aceE-M2-D44-2,51.99999999994179,
aceE-M2,C,aceE-M2-D44-2,51.99999999994179,
sucB,A,sucB-Ancestor,51.99999999994179,1.434
sucB,B,sucB-Ancestor,51.99999999994179,1.333
sucB,C,sucB-Ancestor,51.99999999994179,1.355
WT,A,E. coli BW25113,53.916666666569654,
WT,B,E. coli BW25113,53.916666666569654,
WT,C,E. coli BW25113,53.916666666569654,
aceE,A,aceE-Ancestor,53.916666666569654,0.309
aceE,B,aceE-Ancestor,53.916666666569654,0.32
aceE,C,aceE-Ancestor,53.916666666569654,0.31
aceE-M2,A,aceE-M2-D44-2,53.916666666569654,
aceE-M2,B,aceE-M2-D44-2,53.916666666569654,
aceE-M2,C,aceE-M2-D44-2,53.916666666569654,
sucB,A,sucB-Ancestor,53.916666666569654,1.455
sucB,B,sucB-Ancestor,53.916666666569654,1.376
sucB,C,sucB-Ancestor,53.916666666569654,1.398
WT,A,E. coli BW25113,54.99999999994179,
WT,B,E. coli BW25113,54.99999999994179,
WT,C,E. coli BW25113,54.99999999994179,
aceE,A,aceE-Ancestor,54.99999999994179,0.333
aceE,B,aceE-Ancestor,54.99999999994179,0.349
aceE,C,aceE-Ancestor,54.99999999994179,0.324
aceE-M2,A,aceE-M2-D44-2,54.99999999994179,
aceE-M2,B,aceE-M2-D44-2,54.99999999994179,
aceE-M2,C,aceE-M2-D44-2,54.99999999994179,
sucB,A,sucB-Ancestor,54.99999999994179,1.471
sucB,B,sucB-Ancestor,54.99999999994179,1.388
sucB,C,sucB-Ancestor,54.99999999994179,1.412
WT,A,E. coli BW25113,56.49999999994179,
WT,B,E. coli BW25113,56.49999999994179,
WT,C,E. coli BW25113,56.49999999994179,
aceE,A,aceE-Ancestor,56.49999999994179,0.405
aceE,B,aceE-Ancestor,56.49999999994179,0.433
aceE,C,aceE-Ancestor,56.49999999994179,0.392
aceE-M2,A,aceE-M2-D44-2,56.49999999994179,
aceE-M2,B,aceE-M2-D44-2,56.49999999994179,
aceE-M2,C,aceE-M2-D44-2,56.49999999994179,
sucB,A,sucB-Ancestor,56.49999999994179,
sucB,B,sucB-Ancestor,56.49999999994179,
sucB,C,sucB-Ancestor,56.49999999994179,
WT,A,E. coli BW25113,57.499999999883585,
WT,B,E. coli BW25113,57.499999999883585,
WT,C,E. coli BW25113,57.499999999883585,
aceE,A,aceE-Ancestor,57.499999999883585,0.449
aceE,B,aceE-Ancestor,57.499999999883585,0.491
aceE,C,aceE-Ancestor,57.499999999883585,0.435
aceE-M2,A,aceE-M2-D44-2,57.499999999883585,
aceE-M2,B,aceE-M2-D44-2,57.499999999883585,
aceE-M2,C,aceE-M2-D44-2,57.499999999883585,
sucB,A,sucB-Ancestor,57.499999999883585,
sucB,B,sucB-Ancestor,57.499999999883585,
sucB,C,sucB-Ancestor,57.499999999883585,
WT,A,E. coli BW25113,58.5,
WT,B,E. coli BW25113,58.5,
WT,C,E. coli BW25113,58.5,
aceE,A,aceE-Ancestor,58.5,0.514
aceE,B,aceE-Ancestor,58.5,0.572
aceE,C,aceE-Ancestor,58.5,0.499
aceE-M2,A,aceE-M2-D44-2,58.5,
aceE-M2,B,aceE-M2-D44-2,58.5,
aceE-M2,C,aceE-M2-D44-2,58.5,
sucB,A,sucB-Ancestor,58.5,
sucB,B,sucB-Ancestor,58.5,
sucB,C,sucB-Ancestor,58.5,
WT,A,E. coli BW25113,59.49999999994179,
WT,B,E. coli BW25113,59.49999999994179,
WT,C,E. coli BW25113,59.49999999994179,
aceE,A,aceE-Ancestor,59.49999999994179,0.587
aceE,B,aceE-Ancestor,59.49999999994179,0.651
aceE,C,aceE-Ancestor,59.49999999994179,0.576
aceE-M2,A,aceE-M2-D44-2,59.49999999994179,
aceE-M2,B,aceE-M2-D44-2,59.49999999994179,
aceE-M2,C,aceE-M2-D44-2,59.49999999994179,
sucB,A,sucB-Ancestor,59.49999999994179,
sucB,B,sucB-Ancestor,59.49999999994179,
sucB,C,sucB-Ancestor,59.49999999994179,
WT,A,E. coli BW25113,60.16666666668607,
WT,B,E. coli BW25113,60.16666666668607,
WT,C,E. coli BW25113,60.16666666668607,
aceE,A,aceE-Ancestor,60.16666666668607,0.631
aceE,B,aceE-Ancestor,60.16666666668607,0.702
aceE,C,aceE-Ancestor,60.16666666668607,0.621
aceE-M2,A,aceE-M2-D44-2,60.16666666668607,
aceE-M2,B,aceE-M2-D44-2,60.16666666668607,
aceE-M2,C,aceE-M2-D44-2,60.16666666668607,
sucB,A,sucB-Ancestor,60.16666666668607,
sucB,B,sucB-Ancestor,60.16666666668607,
sucB,C,sucB-Ancestor,60.16666666668607,
WT,A,E. coli BW25113,60.499999999883585,
WT,B,E. coli BW25113,60.499999999883585,
WT,C,E. coli BW25113,60.499999999883585,
aceE,A,aceE-Ancestor,60.499999999883585,0.654
aceE,B,aceE-Ancestor,60.499999999883585,0.728
aceE,C,aceE-Ancestor,60.499999999883585,0.642
aceE-M2,A,aceE-M2-D44-2,60.499999999883585,
aceE-M2,B,aceE-M2-D44-2,60.499999999883585,
aceE-M2,C,aceE-M2-D44-2,60.499999999883585,
sucB,A,sucB-Ancestor,60.499999999883585,
sucB,B,sucB-Ancestor,60.499999999883585,
sucB,C,sucB-Ancestor,60.499999999883585,
WT,A,E. coli BW25113,60.91666666668607,
WT,B,E. coli BW25113,60.91666666668607,
WT,C,E. coli BW25113,60.91666666668607,
aceE,A,aceE-Ancestor,60.91666666668607,0.681
aceE,B,aceE-Ancestor,60.91666666668607,0.745
