Strain,Replicate,Metabolite,Concentration [nM],Label,Concentration [nΜ],Concentration [μΜ],AUC [gDW/L*h],Rate [mmol/gDW/h]
aceE-M4,B,Lactate,251916.32585963397,ΔaceE-M4,,251.916325859634,1.5363120833288253,0.1639747083898415
aceE-M4,C,Lactate,325327.256776034,ΔaceE-M4,,325.327256776034,1.9243510833336388,0.16905816178431182
WT,A,Lactate,2850.15446063782,E. coli WT,,2.85015446063782,2.0394393333560843,0.0013975186287829558
WT,B,Lactate,3407.3119111701,E. coli WT,,3.4073119111701,2.0583972500232512,0.0016553228057079904
WT,C,Lactate,2841.0049652086304,E. coli WT,,2.84100496520863,2.212482583354886,0.001284080148961303
aceE,A,Fructose-6-phosphate,5241.27950772216,ΔaceE,,5.24127950772216,4.307984873352873,0.0012166429692319024
aceE,B,Fructose-6-phosphate,4058.28305655369,ΔaceE,,4.05828305655369,4.32662908335389,0.0009379780374905202
aceE,C,Fructose-6-phosphate,4349.51668401165,ΔaceE,,4.3495166840116495,4.292629970018539,0.0010132521820866067
aceE-M2,A,Fructose-6-phosphate,5061.2660297064795,ΔaceE-M2,,5.06126602970648,1.5996300833580988,0.003164022783993521
aceE-M2,B,Fructose-6-phosphate,4801.11284750233,ΔaceE-M2,,4.8011128475023295,1.5333134166917877,0.0031312012242487304
aceE-M2,C,Fructose-6-phosphate,4908.66211691033,ΔaceE-M2,,4.90866211691033,1.5236542500256178,0.003221637794025645
aceE-M3,A,Fructose-6-phosphate,5618.70401531632,ΔaceE-M3,,5.61870401531632,1.9918499166636223,0.002820847077036673
aceE-M3,B,Fructose-6-phosphate,5807.24194702215,ΔaceE-M3,,5.80724194702215,2.4725736666648808,0.002348662863038261
aceE-M3,C,Fructose-6-phosphate,6269.06760205012,ΔaceE-M3,,6.26906760205012,2.200026583332501,0.0028495417507883106
aceE-M4,A,Fructose-6-phosphate,2984.39866011077,ΔaceE-M4,,2.9843986601107697,1.8544446666667436,0.0016093220324956113
aceE-M4,B,Fructose-6-phosphate,4674.34887983715,ΔaceE-M4,,4.67434887983715,1.5363120833288253,0.003042577696654537
aceE-M4,C,Fructose-6-phosphate,7012.728962371941,ΔaceE-M4,,7.01272896237194,1.9243510833336388,0.003644204544122728
WT,A,Fructose-6-phosphate,3071.17668009248,E. coli WT,,3.07117668009248,2.0394393333560843,0.0015058926391492988
WT,B,Fructose-6-phosphate,3312.57842160137,E. coli WT,,3.31257842160137,2.0583972500232512,0.0016092998674400445
WT,C,Fructose-6-phosphate,3373.0275938782297,E. coli WT,,3.3730275938782297,2.212482583354886,0.0015245442469262551
sucB-M5,A,Citrate,6698.44198359704,ΔsucB-M5,,6.69844198359704,1.2717674033618545,0.0052670338663265304
sucB-M5,B,Citrate,17930.667883652397,ΔsucB-M5,,17.930667883652397,1.3407972866946072,0.01337313855091091
sucB-M5,C,Citrate,15002.092841774398,ΔsucB-M5,,15.002092841774399,1.3730577500282966,0.010926046512949095
