Timestamp,Time [h],Day,Strain-Bioreactor,OD,Strain,Bioreactor
2024-04-15 07:15:00,308.5000000001164,13,sucB-M5,0.67,sucB,M5
2024-04-15 13:25:00,314.6666666668025,13,sucB-M5,0.82,sucB,M5
2024-04-15 21:10:00,322.4166666667443,13,sucB-M5,1.25,sucB,M5
2024-04-16 07:20:00,332.58333333337214,14,sucB-M5,0.72,sucB,M5
2024-04-16 15:00:00,340.2500000000582,14,sucB-M5,1.75,sucB,M5
2024-04-17 07:15:00,356.5000000001164,15,sucB-M5,1.2,sucB,M5
2024-04-17 12:00:00,361.2500000000582,15,sucB-M5,,sucB,M5
2024-04-18 07:45:00,381.0,16,sucB-M5,1.45,sucB,M5
2024-04-18 14:00:00,387.2500000001164,16,sucB-M5,1.43,sucB,M5
2024-04-19 07:25:00,404.6666666668025,17,sucB-M5,1.56,sucB,M5
2024-04-19 14:00:00,411.2500000001164,17,sucB-M5,1.3,sucB,M5
2024-04-20 08:40:00,429.91666666668607,18,sucB-M5,1.4,sucB,M5
2024-04-21 07:40:00,452.9166666667443,19,sucB-M5,1.61,sucB,M5
2024-04-22 07:25:00,476.6666666668025,20,sucB-M5,1.36,sucB,M5
2024-04-22 14:00:00,483.2500000001164,20,sucB-M5,2.71,sucB,M5
2024-04-23 07:15:00,500.5000000001164,21,sucB-M5,2.67,sucB,M5
2024-04-23 13:30:00,506.7500000000582,21,sucB-M5,2.44,sucB,M5
2024-04-24 07:15:00,524.5000000001164,22,sucB-M5,2.43,sucB,M5
2024-04-24 12:00:00,529.2500000000582,22,sucB-M5,2.7,sucB,M5
2024-04-25 10:40:00,551.9166666667443,23,sucB-M5,2.47,sucB,M5
2024-04-26 10:35:00,575.8333333333139,24,sucB-M5,2.42,sucB,M5
2024-04-27 11:50:00,601.0833333333721,25,sucB-M5,1.99,sucB,M5
2024-04-28 10:20:00,623.5833333333721,26,sucB-M5,2.08,sucB,M5
2024-04-29 07:40:00,644.9166666667443,27,sucB-M5,1.87,sucB,M5
2024-04-30 07:40:00,668.9166666667443,28,sucB-M5,1.72,sucB,M5
2024-05-01 08:00:00,693.2500000001164,29,sucB-M5,1.89,sucB,M5
2024-05-02 07:15:00,716.5000000001164,30,sucB-M5,1.81,sucB,M5
2024-05-03 11:15:00,744.5000000000582,31,sucB-M5,,sucB,M5
2024-05-05 10:30:00,791.7500000000582,33,sucB-M5,,sucB,M5
2024-05-06 08:30:00,813.75,34,sucB-M5,,sucB,M5
2024-05-07 07:30:00,836.7500000000582,35,sucB-M5,,sucB,M5
2024-05-08 07:30:00,860.7500000000582,36,sucB-M5,,sucB,M5
2024-05-10 06:45:00,908.0000000000582,38,sucB-M5,,sucB,M5
2024-05-11 18:00:00,943.2500000000582,39,sucB-M5,,sucB,M5
2024-05-13 08:40:00,981.9166666666861,41,sucB-M5,,sucB,M5
2024-05-14 07:20:00,1004.5833333333721,42,sucB-M5,,sucB,M5
2024-05-15 07:40:00,1028.9166666667443,43,sucB-M5,,sucB,M5
2024-05-16 07:30:00,1052.7500000000582,44,sucB-M5,,sucB,M5
2024-04-02 10:45:00,0.0,0,sucB-M6,0.1,sucB,M6
2024-04-03 08:30:00,21.75,1,sucB-M6,3.0,sucB,M6
2024-04-03 10:30:00,23.750000000058208,1,sucB-M6,2.66,sucB,M6
