,Carbon source,Phase,Metabolite,Intracellular concentration [uM],Error [uM],SEM [uM],# values,idx concentration sheet,Min,Max,LB,Min LB,UB,Max UB
84,L-alanine,Stationary,Cis-aconitate,21.349999999999998,26.068000000000005,13.300000000000002,3.0,"49,48,50",8.049999999999999,47.95,-4.718000000000007,13.8,47.418000000000006,174.0
85,L-alanine,Exponential,Cis-aconitate,21.349999999999998,26.068000000000005,13.300000000000002,3.0,"49,48,50",8.049999999999999,47.95,-4.718000000000007,13.8,47.418000000000006,174.0
86,L-alanine,Stationary,Creatine,,,,,,,,,,,
87,L-alanine,Exponential,Creatine,,,,,,,,,,,
88,L-alanine,Stationary,Deoxycarnitine (deoxy-c0),,,,,,,,,,,
89,L-alanine,Exponential,Deoxycarnitine (deoxy-c0),,,,,,,,,,,
90,L-alanine,Stationary,Gamma-aminobutyrate,43.6,0.0,0.0,1.0,86,43.6,43.6,43.6,43.6,43.6,43.6
91,L-alanine,Exponential,Gamma-aminobutyrate,43.6,0.0,0.0,1.0,86,43.6,43.6,43.6,43.6,43.6,43.6
92,L-alanine,Stationary,Glutamate,4270.0,0.0,0.0,1.0,101,4270.0,4270.0,4270.0,4270.0,4270.0,4270.0
93,L-alanine,Exponential,Glutamate,58850.666666666664,55639.652895900304,28387.5780081124,5.0,"94,100,98,96,95",1961.6666666666667,149000.0,3211.01377076636,1825.8345971428937,114490.31956256696,168000.0
94,L-alanine,Stationary,Glutamine,494.0,0.0,0.0,1.0,108,494.0,494.0,494.0,494.0,494.0,494.0
95,L-alanine,Exponential,Glutamine,2556.3666666666663,1763.38407256855,899.6857513104846,5.0,"103,105,107,110,106",383.5,4950.0,792.9825940981164,325.1179856462626,4319.750739235216,5630.0
96,L-alanine,Stationary,Glutarylcarnitine (c5-dc),,,,,,,,,,,
97,L-alanine,Exponential,Glutarylcarnitine (c5-dc),,,,,,,,,,,
98,L-alanine,Stationary,Glycine,318.0,0.0,0.0,1.0,115,318.0,318.0,318.0,318.0,318.0,318.0
99,L-alanine,Exponential,Glycine,427.9166666666667,69.41666666666659,35.41666666666663,2.0,"113,112",392.50000000000006,463.3333333333333,358.5000000000001,350.8259873142347,497.33333333333326,572.8032277234248
