Metabolite,Glucose,Glucose-LB,Glucose-UB,Glycerol,Glycerol-LB,Glycerol-UB,Acetate,Acetate-LB,Acetate-UB
citrulline,1.35E-03,1.23E-03,1.48E-03,9.31E-04,6.24E-04,1.39E-03,5.16E-04,3.85E-04,6.90E-04
CMP,3.60E-04,1.87E-04,6.94E-04,,,,,,
coenzyme-A,1.37E-03,8.83E-05,2.12E-02,4.54E-03,2.65E-04,7.78E-02,3.70E-03,2.17E-04,6.30E-02
CTP,2.73E-03,2.27E-03,3.27E-03,1.40E-03,5.64E-04,3.49E-03,1.15E-03,4.75E-04,2.77E-03
cyclic-AMP,3.52E-05,2.82E-05,4.39E-05,8.30E-05,3.04E-05,2.26E-04,1.46E-04,5.37E-05,3.98E-04
cytidine,2.59E-06,1.18E-06,5.67E-06,,,,,,
cytosine,1.41E-05,8.65E-06,2.29E-05,,,,,,
dAMP,8.84E-06,2.99E-06,2.62E-05,,,,,,
dATP,1.55E-05,8.13E-06,2.96E-05,5.10E-05,2.50E-05,1.04E-04,6.85E-05,1.90E-05,2.46E-04
dCTP,3.45E-05,2.60E-05,4.57E-05,,,,,,
deoxyadenosine,2.82E-06,1.80E-06,4.41E-06,,,,,,
deoxyguanosine,5.22E-07,4.11E-07,6.62E-07,,,,,,
deoxyribose-5-P,3.03E-04,4.82E-05,1.90E-03,,,,,,
dGMP,5.07E-05,3.91E-05,6.58E-05,,,,,,
dihydroorotate,1.19E-05,1.16E-05,1.23E-05,4.58E-06,3.34E-06,6.28E-06,3.59E-06,2.44E-06,5.28E-06
dihydroxyacetonephosphate,3.74E-04,3.44E-04,4.05E-04,5.44E-04,3.72E-04,7.95E-04,1.47E-04,6.74E-05,3.19E-04
dTDP,3.78E-04,3.37E-04,4.26E-04,,,,,,
dTTP,4.62E-03,4.21E-03,5.08E-03,5.25E-04,3.84E-04,7.17E-04,6.67E-04,5.56E-04,8.01E-04
FAD,1.73E-04,9.33E-05,3.19E-04,2.09E-04,4.23E-05,1.04E-03,4.93E-05,6.56E-06,3.71E-04
