,Sample ID,Strain,Hours,OD600,Replicate
849,9A,tpiA,66.0,1.785,A
850,9B,tpiA,66.0,1.771,B
851,9C,tpiA,66.0,1.76,C
852,10A,zwf,66.0,1.766,A
853,10B,zwf,66.0,1.786,B
854,10C,zwf,66.0,1.687,C
855,11A,WT,66.0,1.678,A
856,11B,WT,66.0,1.743,B
857,11C,WT,66.0,1.768,C
858,1A,aceE,68.16666666656965,0.155,A
859,1B,aceE,68.16666666656965,0.127,B
860,1C,aceE,68.16666666656965,0.141,C
861,2A,cyoD,68.16666666656965,,A
862,2B,cyoD,68.16666666656965,,B
863,2C,cyoD,68.16666666656965,,C
864,3A,lacA,68.16666666656965,,A
865,3B,lacA,68.16666666656965,,B
866,3C,lacA,68.16666666656965,,C
867,4A,nuoA,68.16666666656965,,A
868,4B,nuoA,68.16666666656965,,B
869,4C,nuoA,68.16666666656965,,C
870,5A,pgi,68.16666666656965,,A
871,5B,pgi,68.16666666656965,,B
872,5C,pgi,68.16666666656965,,C
873,6A,rpe,68.16666666656965,,A
874,6B,rpe,68.16666666656965,,B
875,6C,rpe,68.16666666656965,,C
876,7A,sdhB,68.16666666656965,,A
877,7B,sdhB,68.16666666656965,,B
878,7C,sdhB,68.16666666656965,,C
879,8A,sucB,68.16666666656965,,A
880,8B,sucB,68.16666666656965,,B
881,8C,sucB,68.16666666656965,,C
882,9A,tpiA,68.16666666656965,,A
883,9B,tpiA,68.16666666656965,,B
884,9C,tpiA,68.16666666656965,,C
885,10A,zwf,68.16666666656965,,A
886,10B,zwf,68.16666666656965,,B
887,10C,zwf,68.16666666656965,,C
888,11A,WT,68.16666666656965,,A
889,11B,WT,68.16666666656965,,B
890,11C,WT,68.16666666656965,,C
891,1A,aceE,71.49999999994179,0.205,A
892,1B,aceE,71.49999999994179,0.15,B
893,1C,aceE,71.49999999994179,0.173,C
894,2A,cyoD,71.49999999994179,,A
895,2B,cyoD,71.49999999994179,,B
896,2C,cyoD,71.49999999994179,,C
897,3A,lacA,71.49999999994179,,A
898,3B,lacA,71.49999999994179,,B
899,3C,lacA,71.49999999994179,,C
900,4A,nuoA,71.49999999994179,,A
901,4B,nuoA,71.49999999994179,,B
902,4C,nuoA,71.49999999994179,,C
903,5A,pgi,71.49999999994179,,A
904,5B,pgi,71.49999999994179,,B
905,5C,pgi,71.49999999994179,,C
906,6A,rpe,71.49999999994179,,A
907,6B,rpe,71.49999999994179,,B
908,6C,rpe,71.49999999994179,,C
909,7A,sdhB,71.49999999994179,,A
910,7B,sdhB,71.49999999994179,,B
911,7C,sdhB,71.49999999994179,,C
912,8A,sucB,71.49999999994179,,A
913,8B,sucB,71.49999999994179,,B
914,8C,sucB,71.49999999994179,,C
915,9A,tpiA,71.49999999994179,,A
916,9B,tpiA,71.49999999994179,,B
917,9C,tpiA,71.49999999994179,,C
918,10A,zwf,71.49999999994179,,A
919,10B,zwf,71.49999999994179,,B
920,10C,zwf,71.49999999994179,,C
921,11A,WT,71.49999999994179,,A
922,11B,WT,71.49999999994179,,B
923,11C,WT,71.49999999994179,,C
924,1A,aceE,74.49999999994179,0.232,A
925,1B,aceE,74.49999999994179,0.191,B
926,1C,aceE,74.49999999994179,0.208,C
927,2A,cyoD,74.49999999994179,,A
928,2B,cyoD,74.49999999994179,,B
929,2C,cyoD,74.49999999994179,,C
930,3A,lacA,74.49999999994179,,A
931,3B,lacA,74.49999999994179,,B
