Time,G6P,F6P,FBP,DHAP,GA3P,23PG,R5P,RU5P+X5P,S7P,E4P,ASN,GLU,SER,THR,GLN,HOM,TYR,GLY,PRO,ALA,MET,VAL,ARG,LYS
30,0.218369717,0.058968918,0.248772989,0.28,0.028,0.100664459,0.004618802,0.002309401,0.051588112,0.407705776,0.787908624,1.580379701,0.348742503,0.036769553,0.012028854,0.340196022,0.023753516,45.38252233,0.014839587,2.893671255,0.189032625,0.601775152,NaN,113.137085
31,0.061101009,0.12489996,1.15383881,0.140475383,0.019731531,0.183303028,0.017435596,0.008326664,0.018036999,0.155400558,0.560475988,1.196216257,0.218686991,0.052459508,0.022394047,1.104898185,0.025349819,35.42955452,0.023273447,2.052640576,0.197315314,0.468757222,NaN,146.860478
32,0.023094011,0.036073998,0.103098658,0.18036999,0.022271057,0.092376043,0.083522452,0.026229754,0.026633312,NaN,0.522047252,4.6942234,0.356456636,0.08,0.05658174,1.69579873,0.103864784,24.20027548,0.080392039,2,0.571780844,1.149840569,NaN,181.5635793
34,0.23413956,0.118861264,0.176378381,0.138564065,0.008326664,0.12858201,0.019731531,0.010066446,0.03494758,0.104651804,0.169705627,2.304430515,1.571379012,0.376180808,0.045733139,0.706918194,0.447800372,22.03028219,0.321106421,1.973153145,0.24979992,1.726190411,0.037181357,140.4753834
36,0.061101009,0.243244733,0.10690806,0.105830052,0.016970563,0.100664459,0.104919016,0.018903263,0.016970563,0.356583791,0.847899365,3.527567623,0.400666112,0.107802288,0.016632498,1.524729484,0.083490838,34.92926185,0.034019602,3.174901573,0.468757222,1.420422472,0.058410958,100.6644591
38,0.061101009,0.05033223,0.145986301,0.189032625,0.010066446,0.500133316,0.008326664,0.016,0.010583005,0.138592929,0.509116882,4.947942333,0.122202019,0.217782766,0.015514294,0.934094927,0.079612059,69.39740629,0.123698558,1.285820101,0.241108551,1.50589951,0.160734315,23.09401077
40,0.210155498,0.137423918,0.042332021,0.04,0.020132892,0.33306656,0.031749016,0.004,0.018036999,0.216012345,0.394630629,0.523067873,0.576888204,0.236913486,0.020600324,1.257298692,0.168491345,38.52687374,0.086932924,1.2,0.529150262,3.084498879,0.072929921,160
42,0.308077912,0.006110101,0.099142994,0.046188022,0.012220202,0.34176015,0.031240999,0.006928203,0.034641016,0.290002299,0.266333125,1.859462288,0.201328918,0.422039493,0.018774451,1.998532795,0.125496348,177.2135435,0.047384948,1.6653328,0.773907833,3.622448527,1.795750911,122.2020185
44,0.04,0.115723809,0.047721414,0.072332565,0.010583005,0.12,0.016653328,0.011547005,0.031240999,0.050911688,1.099818167,2.046395205,0.935521245,0.236722059,0.020420904,0.340196022,0.099946652,125.4910355,0.094572723,0.4,0.442417601,2.22003003,1.253863491,100.6644591
46,0.12858201,0.018903263,0.166324983,0.099946652,0.012220202,0.12858201,0.011313708,0.004,0.028378396,0.296984848,0.540123443,1.442959921,0.839364839,0.348375277,0.014290323,0.833626615,0.174646309,67.91092205,0.134004975,1.006644591,0.757187779,3.019933774,1.255449901,100.6644591
48,0.22627417,0.011313708,0.025455844,0.132936075,0.005656854,0.424264069,0.036769553,0.011313708,0.042426407,NaN,NaN,4.949747468,2.177888886,0.056568542,0.033941125,3.450681092,0.427092496,36.76955262,0.466690476,1.13137085,0.367695526,3.676955262,0.157543391,203.646753
50,0.22224311,0.158341403,0.109981817,0.12002222,0.012220202,0.241108551,0.044060564,0.014047538,0.042770706,0.172,0.323316151,2.08,2.031879262,0.380175398,0.044060564,0.927218061,0.12604761,65.03332479,0.087726849,0.230940108,0.144222051,2.052640576,NaN,105.8300524
52,0.220302822,0.025716402,0.024440404,0.065033325,0.008326664,0.283783955,0.027712813,0.004618802,0.041761226,0.20880613,0.335459883,1.247717917,0.189032625,0.139312598,0.011484482,0.400666112,0.174049342,99.14299437,0.046360903,3.028751118,0.993847742,4.105281152,NaN,61.10100927
56,0.139733079,0.031749016,0.055569776,0.157039273,0.026025628,0.272274371,0.020526406,0.008326664,0.006110101,0.225388553,0.473849484,3.881649134,0.362950869,0.272538682,0.017019205,1.460410901,0.09566971,12,0.022030282,1.285820101,0.940638081,3.487119155,0.092231882,83.26663998
60,0.346484307,0.056855376,0.251364253,0.03114711,0.024501621,0.348788192,0.035851546,0.022884057,0.052245463,0.178033705,0.395979797,1.656180344,0.642910051,0.389755479,0.019644847,0.720370275,0.072572538,58.10335619,0.060044428,1.32242202,0.211660105,5.143280406,0.070009523,23.09401077
64,0.023756281,0.056272228,0.084738148,0.029177894,0.064160657,0.057340426,0.012,0.013212117,0.021375209,0.195236609,0.975158107,1.840579619,0.484974226,0.123698558,0.014087347,0.440605644,0.02425201,88.12112876,0.088754343,1.028396811,0.24979992,1.803699901,0.074868774,144.222051
68,0.132269376,0.026630402,NaN,0.007706911,0.089456032,0.175177894,0.018036999,0.01800508,0.0291295,0.242783854,0.697423831,2.46781955,0.766289762,0.104230514,0.036665697,0.833626615,0.040463976,38.15756806,0.076628976,1.379468497,0.069282032,1.006644591,0.093836738,23.09401077
72,0.13675766,0.09366974,0.151318121,0.160617151,0.021829279,0.303417012,0.020526406,0.029260474,0.047339028,0.181019336,0.848528137,3.280325187,2.624296731,0.65695459,0.148257254,1.023197602,0.293730035,28.93671255,0.609712501,2.651590718,1.275199331,5.51845389,0.125368789,83.26663998
76,0.17434661,0.094981093,0.074130437,0.059863072,0.07324093,0.172021277,0.014422205,0.015256038,0.024681966,0.413305375,0.366606056,4.478749826,0.960277738,0.178542245,0.017437125,0.707672241,0.123569144,80.53156731,0.31303248,3.260511207,0.790274214,3.274141109,0.099304246,40
80,0.194048149,0.049405393,0.048421799,0.023545002,0.092306485,0.087588947,0.014047538,0.022884057,0.037022948,0.016970563,0.720370275,1.300461457,NaN,0.233729188,0.040072601,0.151437556,0.200439517,82.59136355,0.077700279,1.420422472,0.30022214,3.019933774,0.148665172,23.09401077
86,0.161489081,0.060098766,NaN,0.032086429,0.058638564,0.29424821,0.019731531,0.022884057,0.037022948,0.207473693,0.311126984,1.092031746,0.784176851,0.384111095,0.010294335,0.529150262,0.127582653,34.64101615,0.077871689,0.899184816,1.023197602,2.274496281,0.161658075,61.10100927
92,0.385500533,0.059823713,NaN,0.047090003,0.064026922,0.114680851,0.022271057,0.004993711,0.00807907,0.399145754,1.259206099,2.209917042,1.092031746,0.294844592,0.026750202,0.48,0.112166543,86.62563131,0.26800995,0.688573404,1.157468502,6.657326791,0.04,69.2820323
98,0.236205378,0.091442371,0.478165262,0.03114711,0.030274184,0.13242204,0.016165808,0.016052534,0.025970576,0.307384667,0.161658075,1.34004975,1.221365356,0.092376043,0.028956059,0.940070919,0.056756791,57.73502692,0.086193581,0.820081297,0.765593452,4.326661531,0.381575681,83.26663998
104,0.479579766,0.10582259,0.468138259,0.073519244,0.029878357,0.13242204,0.014422205,0.017537336,0.02837276,0.274002433,0.140475383,0.725901738,0.546015873,0.33306656,0.022528205,0.637913265,0.125560079,31.74901573,0.222710575,1.675390502,1.444622211,3.208322511,0.161658075,211.6601049
110,0.589515216,0.016244393,0.066579973,0.013348761,0.008526421,0.368647359,0.031749016,0.022517889,0.036430543,0.092980285,0.384360941,0.796994354,0.968572833,0.506491198,0.009699485,0.860077516,0.223153161,97.51581068,0.105830052,1.77583783,0.766289762,5.937451754,0.280950767,83.26663998
116,0.359169043,0.134752601,NaN,0.004449587,0.021209673,0.546992797,0.02261445,0.007628019,0.012340983,0.073539105,0.100664459,1.683963578,1.258782481,0.37806525,0.015724291,0.975158107,0.08711678,20.78460969,0.440605644,0.866256313,1.174620506,4.613025038,0.58286648,234.3786111
128,0.894677314,0.107676557,0.275515354,0.035317503,0.093169149,0.119363614,0.089796511,0.01256723,0.02033188,0.326100189,0.312930237,5.332066516,1.164130577,0.560475988,0.035156792,2.104978226,0.074868774,20.13289183,0.564269439,2.161604342,0.725901738,6.404165311,0.266333125,80
140,0.726341821,0.121086124,0.690346813,0.007706911,0.119401808,0.315806439,0.023094011,0.018905884,0.030586864,0.498835978,0.162693987,1.858314649,0.877572409,0.100664459,0.014655147,2.223630665,0.335459883,70.76722405,0.266333125,2.722743714,1.87104249,NaN,0.578734251,80
152,0.237562812,0.049903611,0.599270706,0.011772501,0.028658091,1.138656308,0.054110997,0.014415601,0.023322265,0.215604576,0.167761736,2.893671255,0.312409987,0.611010093,0.025525935,3.600222215,0.589236795,18.33030278,0.62268237,0.8326664,0.780085465,NaN,0.808949937,151.4375559
164,0.532637691,0.021489312,0.617377934,0.053948376,0.045244059,0.520293932,0.037166293,0.004993711,0.00807907,0.304245515,0.266843275,1.803699901,0.567567911,0.266333125,0.009406381,1.023197602,0.72700298,164.2924222,0.260256284,2.837839554,1.054008223,NaN,0.873002482,83.26663998
182,0.74333619,0.218394976,0.778299143,0.047090003,0.077098932,1.07120755,0.034486712,0.047984684,0.077631971,0.515011974,0.089472528,1.6,0.119353816,0.189032625,0.0090185,0.8,0.358515458,60.17751518,0.432666153,4.214261501,0.750821772,NaN,1.431828668,80
227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
