,log10(Rate [mmol/gDW/h])
157,-0.8662606123589605
158,-2.809823669847754
159,-0.20652181842556078
160,-0.7665329953402463
161,-1.2264623916943675
162,-3.9119767368177154
163,-3.2293130035314923
164,
165,
166,-3.78459700257627
167,
168,-2.9648457442704603
169,-3.856829301897791
170,-4.4649200195008385
171,
172,
173,
174,-2.116912251868029
175,-4.639859906893455
176,-4.8201514682690565
177,-4.864097197395798
178,-4.374446655948528
179,-5.128890618031164
180,-4.159084128328609
181,-4.2116746362516375
182,-3.839496473361958
183,-4.155847663175405
184,-2.1950711116471493
185,-2.3012171033413087
186,-1.5081494276973062
187,
188,
189,-0.5996688067753096
190,-2.4451045847604185
191,-2.5005134083979463
192,-1.9759391234007455
193,-2.593874882666125
194,-2.259800329834331
195,-2.767230223648204
196,
197,
198,
199,
200,-2.254480630337054
201,-2.569935991794414
202,-2.4898297982905295
203,-4.012531094025334
204,-3.9433264820641796
205,-4.030383181213636
206,-3.345045618507496
207,-3.428652539940316
208,-3.333214118670318
209,-3.1105032394770955
210,-3.043037481365513
211,-3.096188900042125
212,-3.165934032543884
213,-3.1556217418360126
214,-3.4446928353044726
215,-1.7703669122328813
216,-2.4558472609606885
217,-3.9817915285447225
218,-2.1845640426249817
219,-2.587174467358593
220,-2.386939110846365
221,-2.1658002758851596
222,-2.199364697096037
223,-3.219582800699421
224,-4.137085256541497
225,-4.358769545054376
226,-4.652969893804217
227,-3.4927456192857798
228,-3.5416384114931354
229,-3.8322224429290244
230,-3.4366821242198746
231,-3.43218262276965
232,-3.5059329082243194
233,-2.9108783385703094
234,-2.964680999035058
235,-5.193926507447832
236,-5.288087579668031
237,-5.365284582095281
238,-4.993777918203214
239,-4.8890834155355165
240,-4.879006618406636
241,-4.722771474792854
242,-4.699523998402449
243,-4.725300740990288
244,-6.050527442447195
245,-5.163140142238306
246,-4.434866272212336
247,-3.8045064392954724
248,-4.900216866258675
249,-4.885243687761001
250,-5.234132422484892
251,-4.77715080219096
252,-4.077826133722883
253,-4.705519078798386
254,-4.204688502415817
255,-4.6837196843149265
257,-2.8247792536396426
258,-3.7018953288337215
259,-3.785587446461621
260,-4.256471892641509
261,-2.8068955188687217
262,-2.4576430916030785
263,-2.372514125510807
265,-3.8371426987561548
266,-4.385728941238187
267,-3.368984362156464
268,
269,-0.7645798221413146
270,-0.6954323395423155
271,-0.6862872671697563
272,-1.3146210190071572
273,-1.4012309568649501
274,-1.519520802012775
276,-2.504305002927965
277,-3.2888136369721024
278,-3.0173423398465444
279,-2.9012081270222354
280,-4.882622071669575
281,-4.654977206287247
282,-4.212868272312836
283,-3.027980984182788
285,-2.6680646285011487
286,-4.941734201414788
287,-2.758259896667704
289,-3.0359976930340737
290,-4.923384143803384
291,-2.6095908815785984
293,-3.3299331237539636
294,-2.7114496979657736
296,-2.9701305154597577
297,-4.509053815567557
298,-3.269074725779001
300,-3.386632124206541
301,-3.457276210412742
303,-2.861489010344531
304,-3.457276210412742
306,-2.861489010344531
307,-3.666074214651974
308,-2.9829364097227886
309,-3.5258385135909736
311,-2.879735287935855
312,-4.154783654088796
314,-3.558211094151743
315,-4.154783654088796
317,-3.558211094151743
318,-4.316244018121515
320,-4.548244592664249
