,Species,Carbon source,model,RSS,RMSD,bic,aic,weighted_bic,weighted_aic,y0,K,r,nu,q0,v,has_lag,has_nu,max_growth_rate,min_doubling_time,lag,Binary growth evaluation,Yield
85,Oa,Malate,Model(BaranyiRoberts),0.258353086,0.040695326,-968.6131818,-986.9123178,0.005900052,0.09003056,0.000234919,1.210025862,2.7491696,0.100000011,45742571650,33231402121,FALSE,TRUE,0.645104062,0.442206095,5.421537508,1,1.190333333
86,Oa,Mannitol,Model(BaranyiRoberts),0.235791439,0.022814708,-3388.301622,-3412.996974,0.998900088,0.999859389,0.040962504,1.259489621,0.186457634,4.211077715,0.03545931,0.060128045,TRUE,TRUE,0.106100147,6.649427205,55.29079936,1,1.244666667
87,Oa,Mannose,Model(BaranyiRoberts),0.192115651,0.024128171,-2423.293074,-2446.08763,0.374834278,0.932404569,0.051444473,1.151667039,0.98613847,0.239292329,0.002035446,0.199265099,TRUE,FALSE,0.163179206,4.348251029,29.78769965,1,1.116
88,Oa,myo-inositol,Model(BaranyiRoberts),0.527523021,0.043251,-1737.523053,-1759.374496,0.997828594,0.999647908,0.053470201,1.075603275,2.922644878,0.100000001,0.0001,0.508897234,TRUE,TRUE,0.305730227,2.304624069,18.44599332,1,1.095666667
89,Oa,Orotate,,,,,,,,,,,,,,,,,,,0,0.011
90,Oa,Phenylalanine,,,,,,,,,,,,,,,,,,,0,0.016666667
91,Oa,Proline,Model(BaranyiRoberts),0.493393876,0.038666949,-2112.03369,-2134.828246,0.692705785,0.939187978,0.046485212,1.423795073,0.168985149,1.936174333,0.410642041,0.047411779,TRUE,TRUE,0.09548437,7.320473251,24.71516784,1,1.402
92,Oa,Ribose,Model(BaranyiRoberts),0.264513318,0.025462069,-2959.113785,-2983.181388,0.122244916,0.508572291,0.046577225,1.084386079,0.198034431,1.412573714,0.04163253,0.092278534,TRUE,FALSE,0.10292366,6.873470693,35.93227212,1,1.065
93,Oa,Sucrose,Model(BaranyiRoberts),0.323114129,0.037645282,-1462.897656,-1483.47373,0.999699027,0.999945805,0.05125849,1.259697956,2.926737825,0.100000001,0.0001,0.595113326,TRUE,TRUE,0.354890044,1.977255033,16.27322222,1,1.257666667
94,Oa,Uridine,,,,,,,,,,,,,,,,,,,0,0.016666667
95,Oa,No CS,,,,,,,,,,,,,,,,,,,0,6.94E-18
96,Ml,Acetate,Model(BaranyiRoberts),0.493929812,0.041128341,-1829.517248,-1851.577771,0.338895859,0.763173643,0.086170028,0.873000279,0.717810389,0.1,0.006988722,0.171983148,TRUE,TRUE,0.068824481,10.44746135,29.26869,1,0.80555
97,Ml,Adenosine,Model(BaranyiRoberts),0.244890085,0.023645502,-3243.76083,-3268.254144,0.999982363,0.999997709,0.062600291,0.696842239,7.581729179,7.009901755,0.003066134,0.012870289,TRUE,TRUE,0.046284516,15.4885441,40.88592208,1,0.655433333
98,Ml,Cysteine,Model(BaranyiRoberts),0.536189857,0.03625177,-2670.822328,-2694.889931,0.002329525,0.090028535,0.043300382,0.40594571,2.323426386,0.100000001,29372871346,21439272298,FALSE,TRUE,0.323481428,1.769408297,0.464313858,1,0.399366667
99,Ml,D-arabinose,Model(BaranyiRoberts),1.460083877,0.057736685,-2461.738248,-2486.231562,0.999999995,0.999999999,0.05332703,1.205034796,1.012965485,0.1,0.0001,0.298615374,TRUE,TRUE,0.141812686,4.968023579,33.72480329,1,1.1281
100,Ml,D-Glucose,Model(BaranyiRoberts),0.236579166,0.031933333,-1565.38424,-1586.064664,0.004028497,0.090030583,0.076474855,1.093093608,0.621139363,0.1,2.28838E+11,1.65488E+11,FALSE,TRUE,0.122681733,5.456150595,3.43296235,1,0.94985
101,Ml,D-xylose,Model(BaranyiRoberts),0.11077301,0.015903032,-3591.23776,-3615.731074,0.999554187,0.999942073,0.038955454,1.47684111,0.596871292,0.1,0.0001,0.337544913,TRUE,TRUE,0.119533615,5.844733623,34.86423412,1,1.065766667
