,Sample_ID,USER CODE,Carbon source,Timepoint-tag,Metabolite,Concentration,Hours,Timepoint,M
81,SM_MPTA_112023_ FreshMedia_M9 Alanine_001_37,  M9 Alanine_001,L-alanine,T0,LEUCINE,,0,0,Alanine_001
82,SM_MPTA_112023_ FreshMedia_M9 Alanine_002_38,M9 Alanine_002,L-alanine,T0,LEUCINE,,0,0,Alanine_002
83,SM_MPTA_112023_ FreshMedia_M9 Alanine_003_39,   M9 Alanine_003,L-alanine,T0,LEUCINE,,0,0,Alanine_003
84,SM_MPTA_112023_ FreshMedia_M9 Galactose_001_40, M9 Galactose_001,Galactose,T0,LEUCINE,,0,0,Galactose_001
85,SM_MPTA_112023_ FreshMedia_M9 Galactose_002_41, M9 Galactose_002,Galactose,T0,LEUCINE,,0,0,Galactose_002
86,SM_MPTA_112023_ FreshMedia_M9 Galactose_003_42, M9 Galactose_003,Galactose,T0,LEUCINE,,0,0,Galactose_003
87,SM_MPTA_112023_ FreshMedia_M9 malate_001_43,M9 malate_001,L-malate,T0,LEUCINE,,0,0,malate_001
88,SM_MPTA_112023_ FreshMedia_M9 malate_002_44,M9 malate_002,L-malate,T0,LEUCINE,,0,0,malate_002
89,SM_MPTA_112023_ FreshMedia_M9 malate_003_45,M9 malate_003,L-malate,T0,LEUCINE,,0,0,malate_003
90,SM_MPTA_112023_28_Galactose-T6_M1_1,#28: Galactose-T6 M1,Galactose,T1,ISOLEUCINE,0.1149591260568564,6,1,M1
91,SM_MPTA_112023_29_Galactose-T6_M2_2,#29: Galactose-T6 M2,Galactose,T1,ISOLEUCINE,,6,1,M2
92,SM_MPTA_112023_39_Galactose-T8_M3_3,#39: Galactose-T8 M3,Galactose,T1,ISOLEUCINE,,8,1,M3
93,SM_MPTA_112023_55_Galactose-T12_M1_4,#55: Galactose-T12 M1,Galactose,T2,ISOLEUCINE,,12,2,M1
94,SM_MPTA_112023_56_Galactose-T12_M2_5,#56: Galactose-T12 M2,Galactose,T2,ISOLEUCINE,0.0710744886510182,12,2,M2
95,SM_MPTA_112023_66_Galactose-T14_M3_6,#66: Galactose-T14 M3,Galactose,T2,ISOLEUCINE,0.09023624664690941,14,2,M3
96,SM_MPTA_112023_64_Galactose-T14_M1_7,#64: Galactose-T14 M1,Galactose,T3,ISOLEUCINE,0.0858411953267446,14,3,M1
97,SM_MPTA_112023_65_Galactose-T14_M2_8,#65: Galactose-T14 M2,Galactose,T3,ISOLEUCINE,0.0743232705664916,14,3,M2
98,SM_MPTA_112023_75_Galactose-T16_M3_9,#75: Galactose-T16 M3,Galactose,T3,ISOLEUCINE,,16,3,M3
99,SM_MPTA_112023_82_Galactose-T18_M1_10,#82: Galactose-T18 M1,Galactose,T4,ISOLEUCINE,5.53463106193562,18,4,M1
100,SM_MPTA_112023_83_Galactose-T18_M2_11,#83: Galactose-T18 M2,Galactose,T4,ISOLEUCINE,8.03611097703204,18,4,M2
101,SM_MPTA_112023_93_Galactose-T20_M3_12,#93: Galactose-T20 M3,Galactose,T4,ISOLEUCINE,6.0535445957725,20,4,M3
102,SM_MPTA_112023_31_L-malate-T6_M5_13,#31: L-malate-T6 M5,L-malate,T1,ISOLEUCINE,0.1491821436527386,6,1,M5
103,SM_MPTA_112023_32_L-malate-T6_M6_14,#32: L-malate-T6 M6,L-malate,T1,ISOLEUCINE,,6,1,M6
104,SM_MPTA_112023_33_L-malate-T6_M7_15,#33: L-malate-T6 M7,L-malate,T1,ISOLEUCINE,0.1868663507677368,6,1,M7
105,SM_MPTA_112023_127_L-malate-T9_M5_16,#127: L-malate-T9 M5,L-malate,T2,ISOLEUCINE,,9,2,M5
106,SM_MPTA_112023_50_L-malate-T10_M6_17,#50: L-malate-T10 M6,L-malate,T2,ISOLEUCINE,0.09412283058344159,10,2,M6
107,SM_MPTA_112023_129_L-malate-T9_M7_18,#129: L-malate-T9 M7,L-malate,T2,ISOLEUCINE,0.1557458037158952,9,2,M7
108,SM_MPTA_112023_49_L-malate-T10_M5_19,#49: L-malate-T10 M5,L-malate,T3,ISOLEUCINE,0.0989124380113074,10,3,M5
109,SM_MPTA_112023_134_L-malate-T11_M6_20,#134: L-malate-T11 M6,L-malate,T3,ISOLEUCINE,,11,3,M6
110,SM_MPTA_112023_51_L-malate-T10_M7_21,#51: L-malate-T10 M7,L-malate,T3,ISOLEUCINE,0.1211431494903658,10,3,M7
111,SM_MPTA_112023_58_L-malate-T12_M5_22,#58: L-malate-T12 M5,L-malate,T4,ISOLEUCINE,3.8630046131448403,12,4,M5
112,SM_MPTA_112023_143_L-malate-T13_M6_23,#143: L-malate-T13 M6,L-malate,T4,ISOLEUCINE,4.0503308766004995,13,4,M6
113,SM_MPTA_112023_60_L-malate-T12_M7_24,#60: L-malate-T12 M7,L-malate,T4,ISOLEUCINE,0.8767440491996339,12,4,M7
114,SM_MPTA_112023_52_L-alanine-T10_M9_25,#52: L-alanine-T10 M9,L-alanine,T1,ISOLEUCINE,0.390317163700852,10,1,M9
115,SM_MPTA_112023_53_L-alanine-T10_M10_26,#53: L-alanine-T10 M10,L-alanine,T1,ISOLEUCINE,0.363371669040292,10,1,M10
116,SM_MPTA_112023_54_L-alanine-T10_M11_27,#54: L-alanine-T10 M11,L-alanine,T1,ISOLEUCINE,0.292158048126582,10,1,M11
117,SM_MPTA_112023_79_L-alanine-T16_M9_28,#79: L-alanine-T16 M9,L-alanine,T2,ISOLEUCINE,1.05485122606615,16,2,M9
118,SM_MPTA_112023_80_L-alanine-T16_M10_29,#80: L-alanine-T16 M10,L-alanine,T2,ISOLEUCINE,0.8291022442196001,16,2,M10
119,SM_MPTA_112023_81_L-alanine-T16_M11_30,#81: L-alanine-T16 M11,L-alanine,T2,ISOLEUCINE,1.015824055201896,16,2,M11
