,Sample_ID,Carbon source,Metabolite,Concentration [uM],Hours,Timepoint,Bioreactor
96,SM_MPTA_112023_64_Galactose-T14_M1_7,Galactose,ISOLEUCINE,0.0858411953267446,14.0,3,M1
97,SM_MPTA_112023_65_Galactose-T14_M2_8,Galactose,ISOLEUCINE,0.0743232705664916,14.0,3,M2
98,SM_MPTA_112023_75_Galactose-T16_M3_9,Galactose,ISOLEUCINE,,16.0,3,M3
99,SM_MPTA_112023_82_Galactose-T18_M1_10,Galactose,ISOLEUCINE,5.53463106193562,18.0,4,M1
100,SM_MPTA_112023_83_Galactose-T18_M2_11,Galactose,ISOLEUCINE,8.03611097703204,18.0,4,M2
101,SM_MPTA_112023_93_Galactose-T20_M3_12,Galactose,ISOLEUCINE,6.0535445957725,20.0,4,M3
102,SM_MPTA_112023_31_L-malate-T6_M5_13,L-malate,ISOLEUCINE,0.1491821436527386,6.0,1,M5
103,SM_MPTA_112023_32_L-malate-T6_M6_14,L-malate,ISOLEUCINE,,6.0,1,M6
104,SM_MPTA_112023_33_L-malate-T6_M7_15,L-malate,ISOLEUCINE,0.1868663507677368,6.0,1,M7
105,SM_MPTA_112023_127_L-malate-T9_M5_16,L-malate,ISOLEUCINE,,9.25,2,M5
106,SM_MPTA_112023_50_L-malate-T10_M6_17,L-malate,ISOLEUCINE,0.09412283058344159,10.0,2,M6
107,SM_MPTA_112023_129_L-malate-T9_M7_18,L-malate,ISOLEUCINE,0.1557458037158952,9.25,2,M7
108,SM_MPTA_112023_49_L-malate-T10_M5_19,L-malate,ISOLEUCINE,0.0989124380113074,10.0,3,M5
109,SM_MPTA_112023_134_L-malate-T11_M6_20,L-malate,ISOLEUCINE,,11.0,3,M6
110,SM_MPTA_112023_51_L-malate-T10_M7_21,L-malate,ISOLEUCINE,0.1211431494903658,10.0,3,M7
111,SM_MPTA_112023_58_L-malate-T12_M5_22,L-malate,ISOLEUCINE,3.8630046131448403,12.0,4,M5
112,SM_MPTA_112023_143_L-malate-T13_M6_23,L-malate,ISOLEUCINE,4.0503308766004995,13.0,4,M6
113,SM_MPTA_112023_60_L-malate-T12_M7_24,L-malate,ISOLEUCINE,0.8767440491996339,12.0,4,M7
114,SM_MPTA_112023_52_L-alanine-T10_M9_25,L-alanine,ISOLEUCINE,0.390317163700852,10.0,1,M9
115,SM_MPTA_112023_53_L-alanine-T10_M10_26,L-alanine,ISOLEUCINE,0.363371669040292,10.0,1,M10
116,SM_MPTA_112023_54_L-alanine-T10_M11_27,L-alanine,ISOLEUCINE,0.292158048126582,10.0,1,M11
117,SM_MPTA_112023_79_L-alanine-T16_M9_28,L-alanine,ISOLEUCINE,1.05485122606615,16.0,2,M9
118,SM_MPTA_112023_80_L-alanine-T16_M10_29,L-alanine,ISOLEUCINE,0.8291022442196001,16.0,2,M10
119,SM_MPTA_112023_81_L-alanine-T16_M11_30,L-alanine,ISOLEUCINE,1.015824055201896,16.0,2,M11
120,SM_MPTA_112023_88_L-alanine-T18_M9_31,L-alanine,ISOLEUCINE,0.9119636992706599,18.0,3,M9
121,SM_MPTA_112023_89_L-alanine-T18_M10_32,L-alanine,ISOLEUCINE,0.891507850204708,18.0,3,M10
122,SM_MPTA_112023_90_L-alanine-T18_M11_33,L-alanine,ISOLEUCINE,1.377694665985702,18.0,3,M11
123,SM_MPTA_112023_106_L-alanine-T22_M9_34,L-alanine,ISOLEUCINE,17.08635049975452,22.0,4,M9
124,SM_MPTA_112023_107_L-alanine-T22_M10_35,L-alanine,ISOLEUCINE,15.11320522805008,22.0,4,M10
125,SM_MPTA_112023_108_L-alanine-T22_M11_36,L-alanine,ISOLEUCINE,21.8682776659962,22.0,4,M11
126,SM_MPTA_112023_ FreshMedia_M9 Alanine_001_37,L-alanine,ISOLEUCINE,,0.0,0,Alanine_001
127,SM_MPTA_112023_ FreshMedia_M9 Alanine_002_38,L-alanine,ISOLEUCINE,,0.0,0,Alanine_002
128,SM_MPTA_112023_ FreshMedia_M9 Alanine_003_39,L-alanine,ISOLEUCINE,,0.0,0,Alanine_003
129,SM_MPTA_112023_ FreshMedia_M9 Galactose_001_40,Galactose,ISOLEUCINE,0.1324705497549586,0.0,0,Galactose_001
130,SM_MPTA_112023_ FreshMedia_M9 Galactose_002_41,Galactose,ISOLEUCINE,,0.0,0,Galactose_002
131,SM_MPTA_112023_ FreshMedia_M9 Galactose_003_42,Galactose,ISOLEUCINE,,0.0,0,Galactose_003
132,SM_MPTA_112023_ FreshMedia_M9 malate_001_43,L-malate,ISOLEUCINE,,0.0,0,malate_001
