,KEGG ID
890,C04256
891,C04257
892,C04261
893,C04272
894,C04281
895,C04294
896,C04298
897,C04302
898,C04312
899,C04317
900,C04322
901,C04327
902,C04332
903,C04334
904,C04346
905,C04349
906,C04352
907,C04376
908,C04377
909,C04404
910,C04405
911,C04411
912,C04419
913,C04421
914,C04425
915,C04431
916,C04432
917,C04438
918,C04442
919,C04454
920,C04462
921,C04478
922,C04479
923,C04489
924,C04494
925,C04501
926,C04534
927,C04556
928,C04574
929,C04575
930,C04579
931,C04593
932,C04618
933,C04619
934,C04620
935,C04631
936,C04633
937,C04635
938,C04640
939,C04644
940,C04646
941,C04652
942,C04666
943,C04677
944,C04688
945,C04691
946,C04702
947,C04706
948,C04728
949,C04732
950,C04734
951,C04737
952,C04738
953,C04751
954,C04752
955,C04756
956,C04778
957,C04807
958,C04823
959,C04824
960,C04851
961,C04874
962,C04877
963,C04882
964,C04895
965,C04896
966,C04900
967,C04916
968,C04919
969,C04932
970,C05003
971,C05080
972,C05116
973,C05123
974,C05125
975,C05143
976,C05172
977,C05196
978,C05197
979,C05198
980,C05199
981,C05212
982,C05223
983,C05235
984,C05258
985,C05259
986,C05260
987,C05261
988,C05262
989,C05263
990,C05264
991,C05265
992,C05266
993,C05267
994,C05268
995,C05269
996,C05270
997,C05271
998,C05272
999,C05273
1000,C05274
1001,C05275
1002,C05276
1003,C05279
1004,C05280
1005,C05312
1006,C05330
1007,C05332
1008,C05335
1009,C05336
1010,C05337
1011,C05345
1012,C05359
1013,C05360
1014,C05364
1015,C05378
1016,C05379
1017,C05381
1018,C05382
1019,C05385
1020,C05394
1021,C05399
1022,C05400
1023,C05401
1024,C05402
1025,C05403
1026,C05404
1027,C05512
1028,C05519
1029,C05527
1030,C05528
1031,C05529
1032,C05554
1033,C05576
1034,C05577
1035,C05607
1036,C05623
1037,C05627
1038,C05629
1039,C05640
1040,C05649
1041,C05650
1042,C05665
1043,C05668
1044,C05670
1045,C05684
1046,C05686
1047,C05688
1048,C05689
1049,C05691
1050,C05695
1051,C05696
1052,C05697
1053,C05698
1054,C05699
1055,C05702
1056,C05703
1057,C05711
1058,C05712
1059,C05713
1060,C05726
1061,C05729
1062,C05730
1063,C05744
1064,C05745
1065,C05746
1066,C05747
1067,C05748
1068,C05749
1069,C05750
1070,C05751
1071,C05752
1072,C05753
1073,C05754
1074,C05755
1075,C05756
1076,C05757
1077,C05758
1078,C05759
1079,C05760
1080,C05761
1081,C05762
1082,C05763
1083,C05764
1084,C05766
1085,C05768
1086,C05770
1087,C05771
1088,C05774
1089,C05775
1090,C05778
1091,C05787
1092,C05791
1093,C05796
1094,C05807
1095,C05809
1096,C05810
1097,C05811
1098,C05812
1099,C05817
1100,C05819
1101,C05820
1102,C05821
1103,C05822
1104,C05824
1105,C05838
1106,C05839
1107,C05840
1108,C05841
1109,C05844
1110,C05847
1111,C05848
1112,C05850
1113,C05892
1114,C05893
1115,C05897
1116,C05898
1117,C05921
1118,C05922
1119,C05923
1120,C05924
1121,C05925
1122,C05931
1123,C05932
1124,C05938
1125,C05946
1126,C05947
1127,C05951
1128,C05973
1129,C05974
1130,C05980
1131,C05983
1132,C05993
1133,C05998
1134,C05999
1135,C06000
1136,C06002
1137,C06006
1138,C06007
1139,C06010
1140,C06022
1141,C06024
1142,C06025
1143,C06026
1144,C06032
1145,C06037
1146,C06054
1147,C06055
1148,C06056
1149,C06114
1150,C06125
1151,C06126
1152,C06148
1153,C06156
1154,C06157
1155,C06178
1156,C06186
1157,C06187
1158,C06188
1159,C06193
1160,C06194
1161,C06196
1162,C06206
1163,C06224
1164,C06227
1165,C06228
1166,C06229
1167,C06230
1168,C06232
1169,C06240
1170,C06249
1171,C06250
1172,C06251
1173,C06257
1174,C06311
1175,C06329
