KEGG,Metabolite name,PubChem,ChEBI,METLIN,SMILES,Exact match
C18060,N-acetyl-alpha-D-galactosamine 1-phosphate,4369589,44313,None,CC(O)=N[C@@H]1[C@@H](O)[C@@H](O)[C@@H](CO)O[C@@H]1OP(O)(O)=O,True
C18076,5'-Phosphoguanylyl(3'->5')guanosine,96024293,48622,None,None,True
C18094,UDP-L-arabinofuranose,96024311,81497,None,None,True
C18096,D-Allulose 6-phosphate,96024313,81499,None,None,True
C18237,Molybdoenzyme molybdenum cofactor,None,None,None,None,True
C18239,Cyclic pyranopterin monophosphate,16061579,60210,None,[H][C@@]12COP(O)(=O)O[C@]1([H])C(O)(O)[C@]1([H])NC3=C(NC(=N)N=C3O)N[C@]1([H])O2,True
C18242,"2,3,5-Trichlorodienelactone",14951695,None,None,OC(=O)C(\Cl)=C1/OC(=O)C(Cl)=C1Cl,True
C18243,"2,3,5-Trichloromaleylacetate",9543107,19297,None,OC(=O)C(Cl)C(=O)C(\Cl)=C(\Cl)C(O)=O,True
C18304,2-Chloro-5-methyl-cis-dienelactone,9543297,81655,None,C\C(C(O)=O)=C1/OC(=O)C(Cl)=C1,True
C18305,2-Chloro-5-methylmaleylacetate,9543299,81656,None,CC(C(O)=O)C(=O)\C=C(\Cl)C(O)=O,True
C18309,3-Chloro-2-methyldienelactone,49787040,81660,None,CC1=C(Cl)\C(OC1=O)=C\C(O)=O,True
C18310,3-Chloro-2-methylmaleylacetate,9543305,81661,None,C\C(C(O)=O)=C(/Cl)C(=O)CC(O)=O,True
C18796,(2R)-2-Hydroxy-2-methylbutanenitrile,12650900,60908,None,CC[C@@](C)(O)C#N,True
C18870,selenodiglutathione,108069,26634,None,N[C@@H](CCC(=O)N[C@@H](CS[Se]SC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O,True
C18902,Methylselenic acid,161597,77012,None,C[Se](O)=O,True
C19078,None,None,None,None,None,False
C19080,None,None,None,None,None,False
C19085,None,None,None,None,None,False
C19586,"2,3-Epoxyaflatoxin B1",104756,30725,None,[H][C@]12O[C@@H]3O[C@@H]3[C@@]1([H])C1=C(O2)C=C(OC)C2=C1OC(=O)C1=C2CCC1=O,True
C19609,Nickel,934,49786,None,[Ni++],True
C19610,None,None,None,None,None,False
C19647,None,None,None,None,None,False
C19673,Malonyl-[acp] methyl ester,135626141,None,None,None,True
C19722,None,None,None,None,None,False
C19723,None,None,None,None,None,False
C19769,"1,6-anhydro-N-acetyl-beta-muramate",None,58690,None,C[C@@H](O[C@H]1[C@H](O)[C@H]2CO[C@H](O2)[C@@H]1N=C(C)[O-])C(O)=O,True
C19770,None,None,None,None,None,False
C19771,None,None,None,None,None,False
C19792,None,None,None,None,None,False
C19845,Pimeloyl-[acp],135626312,None,None,None,True
C19846,Pimelyl-[acp] methyl ester,135626313,None,None,None,True
C19847,Demethylmenaquinol,135626314,55437,None,None,True
C19848,Adenylyl-molybdopterin,53356705,62728,None,[H][C@]12NC3=C(N[C@@]1([H])C(S)=C(S)[C@@H](COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC4=C1N=CN=C4N)O2)C(=O)NC(N)=N3,True
C19858,"2-methoxy-6-all trans-hexaprenyl-2-methoxy-1,4-benzoquinol",None,61472,None,[H]\C(CC\C(C)=C(/[H])CC\C(C)=C(/[H])CC\C(C)=C(/[H])CC\C(C)=C(/[H])CC1=CC(O)=CC(OC)=C1O)=C(\C)CCC=C(C)C,True
C19859,"6-methoxy-3-methyl-2-all-trans-hexaprenyl-1,4-benzoquinol",25244096,61473,None,[H]\C(CC\C(C)=C(/[H])CC\C(C)=C(/[H])CC\C(C)=C(/[H])CC\C(C)=C(/[H])CC1=C(C)C(O)=CC(OC)=C1O)=C(\C)CCC=C(C)C,True
C19871,Guanylyl molybdenum cofactor,333497467,None,None,None,True
C19875,None,None,None,None,None,False
C19878,D-glycero-alpha-D-manno-Heptose 7-phosphate,135626344,None,None,None,True
C19879,"D-glycero-alpha-D-manno-Heptose 1,7-bisphosphate",135626345,None,None,None,True
C19880,D-glycero-alpha-D-manno-Heptose 1-phosphate,135626346,None,None,None,True
C19882,None,None,None,None,None,False
C19883,None,None,None,None,None,False
C19884,Lipid IIA,135626350,None,None,None,True
C19890,alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-[4-P-L-Ara4N]-lipid A,135626356,None,None,None,True
C19891,D-chiro-Inositol,892,27372,None,O[C@H]1[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,True
C19909,N-Acetyl-a-neuraminic acid,444885,49026,5739.0,[H][C@]1(O[C@](O)(C[C@H](O)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO,True
C19910,N-Acetylneuraminic acid,445063,45744,3321.0,[H][C@]1(O[C@@](O)(C[C@H](O)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO,True
C19928,None,None,None,None,None,False
C19945,"3-oxo-5,6-dehydrosuberyl-CoA",135626411,None,None,[H]\C(CC(O)=O)=C(/[H])CC(=O)CC(=O)SCCN=C(O)CCN=C(O)[C@]([H])(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])OP(O)(O)=O,True
C19946,"3-Oxo-5,6-dehydrosuberyl-CoA semialdehyde",135626412,None,None,None,True
C19975,2-Oxepin-2(3H)-ylideneacetyl-CoA,135626441,None,None,None,True
C20062,"2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA",135626528,None,None,None,True
C20231,(Z)-3-Ureidoacrylate peracid,163311974,None,None,None,True
C20239,"6-Carboxy-5,6,7,8-tetrahydropterin",12463319,61126,None,NC1=NC2=C(NC(CN2)C(O)=O)C(=O)N1,True
C20246,"2-[(2R,5Z)-2-Carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate",163311989,138844,None,None,True
C20247,2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate,53477624,62890,None,CC1=C(CCOP([O-])([O-])=O)SC(=N1)C([O-])=O,True
C20248,7-carboxy-7-deazaguanine,163311991,None,None,None,True
C20249,(Z)-3-Peroxyaminoacrylate,163311992,None,None,None,True
C20253,Aminoacrylate,163311996,None,None,None,True
C20254,Ureidoacrylate,163311997,None,None,None,True
C20258,"(4S)-4-hydroxy-2,3,4,5-tetrahydro-(2S)-dipicolinate",70678847,67139,None,[H][C@@]1(O)CC(=N[C@@]([H])(C1)C([O-])=O)C([O-])=O,True
C20345,Isopentenyl phosphate,21896400,None,None,None,True
C20364,None,None,None,None,None,False
C20372,3-Ketoglutaryl-[acp] methyl ester,163312110,None,None,None,True
C20373,3-Hydroxyglutaryl-[acp] methyl ester,163312111,None,None,None,True
C20374,Enoylglutaryl-[acp] methyl ester,163312112,None,None,None,True
C20375,Glutaryl-[acp] methyl ester,163312113,None,None,None,True
C20376,3-Ketopimeloyl-[acp] methyl ester,163312114,None,None,None,True
C20377,3-Hydroxypimeloyl-[acp] methyl ester,163312115,None,None,None,True
C20378,Enoylpimeloyl-[acp] methyl ester,163312116,None,None,None,True
C20386,Biotin sulfoxide,566344,None,None,OC(=O)CCCCC1C2NC(=O)NC2CS1=O,True
