Name,ionMz
Methylcitric acid,205.0351;205.0353
Methylisocitric acid,205.0351;205.0353
lipoate,205.0351;205.0353
2-Amino-3-oxo-4-phosphonooxybutyrate,211.9967;211.9968
Aspartyl-4-phosphate,211.9967;211.9968
2-Oxo-3-hydroxy-4-phosphobutanoate,212.9807;212.9812
1-Deoxy-xylulose 5-phosphate,213.014;213.0161
2-Deoxy-D-ribose 1-phosphate,213.014;213.0161
Deoxyribose 5-phosphate,213.014;213.0161
O-Phospho-4-hydroxy-L-threonine,214.0117
sn-Glycero-3-phosphoethanolamine,214.0488;214.0491
2-C-Methyl-D-erythritol 4-phosphate,215.0331;215.0326
gamma-Glutamyl-putrescine,216.1344;216.1351
4-Amino-2-methyl-5-phosphomethylpyrimidine,218.0335;218.0332
4-amino-5-phosphonooxymethyl-2-methylpyrimidine,218.0335;218.0332
Pantothenate,218.1034
L-Histidinol phosphate,220.0487
N-Acetyl-b-galactosamine,220.0828;220.0825
N-Acetyl-D-glucosamine,220.0828;220.0825
N-Acetylglucosamine,220.0828;220.0825
N-Acetylmannosamine,220.0828;220.0825
6-Acetyl-D-glucose,221.0664;221.0668
Chorismate,225.0403;225.0399
Isochorismate,225.0403;225.0399
Prephenate,225.0403;225.0399
L-Glutamyl 5-phosphate,226.0125;226.0135
Myristic acid,227.2016
5-Phosphoribosylamine,228.0266
Arabinose 5-phosphate,229.0122;229.0119
Ribose-1-phosphate,229.0122;229.0119
Ribose-5-phosphate,229.0122;229.0119
Ribulose 5-phosphate,229.0122;229.0119
Xylulose 5-phosphate,229.0122;229.0119
N2-Succinyl-glutamic acid 5-semialdehyde,230.0676
Sepiapterin,236.0782
3-Deoxy-D-manno-octulosonate,237.0614;237.0611
"N-(2,3-Dihydroxybenzoyl)-L-serine",240.0514;240.0515
Thymidine,241.0834;241.0844
Cytidine,242.079;242.0804
gamma-Glutamyl-beta-cyanoalanine,242.079;242.0804
Pseudouridine,243.0632;243.0625
Uridine,243.0632;243.0625
Shikimate 3-phosphate,253.0119
5-L-Glutamyl-taurine,253.0499
L-Ascorbate 6-phosphate,254.9905
"D-Glucono-1,5-lactone 6-phosphate",257.0063;257.0072
2-Dehydro-3-deoxy-galactonate-6-phosphate,257.0063;257.0072
2-Keto-3-deoxy-6-phosphogluconic acid,257.0063;257.0072
6-Phosphonoglucono-lactone,257.0063;257.0072
sn-Glycero-3-phosphocholine,257.1027;257.1028
Allose 6-phosphate,259.0227;259.0226
Alpha-glucose 6-phosphate,259.0227;259.0226
Fructose 1-phosphate,259.0227;259.0226
Fructose 6-phosphate,259.0227;259.0226
Galactose 1-phosphate,259.0227;259.0226
Glucose 1-phosphate,259.0227;259.0226
Glucose 6-phosphate,259.0227;259.0226
Mannose 1-phosphate,259.0227;259.0226
Mannose 6-phosphate,259.0227;259.0226
Myo-inositol (1)-monophosphate,259.0227;259.0226
Myo-inositol 1-phosphate,259.0227;259.0226
Myo-inositol 4-phosphate,259.0227;259.0226
Tagatose 6-phosphate,259.0227;259.0226
Tagatose-6-phosphate,259.0227;259.0226
beta-Fructose 2-phosphate,259.0227;259.0226
beta-Fructose 6-phosphate,259.0227;259.0226
beta-Glucose 1-phosphate,259.0227;259.0226
beta-Glucose 6-phosphate,259.0227;259.0226
D-Mannitol 1-phosphate,261.0385;261.0382
Mannitol 1-phosphate,261.0385;261.0382
Sorbitol 6-phosphate,261.0385;261.0382
Sorbitol-6-phosphate,261.0385;261.0382
"2,3-Diphosphoglyceric acid",264.9518
3-Phospho-D-glyceroyl phosphate,264.9518
S-Ribosyl-L-homocysteine,266.0704;266.0703
2(alpha-D-Mannosyl)-D-glycerate,267.0724;267.072
omega-Cyclohexylundecanoic acid,267.2328;267.2327
3-Dehydro-gulonate 6-phosphate,273.0016;273.0021
Glucuronate 1-phosphate,273.0016;273.0021
"1,6-Anhydro-N-acetyl-beta-muramate",274.0932;274.0933
6-Phosphogluconate,275.0184;275.0168
5-Amino-6-ribitylamino uracil,275.0991;275.1015
5-Amino-6-(1-D-ribitylamino)uracil,275.0991;275.1015
Guanosine,282.0845;282.0839
N-Succinyl-2-L-amino-6-oxoheptanedioate,288.0726;288.0725
Glycero-manno-heptose 1-phosphate,289.0331;289.0333
Glycero-manno-heptose 7-phosphate,289.0331;289.0333
Sedoheptulose P,289.0331;289.0333
glycero-beta-manno-heptose 7-phosphate,289.0331;289.0333
"N-Succinyl-LL-2,6-diaminoheptanedioate",289.1043;289.1044
"alpha-D-Ribose 1,2-cyclic phosphate 5-phosphate",290.9669;290.9677
"3',5'-Cyclic CMP",304.0351
"2',3'-Cyclic UMP",305.0193;305.0207
"2-(3,4-dihydroxybenzoyloxy)-4,6-dihydroxybenzoate",305.0297
dCMP,306.0491;306.0481
Glutathione,306.0762;306.0765
N-Acetyl-alpha-neuraminate,308.0986
N-Acetylneuraminate,308.0986
N-acetylneuraminate,308.0986
alpha-N-acetylneuraminate,308.0986
D-Ribose 5-diphosphate,308.9787
"Ribulose 1,5-bisphosphate",308.9787
5'-Phosphoribosyl-N-formylglycineamide,313.0438;313.0441
5-Thymidylic acid,321.0495
dTMP,321.0495
N-((R)-Pantothenoyl)-L-cysteine,321.1113
3'-CMP,322.0444
Cytidine monophosphate,322.0444
CMP,322.0444
3'-UMP,323.0256;323.0285
Pseudouridine 5'-phosphate,323.0256;323.0285
Uridine 5'-monophosphate,323.0256;323.0285
UMP,323.0256;323.0285
2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate,327.0738
"Adenosine 2',3'-cyclic phosphate",328.0452;328.0457
"3',5'-Cyclic AMP",328.0452;328.0457
Glutathione episulfonium ion,333.0999
S-Formylglutathione,334.0723
AICAR,337.0545
1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate,338.0392
5-carboxyamino-1-(5-phospho-ribosyl)imidazole,338.0392
"Fructose 1,6-bisphosphate",338.9888;338.9884
"Tagatose 1,6-bisphosphate",338.9888;338.9884
"alpha-Glucose 1,6-bisphosphate",338.9888;338.9884
"beta-Fructose 1,6-bisphosphate",338.9888;338.9884
Cellobiose,341.1089
Isomaltose,341.1089
Maltose,341.1089
Melibiose,341.1089
Sucrose,341.1089
Trehalose,341.1089
alpha-Lactose,341.1089
cGMP,344.04;344.0393
"Guanosine 2',3'-cyclic phosphate",344.04;344.0393
2'-Deoxyguanosine 5'-monophosphate,346.0556
