,0
988,C04261
989,C09099
990,C04281
991,C02659
992,C04257
993,C01179
994,C00058
995,C12632
996,C16237
997,C06114
998,C02376
999,C00122
1000,C17216
1001,C02876
1002,C00311
1003,C00244
1004,C02412
1005,C00282
1006,C21333
1007,C04688
1008,C00020
1009,C00363
1010,C00082
1011,C00295
1012,C05699
1013,C00096
1014,C00027
1015,C00792
1016,C00155
1017,C20864
1018,C00069
1019,C00151
1020,C00253
1021,C00508
1022,C06567
1023,C00279
1024,C04411
1025,C01127
1026,C03657
1027,C03765
1028,C05998
1029,C15556
1030,C00984
1031,C00673
1032,C00791
1033,C14899
1034,C00787
1035,C01832
1036,C05404
1037,C17556
1038,C04579
1039,C01638
1040,C00376
1041,C21754
1042,C00144
1043,C11583
1044,C00248
1045,C20373
1046,C06206
1047,C00099
1048,C16487
1049,C01697
1050,C00719
1051,C02745
1052,C02354
1053,C06188
1054,C00243
1055,C05607
1056,C00662
1057,C05755
1058,C00350
1059,C00091
1060,C20969
1061,C16153
1062,C00177
1063,C02631
1064,C05840
1065,C00313
1066,C03451
1067,C18237
1068,C16393
1069,C00800
1070,C03287
1071,C00042
1072,C05394
1073,C22507
1074,C00022
1075,C03561
1076,C05275
1077,C02047
1078,C00226
1079,C00201
1080,C00094
1081,C22131
1082,C00237
1083,C07836
1084,C01322
1085,C16633
1086,C04882
1087,C00638
1088,C17324
1089,C00117
1090,C00116
1091,C05749
1092,C01352
1093,C05778
1094,C02476
1095,C06473
1096,C00140
1097,C00885
1098,C14145
1099,C03406
1100,C00246
1101,C00647
1102,C11588
1103,C19945
1104,C01651
1105,C00245
1106,C00109
1107,C00345
1108,C21860
1109,C04180
1110,C20830
1111,C20498
1112,C19792
1113,C00526
1114,C16551
1115,C18094
1116,C00340
1117,C21153
1118,C00963
1119,C05270
1120,C21748
1121,C15810
1122,C00149
1123,C19880
1124,C03345
1125,C04738
1126,C03912
1127,C00283
1128,C00221
1129,C00080
1130,C05223
1131,C05269
1132,C01260
1133,C12621
1134,C00689
1135,C00204
1136,C00739
1137,C05809
1138,C02282
1139,C00440
1140,C00179
1141,C17223
1142,C04442
1143,C20248
1144,C00189
1145,C02999
1146,C00669
1147,C22443
1148,C05143
1149,C02967
1150,C00219
1151,C16157
1152,C01097
1153,C22502
1154,C00028
1155,C05345
1156,C17218
1157,C07086
1158,C05381
1159,C16470
1160,C00337
1161,C21174
1162,C04454
1163,C00504
1164,C20396
1165,C00060
1166,C01499
1167,C05946
1168,C01007
1169,C21214
1170,C00469
1171,C05766
1172,C00531
1173,C05629
1174,C04121
1175,C06126
1176,C05273
1177,C00135
1178,C11472
1179,C16614
1180,C00239
1181,C20933
1182,C05757
1183,C16391
1184,C16220
1185,C01302
1186,C02211
1187,C00536
1188,C00826
1189,C00330
1190,C06563
1191,C03033
1192,C00582
1193,C19586
1194,C04044
1195,C18076
1196,C01368
1197,C00362
1198,C02051
1199,C17226
1200,C21113
1201,C00139
1202,C00178
1203,C01500
1204,C15667
1205,C05689
1206,C00126
1207,C01077
1208,C05665
1209,C00320
1210,C00218
1211,C01117
1212,C20960
1213,C03512
1214,C06427
1215,C01087
1216,C01595
1217,C20683
1218,C00431
1219,C05897
1220,C02232
1221,C00663
1222,C01672
1223,C00354
1224,C02218
1225,C14818
1226,C21193
1227,C02612
1228,C01267
1229,C00206
1230,C16219
1231,C16489
1232,C21173
1233,C00620
1234,C03296
1235,C04778
1236,C00522
1237,C00111
1238,C00286
1239,C16476
1240,C05748
1241,C00061
1242,C21403
1243,C04494
1244,C00136
1245,C01438
1246,C16637
1247,C20062
1248,C16636
1249,C00254
1250,C20440
1251,C12838
1252,C05810
1253,C22337
1254,C00515
1255,C02987
1256,C00603
1257,C00055
1258,C00085
1259,C16618
1260,C04652
1261,C01417
1262,C22160
1263,C01228
1264,C01934
1265,C06613
1266,C06026
1267,C19875
1268,C04432
1269,C05841
1270,C21984
1271,C21008
1272,C15699
1273,C03684
1274,C01197
1275,C00104
1276,C00590
1277,C11478
1278,C04706
1279,C00074
1280,C00364
1281,C21016
1282,C00163
1283,C05400
1284,C21982
1285,C17231
1286,C11434
1287,C04851
1288,C22068
1289,C05337
1290,C00378
1291,C00114
1292,C02262
1293,C00527
1294,C16675
1295,C00506
1296,C05688
1297,C05125
1298,C17212
1299,C00100
1300,C00818
1301,C16348
1302,C00270
1303,C02714
1304,C06002
1305,C00165
1306,C05775
1307,C05892
1308,C14463
1309,C00255
1310,C07478
1311,C00642
1312,C14865
1313,C00555
1314,C00493
1315,C04916
1316,C04631
1317,C18243
1318,C01137
1319,C05921
1320,C17227
1321,C06000
1322,C16477
1323,C00073
1324,C10216
1325,C05844
1326,C01289
1327,C00162
1328,C19769
1329,C04294
1330,C01367
1331,C22501
1332,C00146
1333,C00013
1334,C21284
1335,C06224
1336,C03964
1337,C20957
1338,C00299
1339,C00131
1340,C03344
1341,C00880
1342,C04691
1343,C00632
1344,C08334
1345,C00672
1346,C14868
1347,C00437
1348,C20835
1349,C04874
1350,C02265
1351,C03733
1352,C02988
1353,C16832
1354,C00343
1355,C05403
1356,C01337
1357,C00685
1358,C11376
1359,C20246
1360,C00222
1361,C01888
1362,C03393
1363,C02593
1364,C14804
1365,C00942
1366,C00089
1367,C16631
1368,C15804
1369,C14848
1370,C03511
1371,C04157
1372,C02953
1373,C02191
1374,C01977
1375,C16155
1376,C06611
1377,C00423
1378,C05756
1379,C04425
1380,C01909
1381,C01100
1382,C16339
1383,C00596
1384,C05752
1385,C22002
1386,C00721
1387,C00083
1388,C00334
1389,C00269
1390,C04618
1391,C03459
1392,C06376
1393,C04877
1394,C00231
1395,C14800
1396,C18309
1397,C00084
1398,C16630
1399,C00166
1400,C05274
1401,C06790
1402,C00714
1403,C22611
1404,C01165
1405,C05763
1406,C07838
1407,C06193
1408,C00048
1409,C02504
1410,C06125
1411,C16238
1412,C04115
1413,C00021
1414,C14819
1415,C00630
1416,C19771
1417,C00014
1418,C00143
1419,C06054
1420,C02059
1421,C20863
1422,C03479
1423,C00580
1424,C00191
1425,C01118
1426,C00011
1427,C11039
1428,C14859
1429,C05332
1430,C00301
1431,C00199
1432,C03160
1433,C03294
1434,C01079
1435,C00184
1436,C11435
1437,C00138
1438,C11143
1439,C05729
1440,C16399
1441,C03519
1442,C06157
1443,C00236
1444,C19883
1445,C00130
1446,C15807
1447,C00470
1448,C22157
1449,C03196
1450,C01898
1451,C05974
1452,C01144
1453,C00430
1454,C04188
1455,C03114
1456,C05753
1457,C02323
1458,C02336
1459,C16488
1460,C00655
1461,C11355
1462,C02741
1463,C16699
1464,C05266
1465,C07335
1466,C17551
1467,C00868
1468,C02166
1469,C01931
1470,C00473
1471,C01101
1472,C05746
1473,C05116
1474,C00579
1475,C00045
1476,C16156
1477,C01209
1478,C20386
1479,C00670
1480,C06006
1481,C00497
1482,C06055
1483,C02989
1484,C00530
1485,C21617
1486,C00988
1487,C05519
1488,C03263
1489,C06037
1490,C06032
1491,C22383
1492,C03453
1493,C02355
1494,C17230
1495,C13645
1496,C05925
1497,C05378
1498,C06194
1499,C00361
1500,C02225
1501,C05811
1502,C05822
1503,C05993
1504,C00455
1505,C05627
1506,C05670
1507,C17213
1508,C01131
1509,C01674
1510,C05199
1511,C00235
1512,C00019
1513,C20758
1514,C04171
1515,C17322
1516,C17323
1517,C00227
1518,C00257
1519,C00325
1520,C16468
1521,C00417
