sid	smiles	kingdom	superklass	klass	subklass	direct_parent	geometric_descriptor	alternative parents	substituents
	N[C@@H](CC(O)=O)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Aspartic acid and derivatives	Aliphatic acyclic compounds	Alpha amino acids;Carbonyl compounds;Carboxylic acids;Dicarboxylic acids and derivatives;Fatty acids and conjugates;Hydrocarbon derivatives;Monoalkylamines;Organic oxides;Organonitrogen compounds;Organopnictogen compounds	Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Fatty acid;Organic oxide;Organic oxygen compound;Aspartic acid or derivatives;Organonitrogen compound;Alpha-amino acid;Dicarboxylic acid or derivatives;Organopnictogen compound;Hydrocarbon derivative;Primary aliphatic amine;Organic nitrogen compound;Organooxygen compound
	N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Cysteine and derivatives	Aliphatic acyclic compounds	Alpha amino acids;Carbonyl compounds;Carboxylic acids;Dialkyldisulfides;Dicarboxylic acids and derivatives;Hydrocarbon derivatives;Monoalkylamines;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Sulfenyl compounds	Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Sulfenyl compound;Organosulfur compound;Dialkyldisulfide;Organic oxide;Organic oxygen compound;Organic disulfide;Cysteine or derivatives;Organonitrogen compound;Alpha-amino acid;Dicarboxylic acid or derivatives;Organopnictogen compound;Hydrocarbon derivative;Primary aliphatic amine;Organic nitrogen compound;Organooxygen compound
	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1NC=NC2=O	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleosides	Purine nucleosides	Purine nucleosides	Aromatic heteropolycyclic compounds	Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Hypoxanthines;Imidazoles;Monosaccharides;N-substituted imidazoles;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Oxacyclic compounds;Primary alcohols;Purines and purine derivatives;Pyrimidones;Secondary alcohols;Tetrahydrofurans;Vinylogous amides	Monosaccharide;Pyrimidone;Imidazopyrimidine;Pyrimidine;Saccharide;Organic oxide;Aromatic heteropolycyclic compound;Imidazole;Organonitrogen compound;Organopnictogen compound;Primary alcohol;Organoheterocyclic compound;Azole;N-substituted imidazole;Alcohol;Vinylogous amide;Azacycle;Tetrahydrofuran;Purine nucleoside;Heteroaromatic compound;Oxacycle;Organic oxygen compound;Secondary alcohol;Hypoxanthine;Hydrocarbon derivative;Purine;Organic nitrogen compound;Organooxygen compound
	OC(=O)C(=O)CC1=CC=CC=C1	Organic compounds	Benzenoids	Benzene and substituted derivatives	Phenylpyruvic acid derivatives	Phenylpyruvic acid derivatives	Aromatic homomonocyclic compounds	Alpha-hydroxy ketones;Alpha-keto acids and derivatives;Carboxylic acids;Hydrocarbon derivatives;Monocarboxylic acids and derivatives;Organic oxides;Phenylpropanoic acids	Carbonyl group;Carboxylic acid;Phenylpyruvate;3-Phenylpropanoic-acid;Alpha-hydroxy ketone;Carboxylic acid derivative;Ketone;Aromatic homomonocyclic compound;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Keto acid;Alpha-keto acid;Hydrocarbon derivative;Organooxygen compound
	CC(C)(CO)C(O)C(=O)NCCC(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Beta amino acids and derivatives	Aliphatic acyclic compounds	Carbonyl compounds;Carboxylic acids;Hydrocarbon derivatives;Monocarboxylic acids and derivatives;Monosaccharides;N-acyl amines;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Secondary alcohols;Secondary carboxylic acid amides	Alcohol;Fatty acyl;Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Fatty amide;Monosaccharide;Carboxamide group;N-acyl-amine;Beta amino acid or derivatives;Secondary carboxylic acid amide;Saccharide;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Organonitrogen compound;Secondary alcohol;Organopnictogen compound;Hydrocarbon derivative;Organic nitrogen compound;Organooxygen compound
	O[C@H]1[C@H](O)[C@H](O)[C@H](OP(O)(O)=O)[C@@H](O)[C@@H]1O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Inositol phosphates	Aliphatic homomonocyclic compounds	Cyclohexanols;Hydrocarbon derivatives;Monoalkyl phosphates;Organic oxides	Cyclohexanol;Inositol phosphate;Organic oxide;Phosphoric acid ester;Monoalkyl phosphate;Secondary alcohol;Aliphatic homomonocyclic compound;Hydrocarbon derivative;Organic phosphoric acid derivative;Alkyl phosphate
	NCCC[C@H](N)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Alpha amino acids	Aliphatic acyclic compounds	Carbonyl compounds;Carboxylic acids;Fatty acids and conjugates;Hydrocarbon derivatives;Monoalkylamines;Monocarboxylic acids and derivatives;Organic oxides;Organonitrogen compounds;Organopnictogen compounds	Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Fatty acid;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Organonitrogen compound;Alpha-amino acid;Organopnictogen compound;Hydrocarbon derivative;Primary aliphatic amine;Organic nitrogen compound;Organooxygen compound
	[H]OC([H])([H])[C@]1([H])O[C@@]([H])(O[H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])[C@]([H])(O[H])[C@@]1([H])O[H]	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Acylaminosugars	Aliphatic heteromonocyclic compounds	Acetamides;Carbonyl compounds;Carboxylic acids and derivatives;Hemiacetals;Hydrocarbon derivatives;Monosaccharides;N-acyl-alpha-hexosamines;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Oxacyclic compounds;Oxanes;Primary alcohols;Secondary alcohols;Secondary carboxylic acid amides	Carbonyl group;Monosaccharide;Carboxylic acid derivative;N-acyl-alpha-hexosamine;Organic oxide;Aliphatic heteromonocyclic compound;Organonitrogen compound;Organopnictogen compound;Hemiacetal;Oxane;Primary alcohol;Organoheterocyclic compound;Acetamide;Alcohol;Carboxamide group;Acylaminosugar;Oxacycle;Secondary carboxylic acid amide;Secondary alcohol;Hydrocarbon derivative;Organic nitrogen compound
	NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O	Organic compounds	Nucleosides, nucleotides, and analogues	Pyridine nucleotides	Pyridine nucleotides	Pyridine nucleotides	Aromatic heteropolycyclic compounds	Amino acids and derivatives;Azacyclic compounds;Carboxylic acids and derivatives;Heteroaromatic compounds;Hydrocarbon derivatives;Hydroxypyridines;Imidazoles;Imidolactams;Monoalkyl phosphates;Monosaccharides;N-substituted imidazoles;Nicotinamides;Organic cations;Organic oxides;Organic pyrophosphates;Organopnictogen compounds;Oxacyclic compounds;Pentose phosphates;Primary amines;Primary carboxylic acid amides;Purine ribonucleoside 2',5'-bisphosphates;Purine ribonucleoside diphosphates;Purines and purine derivatives;Pyridinecarboxylic acids and derivatives;Pyrimidines and pyrimidine derivatives;Secondary alcohols;Tetrahydrofurans;Vinylogous amides	Primary carboxylic acid amide;Pyridine carboxylic acid or derivatives;Pentose phosphate;Amino acid or derivatives;Nicotinamide;Monosaccharide;Pentose-5-phosphate;Imidazopyrimidine;Carboxylic acid derivative;Pyrimidine;Saccharide;Organic oxide;Purine ribonucleoside diphosphate;Aromatic heteropolycyclic compound;Imidazole;Purine ribonucleoside 2',5'-bisphosphate;Organonitrogen compound;Organopnictogen compound;Organic cation;Imidolactam;Organoheterocyclic compound;Azole;N-substituted imidazole;Pyridine nucleotide;Alcohol;Vinylogous amide;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Hydroxypyridine;Carboxamide group;Organic pyrophosphate;Oxacycle;Pyridine;Organic oxygen compound;Phosphoric acid ester;Monoalkyl phosphate;Secondary alcohol;Hydrocarbon derivative;Purine;Primary amine;Organic nitrogen compound;Organic phosphoric acid derivative;Amine;Alkyl phosphate;Organooxygen compound
	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C(=O)NC(=O)C=C1C(O)=O	Organic compounds	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Pyrimidine ribonucleotides	Pyrimidine ribonucleoside monophosphates	Aromatic heteromonocyclic compounds	1,2-diols;Azacyclic compounds;Carboxylic acids;Heteroaromatic compounds;Hydrocarbon derivatives;Lactams;Monoalkyl phosphates;Monocarboxylic acids and derivatives;Monosaccharides;Organic carbonic acids and derivatives;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Oxacyclic compounds;Pentose phosphates;Pyrimidinecarboxylic acids;Pyrimidones;Secondary alcohols;Tetrahydrofurans;Vinylogous amides	Lactam;Carboxylic acid;Aromatic heteromonocyclic compound;Pentose phosphate;Monosaccharide;Pentose-5-phosphate;Pyrimidone;Carboxylic acid derivative;Pyrimidine;Saccharide;Organic oxide;Organonitrogen compound;Organopnictogen compound;Pyrimidine-6-carboxylic acid;Organoheterocyclic compound;1,2-diol;Alcohol;Vinylogous amide;Carbonic acid derivative;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Oxacycle;Pyrimidine ribonucleoside monophosphate;Monocarboxylic acid or derivatives;Organic oxygen compound;Phosphoric acid ester;Monoalkyl phosphate;Secondary alcohol;Hydrocarbon derivative;Organic nitrogen compound;Pyrimidine-6-carboxylic acid or derivatives;Organic phosphoric acid derivative;Alkyl phosphate;Organooxygen compound
	CCCCCCCCCCCCCCCC(O)=O	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Long-chain fatty acids	Aliphatic acyclic compounds	Carbonyl compounds;Carboxylic acids;Hydrocarbon derivatives;Monocarboxylic acids and derivatives;Organic oxides;Straight chain fatty acids	Aliphatic acyclic compound;Carbonyl group;Straight chain fatty acid;Long-chain fatty acid;Carboxylic acid;Carboxylic acid derivative;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Hydrocarbon derivative;Organooxygen compound
	OC(=O)CC(=O)C(O)=O	Organic compounds	Organic acids and derivatives	Keto acids and derivatives	Short-chain keto acids and derivatives	Short-chain keto acids and derivatives	Aliphatic acyclic compounds	Alpha-hydroxy ketones;Alpha-keto acids and derivatives;Beta-hydroxy ketones;Beta-keto acids and derivatives;Carboxylic acids;Dicarboxylic acids and derivatives;Hydrocarbon derivatives;Organic oxides	Beta-hydroxy ketone;Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Short-chain keto acid;Alpha-hydroxy ketone;Carboxylic acid derivative;Beta-keto acid;Ketone;Organic oxide;Organic oxygen compound;Alpha-keto acid;Dicarboxylic acid or derivatives;Hydrocarbon derivative;Organooxygen compound
	OC(=O)CCCC(=O)C(O)=O	Organic compounds	Organic acids and derivatives	Keto acids and derivatives	Medium-chain keto acids and derivatives	Medium-chain keto acids and derivatives	Aliphatic acyclic compounds	Alpha-hydroxy ketones;Alpha-keto acids and derivatives;Carboxylic acids;Dicarboxylic acids and derivatives;Hydrocarbon derivatives;Organic oxides	Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Alpha-hydroxy ketone;Carboxylic acid derivative;Ketone;Organic oxide;Organic oxygen compound;Alpha-keto acid;Dicarboxylic acid or derivatives;Hydrocarbon derivative;Organooxygen compound;Medium-chain keto acid
	OC(=O)C1=CC(=O)NC(=O)N1	Organic compounds	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives	Pyrimidinecarboxylic acids	Aromatic heteromonocyclic compounds	Azacyclic compounds;Carboxylic acids;Heteroaromatic compounds;Hydrocarbon derivatives;Lactams;Monocarboxylic acids and derivatives;Organic carbonic acids and derivatives;Organic oxides;Organonitrogen compounds;Organooxygen compounds;Organopnictogen compounds;Pyrimidones;Vinylogous amides	Vinylogous amide;Carbonic acid derivative;Lactam;Carboxylic acid;Aromatic heteromonocyclic compound;Azacycle;Heteroaromatic compound;Pyrimidone;Carboxylic acid derivative;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Organonitrogen compound;Organopnictogen compound;Hydrocarbon derivative;Organic nitrogen compound;Pyrimidine-6-carboxylic acid;Organooxygen compound
	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)[N+]1=CC=CC(=C1)C(O)=O	Organic compounds	Nucleosides, nucleotides, and analogues	Pyridine nucleotides	Nicotinic acid nucleotides	Nicotinic acid nucleotides	Aromatic heteromonocyclic compounds	1,2-diols;Azacyclic compounds;Carboxylic acids;Heteroaromatic compounds;Hydrocarbon derivatives;Hydroxypyridines;Monoalkyl phosphates;Monocarboxylic acids and derivatives;Monosaccharides;Organic cations;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Oxacyclic compounds;Pentose phosphates;Pyridine-3-carboxylic acids;Secondary alcohols;Tetrahydrofurans;Vinylogous amides	Pyridine carboxylic acid or derivatives;Carboxylic acid;Aromatic heteromonocyclic compound;Pentose phosphate;Pyridine-3-carboxylic acid;Monosaccharide;Pentose-5-phosphate;Carboxylic acid derivative;Saccharide;Organic oxide;Organonitrogen compound;Organopnictogen compound;Organic cation;Organoheterocyclic compound;1,2-diol;Alcohol;Vinylogous amide;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Hydroxypyridine;Nicotinic-acid-nucleotide;Oxacycle;Monocarboxylic acid or derivatives;Pyridine;Organic oxygen compound;Phosphoric acid ester;Monoalkyl phosphate;Pyridine carboxylic acid;Secondary alcohol;Hydrocarbon derivative;Organic nitrogen compound;Organic phosphoric acid derivative;Alkyl phosphate;Organooxygen compound
	OC(=O)C1=CC=CN=C1C(O)=O	Organic compounds	Organoheterocyclic compounds	Pyridines and derivatives	Pyridinecarboxylic acids and derivatives	Pyridine-3-carboxylic acids	Aromatic heteromonocyclic compounds	2-halopyridines;Azacyclic compounds;Carboxylic acids;Dicarboxylic acids and derivatives;Heteroaromatic compounds;Hydrocarbon derivatives;Hydroxypyridines;Organic oxides;Organonitrogen compounds;Organooxygen compounds;Organopnictogen compounds;Polyhalopyridines;Pyridine-2-carboxylic acids	Carboxylic acid;Aromatic heteromonocyclic compound;Azacycle;Pyridine-3-carboxylic acid;Polyhalopyridine;Heteroaromatic compound;Hydroxypyridine;Carboxylic acid derivative;Organic oxide;Pyridine-2-carboxylic acid;Organic oxygen compound;Organonitrogen compound;Dicarboxylic acid or derivatives;Organopnictogen compound;Hydrocarbon derivative;2-halopyridine;Organic nitrogen compound;Organooxygen compound
	CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N	Organic compounds	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives	Thiamines	Aromatic heteromonocyclic compounds	4,5-disubstituted thiazoles;Alcohols and polyols;Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Imidolactams;Organic cations;Organopnictogen compounds;Primary amines	Alcohol;Aromatic heteromonocyclic compound;Azacycle;Heteroaromatic compound;4,5-disubstituted 1,3-thiazole;Organic oxygen compound;Thiamine;Organonitrogen compound;Organopnictogen compound;Hydrocarbon derivative;Primary amine;Organic nitrogen compound;Organic cation;Imidolactam;Thiazole;Amine;Organooxygen compound;Azole
	CCC(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acids	Carboxylic acids	Aliphatic acyclic compounds	Carbonyl compounds;Hydrocarbon derivatives;Monocarboxylic acids and derivatives;Organic oxides	Aliphatic acyclic compound;Carbonyl group;Organic oxide;Monocarboxylic acid or derivatives;Carboxylic acid;Organic oxygen compound;Hydrocarbon derivative;Organooxygen compound
	CC1=C(O)C(CO)=C(CO)C=N1	Organic compounds	Organoheterocyclic compounds	Pyridines and derivatives	Pyridoxines	Pyridoxines	Aromatic heteromonocyclic compounds	2-halopyridines;Aromatic alcohols;Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Hydroxypyridines;Organonitrogen compounds;Organopnictogen compounds;Polyhalopyridines	Aromatic alcohol;Alcohol;Aromatic heteromonocyclic compound;Azacycle;Polyhalopyridine;Heteroaromatic compound;Hydroxypyridine;Pyridoxine;Organic oxygen compound;Organonitrogen compound;Organopnictogen compound;Hydrocarbon derivative;2-halopyridine;Organic nitrogen compound;Organooxygen compound
	[O-]S([O-])=O	Organic compounds	Organic oxygen compounds	Organic oxides	Organic oxides	Organic oxides	Acyclic compounds	Organic anions	Organic oxide;Organic anion;Acyclic compound
	CC1=C(CCC(O)=O)/C2=C/C3=N/C(=C\C4=C(C)C(C=C)=C(N4)/C=C4\N=C(\C=C\1/N\2)C(C=C)=C4C)/C(C)=C3CCC(O)=O	Organic compounds	Organoheterocyclic compounds	Tetrapyrroles and derivatives	Metallotetrapyrroles	Metallotetrapyrroles	Aromatic heteropolycyclic compounds	Azacyclic compounds;Carbonyl compounds;Carboxylic acids;Dicarboxylic acids and derivatives;Heteroaromatic compounds;Hydrocarbon derivatives;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Pyrroles	Carbonyl group;Carboxylic acid;Azacycle;Heteroaromatic compound;Carboxylic acid derivative;Organic oxide;Organic oxygen compound;Aromatic heteropolycyclic compound;Pyrrole;Organonitrogen compound;Dicarboxylic acid or derivatives;Organopnictogen compound;Hydrocarbon derivative;Organic nitrogen compound;Metallotetrapyrrole skeleton;Organooxygen compound
	CC(=O)C(O)=O	Organic compounds	Organic acids and derivatives	Keto acids and derivatives	Alpha-keto acids and derivatives	Alpha-keto acids and derivatives	Aliphatic acyclic compounds	Alpha-hydroxy ketones;Carboxylic acids;Hydrocarbon derivatives;Monocarboxylic acids and derivatives;Organic oxides	Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Alpha-hydroxy ketone;Carboxylic acid derivative;Ketone;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Alpha-keto acid;Hydrocarbon derivative;Organooxygen compound
	CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1	Organic compounds	Organoheterocyclic compounds	Pteridines and derivatives	Alloxazines and isoalloxazines	Flavins	Aromatic heteropolycyclic compounds	Azacyclic compounds;Benzenoids;Diazanaphthalenes;Heteroaromatic compounds;Hydrocarbon derivatives;Lactams;Organic carbonic acids and derivatives;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Primary alcohols;Pyrazines;Pyrimidones;Quinoxalines;Secondary alcohols	Lactam;Pyrimidone;Flavin;Pyrimidine;Organic oxide;Diazanaphthalene;Aromatic heteropolycyclic compound;Organonitrogen compound;Organopnictogen compound;Primary alcohol;Alcohol;Quinoxaline;Carbonic acid derivative;Azacycle;Heteroaromatic compound;Organic oxygen compound;Pyrazine;Secondary alcohol;Hydrocarbon derivative;Benzenoid;Organic nitrogen compound;Organooxygen compound
	NCC1=C(CC(O)=O)C(CCC(O)=O)=CN1	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Dicarboxylic acids and derivatives	Dicarboxylic acids and derivatives	Aromatic heteromonocyclic compounds	Azacyclic compounds;Carbonyl compounds;Carboxylic acids;Heteroaromatic compounds;Hydrocarbon derivatives;Monoalkylamines;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Pyrroles	Carbonyl group;Carboxylic acid;Aromatic heteromonocyclic compound;Azacycle;Heteroaromatic compound;Organic oxide;Organic oxygen compound;Pyrrole;Organonitrogen compound;Dicarboxylic acid or derivatives;Organopnictogen compound;Hydrocarbon derivative;Primary aliphatic amine;Organic nitrogen compound;Organoheterocyclic compound;Organooxygen compound
	OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Aliphatic acyclic compounds	Hydrocarbon derivatives;Primary alcohols;Secondary alcohols	Alcohol;Aliphatic acyclic compound;Secondary alcohol;Monosaccharide;Hydrocarbon derivative;Primary alcohol
	NCCS(O)(=O)=O	Organic compounds	Organic acids and derivatives	Organic sulfonic acids and derivatives	Organosulfonic acids and derivatives	Organosulfonic acids	Aliphatic acyclic compounds	Hydrocarbon derivatives;Monoalkylamines;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Sulfonyls	Aliphatic acyclic compound;Organosulfonic acid;Organosulfur compound;Organic oxide;Sulfonyl;Organic oxygen compound;Organonitrogen compound;Organopnictogen compound;Hydrocarbon derivative;Primary aliphatic amine;Organic nitrogen compound
	OC(=O)CCC(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Dicarboxylic acids and derivatives	Dicarboxylic acids and derivatives	Aliphatic acyclic compounds	Carbonyl compounds;Carboxylic acids;Fatty acids and conjugates;Hydrocarbon derivatives;Organic oxides	Aliphatic acyclic compound;Carbonyl group;Organic oxide;Carboxylic acid;Organic oxygen compound;Dicarboxylic acid or derivatives;Fatty acid;Hydrocarbon derivative;Organooxygen compound
	[O-]S([S-])(=O)=O	Organic compounds	Organic oxygen compounds	Organic oxides	Organic oxides	Organic oxides	Acyclic compounds	Organic anions	Organic oxide;Organic anion;Acyclic compound
	OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Ethers	Ketals	Aliphatic heteromonocyclic compounds	Hydrocarbon derivatives;Monosaccharides;Oxacyclic compounds;Oxanes;Primary alcohols;Secondary alcohols;Tetrahydrofurans	Alcohol;Tetrahydrofuran;Monosaccharide;Oxacycle;Saccharide;Ketal;Aliphatic heteromonocyclic compound;Secondary alcohol;Hydrocarbon derivative;Oxane;Primary alcohol;Organoheterocyclic compound
	CC1=CNC(=O)NC1=O	Organic compounds	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives	Pyrimidones	Aromatic heteromonocyclic compounds	Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Lactams;Organic carbonic acids and derivatives;Organic oxides;Organonitrogen compounds;Organooxygen compounds;Organopnictogen compounds;Vinylogous amides	Vinylogous amide;Carbonic acid derivative;Lactam;Aromatic heteromonocyclic compound;Azacycle;Heteroaromatic compound;Pyrimidone;Organic oxide;Organic oxygen compound;Organonitrogen compound;Organopnictogen compound;Hydrocarbon derivative;Organic nitrogen compound;Organooxygen compound
	OC(=O)C(=C)OP(O)(O)=O	Organic compounds	Organic acids and derivatives	Organic phosphoric acids and derivatives	Phosphate esters	Phosphate esters	Aliphatic acyclic compounds	Carbonyl compounds;Carboxylic acids;Hydrocarbon derivatives;Monocarboxylic acids and derivatives;Organic oxides	Aliphatic acyclic compound;Carbonyl group;Organic oxide;Monocarboxylic acid or derivatives;Carboxylic acid;Organic oxygen compound;Phosphoric acid ester;Hydrocarbon derivative;Carboxylic acid derivative;Organooxygen compound
	CNCC(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Alpha amino acids	Aliphatic acyclic compounds	Amino acids;Carbonyl compounds;Carboxylic acids;Dialkylamines;Hydrocarbon derivatives;Monocarboxylic acids and derivatives;Organic oxides;Organopnictogen compounds	Aliphatic acyclic compound;Secondary aliphatic amine;Carbonyl group;Carboxylic acid;Amino acid;Secondary amine;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Organonitrogen compound;Alpha-amino acid;Organopnictogen compound;Hydrocarbon derivative;Organic nitrogen compound;Organooxygen compound;Amine
	N[C@@H](COP(O)(O)=O)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Alpha amino acids	Aliphatic acyclic compounds	Carbonyl compounds;Carboxylic acids;Hydrocarbon derivatives;Monoalkyl phosphates;Monoalkylamines;Monocarboxylic acids and derivatives;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Phosphoethanolamines	Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Phosphoethanolamine;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Phosphoric acid ester;Monoalkyl phosphate;Organonitrogen compound;Alpha-amino acid;Organopnictogen compound;Hydrocarbon derivative;Primary aliphatic amine;Organic nitrogen compound;Organic phosphoric acid derivative;Alkyl phosphate;Organooxygen compound
	CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O	Organic compounds	Nucleosides, nucleotides, and analogues	Pyrimidine nucleosides	Pyrimidine nucleosides	Pyrimidine nucleosides	Aromatic heteromonocyclic compounds	Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Lactams;Monosaccharides;Organic carbonic acids and derivatives;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Oxacyclic compounds;Primary alcohols;Pyrimidones;Secondary alcohols;Tetrahydrofurans;Vinylogous amides	Lactam;Aromatic heteromonocyclic compound;Monosaccharide;Pyrimidone;Pyrimidine;Saccharide;Organic oxide;Organonitrogen compound;Organopnictogen compound;Pyrimidine nucleoside;Primary alcohol;Organoheterocyclic compound;Alcohol;Vinylogous amide;Carbonic acid derivative;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Oxacycle;Organic oxygen compound;Secondary alcohol;Hydrocarbon derivative;Organic nitrogen compound;Organooxygen compound
	O[C@H]1[C@@H](O)[C@@H](O[P@](O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Pentose phosphates	Aliphatic heteromonocyclic compounds	1,2-diols;Hydrocarbon derivatives;Monoalkyl phosphates;Monosaccharides;Organic oxides;Organic pyrophosphates;Oxacyclic compounds;Secondary alcohols;Tetrahydrofurans	Alcohol;Tetrahydrofuran;Pentose phosphate;Pentose-5-phosphate;Organic pyrophosphate;Oxacycle;Organic oxide;Phosphoric acid ester;Monoalkyl phosphate;Aliphatic heteromonocyclic compound;Secondary alcohol;Hydrocarbon derivative;Organic phosphoric acid derivative;Alkyl phosphate;Organoheterocyclic compound;1,2-diol
	OC[C@H]1OC(O)[C@H](O)[C@@H]1O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Aliphatic heteromonocyclic compounds	Hemiacetals;Hydrocarbon derivatives;Oxacyclic compounds;Primary alcohols;Secondary alcohols;Tetrahydrofurans	Alcohol;Tetrahydrofuran;Monosaccharide;Oxacycle;Aliphatic heteromonocyclic compound;Secondary alcohol;Hemiacetal;Hydrocarbon derivative;Primary alcohol;Organoheterocyclic compound
