sid	smiles	kingdom	superklass	klass	subklass	direct_parent	geometric_descriptor	alternative parents	substituents
	NC(CC1=CNC2=C1C=C(O)C=C2)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Alpha amino acids	Aromatic heteropolycyclic compounds	1-hydroxy-2-unsubstituted benzenoids;Azacyclic compounds;Benzenoids;Carbonyl compounds;Carboxylic acids;Heteroaromatic compounds;Hydrocarbon derivatives;Indoles;Monoalkylamines;Monocarboxylic acids and derivatives;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Pyrroles	Carbonyl group;Carboxylic acid;Azacycle;Indole;Heteroaromatic compound;1-hydroxy-2-unsubstituted benzenoid;Indole or derivatives;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Aromatic heteropolycyclic compound;Pyrrole;Organonitrogen compound;Alpha-amino acid;Organopnictogen compound;Hydrocarbon derivative;Benzenoid;Primary aliphatic amine;Organic nitrogen compound;Organoheterocyclic compound;Organooxygen compound
	OC1CCCCC1=O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Cyclic alcohols and derivatives	Aliphatic homomonocyclic compounds	Cyclic ketones;Hydrocarbon derivatives;Organic oxides;Secondary alcohols	Ketone;Carbonyl group;Organic oxide;Secondary alcohol;Aliphatic homomonocyclic compound;Hydrocarbon derivative;Cyclic ketone;Cyclic alcohol
	N[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Cyclohexanols	Aliphatic homomonocyclic compounds	Cyclitols and derivatives;Hydrocarbon derivatives;Monoalkylamines;Organonitrogen compounds;Organopnictogen compounds	Cyclohexanol;Cyclitol or derivatives;Cyclic alcohol;Organonitrogen compound;Aliphatic homomonocyclic compound;Organopnictogen compound;Hydrocarbon derivative;Primary aliphatic amine;Organic nitrogen compound
	CC(=O)N[C@H]1[C@H](N)O[C@H](CO)[C@@H](O)[C@@H]1O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Aliphatic heteromonocyclic compounds	Acetamides;Carbonyl compounds;Carboxylic acids and derivatives;Hemiaminals;Hydrocarbon derivatives;Monoalkylamines;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Oxacyclic compounds;Oxanes;Primary alcohols;Secondary alcohols;Secondary carboxylic acid amides	Alcohol;Carbonyl group;Monosaccharide;Carboxamide group;Carboxylic acid derivative;Hemiaminal;Oxacycle;Secondary carboxylic acid amide;Organic oxide;Aliphatic heteromonocyclic compound;Organonitrogen compound;Secondary alcohol;Organopnictogen compound;Hydrocarbon derivative;Primary aliphatic amine;Organic nitrogen compound;Oxane;Primary alcohol;Organoheterocyclic compound;Acetamide
	COC1=CC2=C(C(O)=C1)C(=O)C(OC)=C(O2)C1=CC(O)=C(O)C=C1	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	O-methylated flavonoids	3-O-methylated flavonoids	Aromatic heteropolycyclic compounds	1-hydroxy-2-unsubstituted benzenoids;1-hydroxy-4-unsubstituted benzenoids;3'-hydroxyflavonoids;3-methoxychromones;4'-hydroxyflavonoids;5-hydroxyflavonoids;7-O-methylated flavonoids;Alkyl aryl ethers;Anisoles;Benzene and substituted derivatives;Flavonoids;Heteroaromatic compounds;Hydrocarbon derivatives;Organic oxides;Oxacyclic compounds;Pyranones and derivatives;Vinylogous acids	Phenol ether;Monocyclic benzene moiety;Ether;1-benzopyran;1-hydroxy-2-unsubstituted benzenoid;3-methoxyflavonoid-skeleton;Alkyl aryl ether;3-methoxychromone;Organic oxide;Chromone;Aromatic heteropolycyclic compound;Pyranone;Organoheterocyclic compound;Benzopyran;Heteroaromatic compound;5-hydroxyflavonoid;1-hydroxy-4-unsubstituted benzenoid;3'-hydroxyflavonoid;Oxacycle;Vinylogous acid;Organic oxygen compound;Pyran;Anisole;4'-hydroxyflavonoid;Phenol;Hydrocarbon derivative;Benzenoid;7-methoxyflavonoid-skeleton;Organooxygen compound
	COC1=CC=CC=C1	Organic compounds	Benzenoids	Phenol ethers	Anisoles	Anisoles	Aromatic homomonocyclic compounds	Alkyl aryl ethers;Hydrocarbon derivatives;Methoxybenzenes;Phenoxy compounds	Monocyclic benzene moiety;Ether;Alkyl aryl ether;Methoxybenzene;Aromatic homomonocyclic compound;Organic oxygen compound;Anisole;Hydrocarbon derivative;Phenoxy compound;Organooxygen compound
	[H][C@](N)(CC1=CC=C(OC)C=C1)C(=O)N[C@]1([H])[C@@]([H])(CO)O[C@@]([H])(N2C=NC3=C(N=CN=C23)N(C)C)[C@]1([H])O	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleosides	Purine 3'-deoxyribonucleosides	Purine 3'-deoxyribonucleosides	Aromatic heteropolycyclic compounds	Alkyl aryl ethers;Alpha amino acid amides;Alpha amino acids;Aminopyrimidines and derivatives;Anisoles;Azacyclic compounds;Carbonyl compounds;Carboxylic acids and derivatives;Dialkylarylamines;Fatty amides;Heteroaromatic compounds;Hydrocarbon derivatives;Imidazoles;Imidolactams;Methoxybenzenes;Methoxylated amphetamines;Monoalkylamines;Monosaccharides;N-substituted imidazoles;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Oxacyclic compounds;Phenoxy compounds;Phenylalanine and derivatives;Primary alcohols;Purines and purine derivatives;Secondary alcohols;Secondary carboxylic acid amides;Tetrahydrofurans	Phenol ether;Monocyclic benzene moiety;Monosaccharide;Alpha-amino acid or derivatives;Imidazopyrimidine;Saccharide;Organonitrogen compound;Alpha-amino acid;Organoheterocyclic compound;Alcohol;Alpha-amino acid amide;Azacycle;Methoxylated amphetamine;Heteroaromatic compound;Methoxybenzene;Aminopyrimidine;Secondary carboxylic acid amide;Anisole;Hydrocarbon derivative;Primary aliphatic amine;Phenoxy compound;Fatty acyl;Carbonyl group;Ether;Fatty amide;Alkyl aryl ether;Carboxylic acid derivative;Pyrimidine;Organic oxide;Aromatic heteropolycyclic compound;Imidazole;Organopnictogen compound;Dialkylarylamine;Primary alcohol;Imidolactam;Amphetamine or derivatives;Azole;N-substituted imidazole;Tetrahydrofuran;Carboxamide group;Oxacycle;Purine 3'-deoxyribonucleoside;Phenylalanine or derivatives;Organic oxygen compound;Secondary alcohol;Benzenoid;Purine;Organic nitrogen compound;Organooxygen compound
	O[C@@H]1CO[C@@H](O[C@@H]2COC(O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Aliphatic heteromonocyclic compounds	Acetals;Hemiacetals;Hydrocarbon derivatives;Oxacyclic compounds;Oxanes;Secondary alcohols	Alcohol;Monosaccharide;Oxacycle;Acetal;Aliphatic heteromonocyclic compound;Secondary alcohol;Hemiacetal;Hydrocarbon derivative;Oxane;Organoheterocyclic compound
	CCN(=O)=O	Organic compounds	Organic 1,3-dipolar compounds	Allyl-type 1,3-dipolar organic compounds	Organic nitro compounds	C-nitro compounds	Aliphatic acyclic compounds	Hydrocarbon derivatives;Organic oxides;Organic oxoanionic compounds;Organic oxoazanium compounds;Organonitrogen compounds;Organopnictogen compounds;Propargyl-type 1,3-dipolar organic compounds	Aliphatic acyclic compound;Propargyl-type 1,3-dipolar organic compound;Organic oxide;Organic oxygen compound;C-nitro compound;Organonitrogen compound;Organopnictogen compound;Hydrocarbon derivative;Organic nitrogen compound;Organic oxoazanium;Organic Hyponitrite
	C[N+](C)(C)C[C@H](O)CC([O-])=O	Organic compounds	Organic nitrogen compounds	Organonitrogen compounds	Quaternary ammonium salts	Carnitines	Aliphatic acyclic compounds	1,2-aminoalcohols;Amines;Beta hydroxy acids and derivatives;Carbonyl compounds;Carboxylic acid salts;Carboxylic acids;Hydrocarbon derivatives;Hydroxy fatty acids;Monocarboxylic acids and derivatives;Organic oxides;Organic salts;Organopnictogen compounds;Secondary alcohols;Short-chain hydroxy acids and derivatives;Tetraalkylammonium salts	Fatty acyl;Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Short-chain hydroxy acid;Fatty acid;Carboxylic acid derivative;Beta-hydroxy acid;Organic oxide;Organopnictogen compound;Hydroxy fatty acid;Organic salt;Alcohol;Tetraalkylammonium salt;1,2-aminoalcohol;Hydroxy acid;Carnitine;Monocarboxylic acid or derivatives;Organic oxygen compound;Secondary alcohol;Hydrocarbon derivative;Carboxylic acid salt;Amine;Organooxygen compound
