kegg_id,metabolite_ids,Metabolite value
C00235,M_dmpp_c,0.10196459422504578
C00580,M_dms_c,
C11143,M_dmso_c,
C00857,M_dnad_c,0.31189174154044874
C00882,M_dpcoa_c,0.6317063468478823
C02463,M_dscl_c,2.0378527882017217
C01909,M_dtbt_c,1.0556977872731133
C00363,M_dtdp_c,0.14158641678148065
C20415,M_dtdp4aaddg_c,0.34972232487849864
C04346,M_dtdp4addg_c,0.3335361664860703
C11907,M_dtdp4d6dg_c,0.22126622949375507
C00688,M_dtdp4d6dm_c,0.22141542965559147
C00842,M_dtdpglu_c,0.19879720306460458
C03319,M_dtdprmn_c,0.22755074181628476
C00364,M_dtmp_c,0.13324100534828354
C00459,M_dttp_c,0.14713880941834567
C01346,M_dudp_c,0.10564518281078739
C00365,M_dump_c,0.1066368495902359
C00526,M_duri_c,0.10552732479084392
C00460,M_dutp_c,0.1110350240325575
C06257,M_dxyl_c,
C11437,M_dxyl5p_c,0.057838125445830446
C00279,M_e4p_c,0.035541559959151314
C20374,M_egmeACP_c,
C04666,M_eig3p_c,0.13556604021481844
C05821,M_enter_c,0.5222662776007803
C20378,M_epmeACP_c,
C00189,M_etha_c,0.09554876893265174
C00469,M_etoh_c,0.019318725856265484
C01094,M_f1p_c,
C05345,M_f6p_c,0.05185014664033094
C00016,M_fad_c,1.416418674063935
C01352,M_fadh2_c,1.4199719730284222
C00067,M_fald_c,
C01099,M_fc1p_c,0.0655864288977237
C01721,M_fcl__L_c,
C00354,M_fdp_c,0.05865359174301865
C14818,M_fe2_c,0.006111862845636917
C14819,M_fe3_c,0.0011443369175578866
C06227,M_fe3hox_c,
C06228,M_fecrm_c,
C06230,M_feenter_c,0.5330239976351736
C06940,M_feoxam_c,
C04376,M_fgam_c,0.1158447568979204
C03294,M_fmettrna_c,
C00061,M_fmn_c,0.49184163482255405
C01847,M_fmnh2_c,0.4956533619111303
C00058,M_for_c,0.00384001396750433
C00798,M_forcoa_c,
C04734,M_fprica_c,0.16080047238641315
C00448,M_frdp_c,0.3496163373813421
C00095,M_fru_c,0.04761975535182428
C01496,M_fru_c,0.04761975535182428
C05003,M_fru_c,0.04761975535182428
C10906,M_fru_c,0.04761975535182428
C16488,M_frulys_c,
C00905,M_fruur_c,
C00122,M_fum_c,0.02766380918997058
C00103,M_g1p_c,0.052147833423032974
C00118,M_g3p_c,0.030001622771247405
C00661,M_g3p_c,0.030001622771247405
C00670,M_g3pc_c,
C01233,M_g3pe_c,0.12741537969483963
C03274,M_g3pg_c,0.10331950795835487
C01225,M_g3pi_c,
C00092,M_g6p_c,0.05179800641101906
C00124,M_gal_c,0.0472886839643083
C00984,M_gal_c,0.0472886839643083
C00446,M_gal1p_c,0.05235780701892123
C00879,M_galct__D_c,
C00880,M_galctn__D_c,
C15930,M_galctn__L_c,
C06311,M_galt1p_c,
C00333,M_galur_c,
C06156,M_gam1p_c,0.09270491175475959
C00352,M_gam6p_c,0.0627794791014269
C03838,M_gar_c,0.10662811956506646
C01181,M_gbbtn_c,
C00266,M_gcald_c,
C00035,M_gdp_c,0.19933245621417406
C01222,M_gdpddman_c,0.26080302737317984
C00325,M_gdpfuc_c,0.31302921243320236
