met_id,name,kegg_id,pubchem_id,moldb_smiles
ECMDB00290,Uridine diphosphate-N-acetylglucosamine,C00043,10705,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O
ECMDB00292,Xanthine,C00385,1188,O=C1NC2=C(NC=N2)C(=O)N1
ECMDB00293,Xanthosine 5-triphosphate,C00700,121887,O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=C(O)N=C2O
ECMDB00295,Uridine 5'-diphosphate,C00015,6031,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O
ECMDB00296,Uridine,C00299,6029,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O
ECMDB00299,Xanthosine,C01762,64959,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=C(O)N=C2O
ECMDB00300,Uracil,C00106,1174,O=C1NC=CC(=O)N1
ECMDB00302,Uridine diphosphategalactose,C00052,18068,OC[C@H]1O[C@H](O[P@@](O)(=O)O[P@@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O
ECMDB00306,Tyramine,C00483,5610,NCCC1=CC=C(O)C=C1
ECMDB00318,"3,4-Dihydroxyphenylglycol",C05576,91528,OCC(O)C1=CC(O)=C(O)C=C1
ECMDB00375,3-(3-Hydroxyphenyl)propanoic acid,C11457,,OC(=O)CCC1=CC=CC(O)=C1
ECMDB00397,2-Pyrocatechuic acid,C00196,,OC(=O)C1=CC=CC(O)=C1O
ECMDB00402,2-Isopropylmalic acid,C02504,5280523,CC(C)[C@@](O)(CC(O)=O)C(O)=O
ECMDB00462,Allantoin,C01551,,NC(=O)NC1NC(=O)NC1=O
ECMDB00482,Caprylic acid,C06423,,CCCCCCCC(O)=O
ECMDB00491,3-Methyl-2-oxovaleric acid,C03465,439286,CCC(C)C(=O)C(O)=O
ECMDB00494,Water,C00001,962,O
ECMDB00500,4-Hydroxybenzoic acid,C00156,135,OC(=O)C1=CC=C(O)C=C1
ECMDB00510,Aminoadipic acid,C00956,,N[C@@H](CCCC(O)=O)C(O)=O
ECMDB00516,b-D-Glucose,C00221,,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
ECMDB00517,L-Arginine,C00062,6322,N[C@@H](CCCNC(N)=N)C(O)=O
ECMDB00528,"4,5-Dihydroorotic acid",C00337,648,OC(=O)C1CC(=O)NC(=O)N1
ECMDB00538,Adenosine triphosphate,C00002,5957,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
ECMDB00547,Magnesium,C00305,888,[Mg++]
ECMDB00565,Galactonic acid,C00880,,OC[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)C(O)=O
ECMDB00570,Coproporphyrin III,C03263,114935,CC1=C(CCC(O)=O)/C2=C/C3=N/C(=C\C4=C(C)C(CCC(O)=O)=C(N4)/C=C4\N=C(\C=C\1/N\2)C(C)=C4CCC(O)=O)/C(CCC(O)=O)=C3C
ECMDB00574,L-Cysteine,C00097,5862,N[C@@H](CS)C(O)=O
ECMDB00595,Hydrogen carbonate,C00288,769,OC([O-])=O
ECMDB00598,Sulfide,C00297,5362487,[S--]
ECMDB00606,D-2-Hydroxyglutaric acid,C02630,,OC(CCC(O)=O)C(O)=O
ECMDB00614,PS(16:0/16:0),C02737,3081382,CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC[C@H](N)C(O)=O)OC(=O)CCCCCCCCCCCCCCC
ECMDB00621,D-Ribulose,C00309,439203,OC[C@@H](O)[C@@H](O)C(=O)CO
ECMDB00625,Gluconic acid,C00257,10690,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O
ECMDB00630,Cytosine,C00380,597,NC1=CC=NC(=O)N1
ECMDB00639,Galactaric acid,C00879,3037582,O[C@@H]([C@@H](O)[C@H](O)C(O)=O)[C@@H](O)C(O)=O
ECMDB00641,L-Glutamine,C00064,5961,N[C@@H](CCC(N)=O)C(O)=O
ECMDB00646,L-Arabinose,C00259,439195,OC[C@H](O)[C@H](O)[C@@H](O)C=O
ECMDB00654,D-Xylulose,C00310,619,[H][C@@](O)(CO)[C@]([H])(O)C(=O)CO
ECMDB00657,Copper,C00070,23978,[Cu++]
ECMDB00660,D-Fructose,C00095,439709,OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O
ECMDB00663,Glucaric acid,C00818,,OC(C(O)C(O)C(O)=O)C(O)C(O)=O
