JW ID,Blattner ID,Gene Name,Annotation,Growth rate in glucose + AA medium,Location,Transported metabolites,Metabolite class,Class,Mechanism/specific type,Type,Expected direction,TCID,biocyc link,Comment,Paper
JW0565,b0576,pheP,phenylalanine transporter,0.77,Inner membrane,Phenylalanine,Amino acid,APC,Proton symport,Proton symport,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG10708,"Complementation of a pheP mutant restored phenylalanine-specific transport activity, indicating that PheP is normally responsible for phenylalanine transport ",
JW0649,b0654,gltJ,"glutamate, aspartate ABC transporter",0.98,Inner membrane,Glutamate and Aspertate,Amino acid,ABC,ABC,ABC,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG12661,Not verified,
JW0795,b0810,glnP,glutamine transporter,0.83,Inner membrane,Glutamine,Amino acid,ABC,ABC,ABC,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG10388,Not verified,
JW0798,b0813,rhtA,threonine and homoserine efflux system,0.79,Inner membrane,L-homoserine and L-threonine,Amino acid,DMT,Proton antiport,Proton antiport,Export,,https://biocyc.org/gene?orgid=ECOLI&id=EG12134,"Increased expression of rhtA confers increased resistance to L-homoserine, L-threonine and some other amino acids (proline, serine, cysteine, histidine) and amino acid analogues [Livshits03]. Increased expression of rhtA increases L-threonine production in a threonine producing strain and L-homoserine production in an L-homoserine producing strain;",
JW0846,b0862,artQ,arginine transporter,0.88,Inner membrane,L-arginine,Amino acid,ABC,ABC,ABC,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG11626,Not verified,
JW0887,b0904,focA,formate channel,0.85,Inner membrane,formate,Organic acid,formate-nitrite transporter (FNT) family,Uniport,Uniport,Both,https://tcdb.org/search/result.php?tc=1.A.16.1.1,https://biocyc.org/gene?orgid=ECOLI&id=EG11258#SUMMARY,"Analysis of formate levels in fermenting E. coli cultures indicate that initially, formate is exported out of the cell in order to prevent acidification of the cytoplasm. focA knock-out mutants grown in this manner are associated with increased intracellular levels of formate and decreased excretion of formate.  in the absence of FocA and FocB an unidentifed system serves to transport formate",
JW1235,b1243,oppA,oligopeptide transporter,0.82,Inner membrane,Oligopeptides,Peptide,ABC,ABC,ABC,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG10675,,
JW1787,b1798,yeaS,neutral amino-acid efflux system,0.73,Inner membrane,"Leucine, Methionine",Amino acid,resistance to homoserine/threonine (RhtB) family,Proton antiport,Proton antiport,Export,,https://biocyc.org/gene?orgid=ECOLI&id=G6984,Same class as rhtB,
JW1942,b1959,yedA,"amino acid exporter for phenylalanine, threonine",0.76,Inner membrane,"Drug, phenylalanine, threonine",Amino acid,DMT,Proton antiport,Proton antiport,Export,,https://biocyc.org/gene?orgid=ECOLI&id=EG11141,Not sure it is antiport,https://patents.google.com/patent/US7259003
JW2143,b2156,lysP,lysine transporter,0.84,Inner membrane,Lysine,Amino acid,APC,Proton symport,Proton symport,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG11337,,
