,JW ID,Blattner ID,Gene Name,Annotation,Growth rate in glucose + AA medium,Location,Transported metabolites,Metabolite class,Class,Mechanism/specific type,Type,Expected direction,TCID,biocyc link,Comment,Paper,Mean protein number fraction (C-lim),Std protein number fraction (C-lim),Detected in fraction of conditions (all),Detected in fraction of conditions (C-lim),"Ribosome profiling number fraction (Li et al., 2014)",log10(Mean protein number fraction),log10(Ribosome profiling)
10,JW3496,b3528,dctA,"C4-dicarboxylic acid, orotate and citrate transporter",0.9,Inner membrane,"Malate, aspartate, orotate, fumarate, succinate",Organic acid,dicarboxylate/amino acid:cation symporter (DAACS) family,Proton symport,Proton symport,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG20044,,,3.025125006183648e-05,6.109478127066454e-05,0.7123287671232876,0.7027027027027027,1.9018797311640816e-05,-4.519256674441577,-4.720816949934486
11,JW3422,b3457,livH,leucine/isoleucine/valine transporter,0.82,Inner membrane,"L-leucine, L-valine, L-isoleucine, L-phenylalanine, L-threonine",Amino acid,ABC,ABC,ABC,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG10538,"livH is a part of two uptake systems, LIV-1 for BCAA and LS for Phenyulalanine",https://pubmed.ncbi.nlm.nih.gov/37025642/,0.0001422288399901551,0.00011226922144346309,0.7945205479452054,0.918918918918919,0.00012584399540052383,-3.84701233202655,-3.900167501821076
12,JW3417,b3452,ugpA,glycerol-3-phosphate transporter,0.79,Inner membrane,"glycerol-3-phosphate, potentially also glycerol-2-phosphate",Phosphorylated sugar,ABC,ABC,ABC,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG11048#SUMMARY,Seems like it is not verified,,7.503004042290236e-05,6.968109435309985e-05,0.7808219178082192,0.6216216216216216,4.799135770227119e-06,-4.124764819570911,-5.318836963460709
13,JW3252,b3291,mscL,"mechanosensitive channel protein, high conductance",0.66,Inner membrane,Unspecific,Unspecific,large conductance mechanosensitive ion channel (MscL) family,,Channel,Export,,https://biocyc.org/gene?orgid=ECOLI&id=EG11180,,,0.00041946978796666664,0.00033517850749340965,1.0,1.0,0.00044098726378659776,-3.377299313480967,-3.3555739532692925
14,JW3130,b3161,mtr,tryptophan transporter of high affinity,0.7,Inner membrane,Tryptophan,Amino acid,hydroxy-aromatic amino acid permease (HAAAP) family,Proton symport,Proton symport,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG10617,Tryptophan can also be imported into cells by the low-affinity transporterï¿½TnaBï¿½and by the general aromatic amino acid transporterï¿½AroP.,,0.0,0.0,0.0684931506849315,0.0,7.643068078509867e-06,,-5.1167322720401085
15,JW3087,b3116,tdcC,L-threonine/L-serine transporter,0.92,Inner membrane,Threonine and serine,Amino acid,hydroxy-aromatic amino acid permease (HAAAP) family,Proton symport,Proton symport,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG10991#SUMMARY,induced in Escherichia coli cells when incubated in amino acid-rich medium under anaerobic conditions.,https://pubmed.ncbi.nlm.nih.gov/37025642/,1.8326336510030923e-06,2.549713004919102e-06,0.3972602739726027,0.3783783783783784,4.4436442316917745e-06,-5.736924343138911,-5.352260718947658
16,JW2932,b2964,nupG,nucleoside transporter,0.89,Inner membrane,"Nucleosides, including adenosine, cytidine, thymidine, uridine, inosine, etc",Nucleoside,MFS,Proton symport,Proton symport,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG10664,,,2.1647290189792305e-06,4.240737021210133e-06,0.1506849315068493,0.24324324324324326,8.7095426941159e-06,-5.66459646094002,-5.060004647591181
17,JW2890,b2923,argO,arginine transporter,0.64,Inner membrane,L-arginine,Amino acid,L-lysine exporter (LysE) family,Proton antiport,Proton antiport,Export,,https://biocyc.org/gene?orgid=ECOLI&id=EG11159,,,0.0,0.0,0.0,0.0,1.5641627695555077e-05,,-4.8057180554695265
18,JW2891,b2924,mscS,"mechanosensitive channel protein, small conductance",0.95,Inner membrane,Unspecific,Unspecific,small conductance mechanosensitive ion channel (MscS) Family,,Channel,Export,,https://biocyc.org/gene?orgid=ECOLI&id=EG11160,,,0.0002959691491431554,0.0002806559129300511,1.0,1.0,0.0005202617184838424,-3.5287535560193244,-3.2837781288663543
19,JW2657,b2682,ygaZ,"probable L-valine exporter, norvaline resistance",0.7,Inner membrane,L-valine,Amino acid,Branched Chain Amino Acid Exporter (LIV-E)ï¿½,Proton antiport,Proton antiport,Export,https://tcdb.org/search/result.php?tc=2.A.78,https://biocyc.org/complex?orgid=ECOLI&id=CPLX0-7684,YgaZ and YgaH comprise a putative two-component transporter that is implicated in L-valine export inï¿½E.,,0.0,0.0,0.0,0.0,2.346244154333253e-05,,-4.629626796413847
