Batch-Tube,ionMz,Strain,AUC Z-score (AUC OD),Z-score start (AUC OD),Z-score end (AUC OD),Z-score min (AUC OD),Z-score max (AUC OD),AUC Z-score (Hours),Z-score start (Hours),Z-score end (Hours),Z-score min (Hours),Z-score max (Hours)
2-10C,213.0161,nagE,5.690377621557343,-0.9030524865779006,0.4549874212093058,-0.9030524865779006,1.4419291996268093,-0.6063524600214144,-1.0070510844334013,0.45784497075354136,-1.0070510844334013,1.3157636595415385
2-10C,214.0117,nagE,3.052025364730078,-0.11275922601086075,0.6136179685944572,-0.6156721540514694,0.6628596487521684,0.04434988270851985,0.19775092759356794,0.6182972817579769,-0.5583230680321372,0.7434031325337593
2-10C,214.0491,nagE,-5.589287501680859,0.7379572340228847,-0.7881550043806035,-0.7881550043806035,0.7379572340228847,0.0027739637877995105,0.5599305092830195,-0.7872778879579502,-0.7872778879579502,0.8169225887571575
2-10C,215.0326,nagE,-8.286652242334833,1.5238230993614366,-1.0263099757600733,-1.042159370558736,1.5238230993614366,0.9652480308503961,1.612200210509607,-1.0263072003563236,-1.0414867914563966,1.612200210509607
2-10C,216.1344,nagE,-9.148097218346395,1.5259846143889821,-1.2161899803485126,-1.2161899803485126,1.5259846143889821,0.2828521283673242,1.732991866276014,-1.2164992134777761,-1.2164992134777761,1.732991866276014
2-10C,218.0332,nagE,-8.194733200085349,1.5717184781219067,-1.0477313837927507,-1.0672782665797487,1.5717184781219067,1.313524993274606,1.718565006935935,-1.0477224583791236,-1.066576249114337,1.718565006935935
2-10C,218.1034,nagE,5.035735848513373,-1.4629803563922494,0.42526429629445556,-1.4629803563922494,1.0362772450355597,-3.1729030877999786,-1.4328428317920978,0.42666132209430757,-1.722639408205201,0.9965308708285688
2-10C,220.0487,nagE,-7.651699179654794,1.446031554394175,-0.7700600774190748,-1.2113564373587111,1.446031554394175,2.586182739331561,1.3458857092792493,-0.7692957750716578,-1.090087335679362,1.6164128526809765
2-10C,220.0825,nagE,5.757538484534082,0.5471516618663566,-0.61145924990834,-0.8800323324291459,2.417514975008081,7.99742114907832,0.5055652129205431,-0.6670541843236422,-1.134300204263716,2.293091409892585
2-10C,221.0668,nagE,-6.7903157932744564,1.390545184396871,-1.029879428439559,-1.029879428439559,1.390545184396871,1.7778180574657019,2.1040374713465715,-1.028952919936355,-1.028952919936355,2.1040374713465715
2-10C,225.0403,nagE,-6.523983489040336,-0.13897961490190158,-1.278234991001619,-1.415270829025697,0.8379355331595382,-3.66912428598135,0.07133715081782159,-1.2894097299893694,-1.2894097299893694,0.754716819017327
2-10C,226.0125,nagE,0.9701451778203083,-1.0969513539662243,0.7029167959447296,-1.0969513539662243,0.7029167959447296,-5.61383607710558,-1.0221639933937081,0.7096838128425457,-1.1459349802013434,0.7096838128425457
2-10C,227.2016,nagE,-4.735308969273209,0.7488322331640211,-0.33686848736019837,-0.8825519909919624,0.7488322331640211,-0.6179732433145501,0.9958855545651611,-0.3392101869459204,-0.8510561149039149,0.9958855545651611
2-10C,228.0266,nagE,20.643602083071507,-0.6261819597417494,1.10177206799922,-0.6770224104863491,3.3666862944150293,9.886935968870652,-0.5487093609667426,1.1772704095749669,-0.755944313578702,3.3548611177472414
2-10C,229.0119,nagE,5.093118934802507,-1.1735549827174485,0.7564012419640413,-1.1735549827174485,1.1995090610919499,-2.5663428387363854,-1.1022928512394103,0.7636171540437762,-1.1657188416153368,1.2409933523740109
2-10C,230.0676,nagE,7.639216035042944,-0.5200482733591251,0.20887686115514703,-0.5210975725867172,1.3939357840390827,2.895662289637788,-0.7187110903233886,0.24638411874250066,-0.7187110903233886,1.3958619282761011
2-10C,236.0782,nagE,-2.067468716057788,-0.4409298067668711,0.3419608985694571,-0.5383059726213194,0.3419608985694571,-3.043571776730798,-0.5763393840696049,0.33612239096756513,-0.5763393840696049,0.33612239096756513
2-10C,237.0611,nagE,1.4633030017951192,-1.5190462265343554,0.5098284675474943,-1.5190462265343554,0.5098284675474943,-6.245014670603796,-1.560916995844749,0.5131351179488584,-1.5623243830319733,0.5194961158127526
2-10C,240.0514,nagE,-6.678586108270193,-1.3896399836541118,0.28292881551021054,-1.3896399836541118,0.28292881551021054,-11.489715311101907,-1.4434156506943852,0.2831879476164061,-1.4434156506943852,0.2831879476164061
2-10C,241.0834,nagE,12.437749169154305,-0.15529176966867259,1.4884638483203911,-0.6193522158655994,2.544295799064345,4.169380823484682,0.06092727279772003,1.5091042182779937,-0.7550674578760562,2.0370844387330354
