,Strain #,Tube #,Parallel,Tube,Strain,Medium,Batch,Hours,OD,Timepoint,Batch-Tube
935,0,0,C,0C,WT,M9 20 mM glucose pH 7.4,2,8,0.347,T2,2-0C
936,22,8,A,8A,setA,M9 20 mM glucose pH 7.4,2,8,0.451,T2,2-8A
937,22,8,B,8B,setA,M9 20 mM glucose pH 7.4,2,8,0.377,T2,2-8B
938,22,8,C,8C,setA,M9 20 mM glucose pH 7.4,2,8,0.385,T2,2-8C
939,23,9,A,9A,acrB,M9 20 mM glucose pH 7.4,2,8,0.415,T2,2-9A
940,23,9,B,9B,acrB,M9 20 mM glucose pH 7.4,2,8,0.407,T2,2-9B
941,23,9,C,9C,acrB,M9 20 mM glucose pH 7.4,2,8,0.409,T2,2-9C
942,24,10,A,10A,nagE,M9 20 mM glucose pH 7.4,2,8,0.234,T2,2-10A
943,24,10,B,10B,nagE,M9 20 mM glucose pH 7.4,2,8,0.261,T2,2-10B
944,24,10,C,10C,nagE,M9 20 mM glucose pH 7.4,2,8,0.247,T2,2-10C
945,25,11,A,11A,gltJ,M9 20 mM glucose pH 7.4,2,8,0.364,T2,2-11A
946,25,11,B,11B,gltJ,M9 20 mM glucose pH 7.4,2,8,0.358,T2,2-11B
947,25,11,C,11C,gltJ,M9 20 mM glucose pH 7.4,2,8,0.307,T2,2-11C
948,26,12,A,12A,ptsG,M9 20 mM glucose pH 7.4,2,8,0.059,T2,2-12A
949,26,12,B,12B,ptsG,M9 20 mM glucose pH 7.4,2,8,0.058,T2,2-12B
950,26,12,C,12C,ptsG,M9 20 mM glucose pH 7.4,2,8,0.059,T2,2-12C
951,27,13,A,13A,lysP,M9 20 mM glucose pH 7.4,2,8,0.33,T2,2-13A
952,27,13,B,13B,lysP,M9 20 mM glucose pH 7.4,2,8,0.363,T2,2-13B
953,27,13,C,13C,lysP,M9 20 mM glucose pH 7.4,2,8,0.347,T2,2-13C
954,28,14,A,14A,putP,M9 20 mM glucose pH 7.4,2,8,0.319,T2,2-14A
955,28,14,B,14B,putP,M9 20 mM glucose pH 7.4,2,8,0.32,T2,2-14B
956,28,14,C,14C,putP,M9 20 mM glucose pH 7.4,2,8,0.316,T2,2-14C
957,0,0,D,0D,WT,M9 20 mM glucose pH 7.4,2,8,0.326,T2,2-0D
958,0,0,E,0E,WT,M9 20 mM glucose pH 7.4,2,8,0.331,T2,2-0E
959,0,0,F,0F,WT,M9 20 mM glucose pH 7.4,2,8,0.311,T2,2-0F
960,15,1,A,1A,argO,M9 20 mM glucose pH 7.4,2,10,0.69,T3,2-1A
961,15,1,B,1B,argO,M9 20 mM glucose pH 7.4,2,10,0.615,T3,2-1B
962,15,1,C,1C,argO,M9 20 mM glucose pH 7.4,2,10,0.614,T3,2-1C
963,16,2,A,2A,yhjE,M9 20 mM glucose pH 7.4,2,10,0.799,T3,2-2A
964,16,2,B,2B,yhjE,M9 20 mM glucose pH 7.4,2,10,0.86,T3,2-2B
965,16,2,C,2C,yhjE,M9 20 mM glucose pH 7.4,2,10,0.848,T3,2-2C
966,17,3,A,3A,adeP,M9 20 mM glucose pH 7.4,2,10,0.489,T3,2-3A
967,17,3,B,3B,adeP,M9 20 mM glucose pH 7.4,2,10,0.467,T3,2-3B
968,17,3,C,3C,adeP,M9 20 mM glucose pH 7.4,2,10,0.455,T3,2-3C
969,18,4,A,4A,actP,M9 20 mM glucose pH 7.4,2,10,0.716,T3,2-4A
970,18,4,B,4B,actP,M9 20 mM glucose pH 7.4,2,10,0.709,T3,2-4B
971,18,4,C,4C,actP,M9 20 mM glucose pH 7.4,2,10,0.655,T3,2-4C
972,19,5,A,5A,codB,M9 20 mM glucose pH 7.4,2,10,0.842,T3,2-5A
973,19,5,B,5B,codB,M9 20 mM glucose pH 7.4,2,10,0.858,T3,2-5B
974,19,5,C,5C,codB,M9 20 mM glucose pH 7.4,2,10,0.822,T3,2-5C
975,20,6,A,6A,aroP,M9 20 mM glucose pH 7.4,2,10,0.947,T3,2-6A
976,20,6,B,6B,aroP,M9 20 mM glucose pH 7.4,2,10,0.96,T3,2-6B
977,20,6,C,6C,aroP,M9 20 mM glucose pH 7.4,2,10,0.926,T3,2-6C
978,21,7,A,7A,brnQ,M9 20 mM glucose pH 7.4,2,10,0.812,T3,2-7A
979,21,7,B,7B,brnQ,M9 20 mM glucose pH 7.4,2,10,0.52,T3,2-7B
980,21,7,C,7C,brnQ,M9 20 mM glucose pH 7.4,2,10,0.507,T3,2-7C
981,0,0,A,0A,WT,M9 20 mM glucose pH 7.4,2,10,0.884,T3,2-0A
982,0,0,B,0B,WT,M9 20 mM glucose pH 7.4,2,10,0.938,T3,2-0B
983,0,0,C,0C,WT,M9 20 mM glucose pH 7.4,2,10,0.911,T3,2-0C
984,22,8,A,8A,setA,M9 20 mM glucose pH 7.4,2,10,1.029,T3,2-8A
985,22,8,B,8B,setA,M9 20 mM glucose pH 7.4,2,10,0.933,T3,2-8B
986,22,8,C,8C,setA,M9 20 mM glucose pH 7.4,2,10,0.92,T3,2-8C
987,23,9,A,9A,acrB,M9 20 mM glucose pH 7.4,2,10,0.926,T3,2-9A
988,23,9,B,9B,acrB,M9 20 mM glucose pH 7.4,2,10,0.953,T3,2-9B
989,23,9,C,9C,acrB,M9 20 mM glucose pH 7.4,2,10,0.943,T3,2-9C
990,24,10,A,10A,nagE,M9 20 mM glucose pH 7.4,2,10,0.616,T3,2-10A
991,24,10,B,10B,nagE,M9 20 mM glucose pH 7.4,2,10,0.693,T3,2-10B
992,24,10,C,10C,nagE,M9 20 mM glucose pH 7.4,2,10,0.665,T3,2-10C
993,25,11,A,11A,gltJ,M9 20 mM glucose pH 7.4,2,10,0.826,T3,2-11A
994,25,11,B,11B,gltJ,M9 20 mM glucose pH 7.4,2,10,0.832,T3,2-11B
995,25,11,C,11C,gltJ,M9 20 mM glucose pH 7.4,2,10,0.737,T3,2-11C
996,26,12,A,12A,ptsG,M9 20 mM glucose pH 7.4,2,10,0.092,T3,2-12A
997,26,12,B,12B,ptsG,M9 20 mM glucose pH 7.4,2,10,0.094,T3,2-12B
998,26,12,C,12C,ptsG,M9 20 mM glucose pH 7.4,2,10,0.089,T3,2-12C
999,27,13,A,13A,lysP,M9 20 mM glucose pH 7.4,2,10,0.8,T3,2-13A
1000,27,13,B,13B,lysP,M9 20 mM glucose pH 7.4,2,10,0.842,T3,2-13B
1001,27,13,C,13C,lysP,M9 20 mM glucose pH 7.4,2,10,0.808,T3,2-13C
1002,28,14,A,14A,putP,M9 20 mM glucose pH 7.4,2,10,0.748,T3,2-14A
1003,28,14,B,14B,putP,M9 20 mM glucose pH 7.4,2,10,0.752,T3,2-14B
1004,28,14,C,14C,putP,M9 20 mM glucose pH 7.4,2,10,0.776,T3,2-14C
1005,0,0,D,0D,WT,M9 20 mM glucose pH 7.4,2,10,0.792,T3,2-0D
1006,0,0,E,0E,WT,M9 20 mM glucose pH 7.4,2,10,0.782,T3,2-0E
1007,0,0,F,0F,WT,M9 20 mM glucose pH 7.4,2,10,0.739,T3,2-0F
1008,15,1,A,1A,argO,M9 20 mM glucose pH 7.4,2,11,0.965,T4,2-1A
1009,15,1,B,1B,argO,M9 20 mM glucose pH 7.4,2,11,0.876,T4,2-1B
1010,15,1,C,1C,argO,M9 20 mM glucose pH 7.4,2,11,0.882,T4,2-1C
1011,16,2,A,2A,yhjE,M9 20 mM glucose pH 7.4,2,11,1.066,T4,2-2A
1012,16,2,B,2B,yhjE,M9 20 mM glucose pH 7.4,2,11,1.136,T4,2-2B
1013,16,2,C,2C,yhjE,M9 20 mM glucose pH 7.4,2,11,1.104,T4,2-2C
1014,17,3,A,3A,adeP,M9 20 mM glucose pH 7.4,2,11,0.671,T4,2-3A
1015,17,3,B,3B,adeP,M9 20 mM glucose pH 7.4,2,11,0.652,T4,2-3B
1016,17,3,C,3C,adeP,M9 20 mM glucose pH 7.4,2,11,0.63,T4,2-3C
1017,18,4,A,4A,actP,M9 20 mM glucose pH 7.4,2,11,0.959,T4,2-4A
1018,18,4,B,4B,actP,M9 20 mM glucose pH 7.4,2,11,0.964,T4,2-4B
1019,18,4,C,4C,actP,M9 20 mM glucose pH 7.4,2,11,0.901,T4,2-4C
1020,19,5,A,5A,codB,M9 20 mM glucose pH 7.4,2,11,1.126,T4,2-5A
1021,19,5,B,5B,codB,M9 20 mM glucose pH 7.4,2,11,1.141,T4,2-5B
1022,19,5,C,5C,codB,M9 20 mM glucose pH 7.4,2,11,1.088,T4,2-5C
1023,20,6,A,6A,aroP,M9 20 mM glucose pH 7.4,2,11,1.233,T4,2-6A
1024,20,6,B,6B,aroP,M9 20 mM glucose pH 7.4,2,11,1.257,T4,2-6B
1025,20,6,C,6C,aroP,M9 20 mM glucose pH 7.4,2,11,1.204,T4,2-6C
1026,21,7,A,7A,brnQ,M9 20 mM glucose pH 7.4,2,11,1.189,T4,2-7A
1027,21,7,B,7B,brnQ,M9 20 mM glucose pH 7.4,2,11,0.777,T4,2-7B
1028,21,7,C,7C,brnQ,M9 20 mM glucose pH 7.4,2,11,0.749,T4,2-7C
1029,0,0,A,0A,WT,M9 20 mM glucose pH 7.4,2,11,1.172,T4,2-0A
1030,0,0,B,0B,WT,M9 20 mM glucose pH 7.4,2,11,1.216,T4,2-0B
1031,0,0,C,0C,WT,M9 20 mM glucose pH 7.4,2,11,1.19,T4,2-0C
1032,22,8,A,8A,setA,M9 20 mM glucose pH 7.4,2,11,1.316,T4,2-8A
1033,22,8,B,8B,setA,M9 20 mM glucose pH 7.4,2,11,1.229,T4,2-8B
1034,22,8,C,8C,setA,M9 20 mM glucose pH 7.4,2,11,1.195,T4,2-8C
1035,23,9,A,9A,acrB,M9 20 mM glucose pH 7.4,2,11,1.223,T4,2-9A
1036,23,9,B,9B,acrB,M9 20 mM glucose pH 7.4,2,11,1.252,T4,2-9B
1037,23,9,C,9C,acrB,M9 20 mM glucose pH 7.4,2,11,1.217,T4,2-9C
1038,24,10,A,10A,nagE,M9 20 mM glucose pH 7.4,2,11,0.909,T4,2-10A
1039,24,10,B,10B,nagE,M9 20 mM glucose pH 7.4,2,11,0.986,T4,2-10B
1040,24,10,C,10C,nagE,M9 20 mM glucose pH 7.4,2,11,0.942,T4,2-10C
1041,25,11,A,11A,gltJ,M9 20 mM glucose pH 7.4,2,11,1.124,T4,2-11A
1042,25,11,B,11B,gltJ,M9 20 mM glucose pH 7.4,2,11,1.119,T4,2-11B
1043,25,11,C,11C,gltJ,M9 20 mM glucose pH 7.4,2,11,1.03,T4,2-11C
1044,26,12,A,12A,ptsG,M9 20 mM glucose pH 7.4,2,11,0.116,T4,2-12A
1045,26,12,B,12B,ptsG,M9 20 mM glucose pH 7.4,2,11,0.115,T4,2-12B
1046,26,12,C,12C,ptsG,M9 20 mM glucose pH 7.4,2,11,0.114,T4,2-12C
1047,27,13,A,13A,lysP,M9 20 mM glucose pH 7.4,2,11,1.113,T4,2-13A
1048,27,13,B,13B,lysP,M9 20 mM glucose pH 7.4,2,11,1.029,T4,2-13B
1049,27,13,C,13C,lysP,M9 20 mM glucose pH 7.4,2,11,1.064,T4,2-13C
1050,28,14,A,14A,putP,M9 20 mM glucose pH 7.4,2,11,1.023,T4,2-14A
1051,28,14,B,14B,putP,M9 20 mM glucose pH 7.4,2,11,1.013,T4,2-14B
1052,28,14,C,14C,putP,M9 20 mM glucose pH 7.4,2,11,1.045,T4,2-14C
1053,0,0,D,0D,WT,M9 20 mM glucose pH 7.4,2,11,1.069,T4,2-0D
1054,0,0,E,0E,WT,M9 20 mM glucose pH 7.4,2,11,1.053,T4,2-0E
1055,0,0,F,0F,WT,M9 20 mM glucose pH 7.4,2,11,1.018,T4,2-0F
1056,15,1,A,1A,argO,M9 20 mM glucose pH 7.4,2,12,1.232,T5,2-1A
1057,15,1,B,1B,argO,M9 20 mM glucose pH 7.4,2,12,1.145,T5,2-1B
1058,15,1,C,1C,argO,M9 20 mM glucose pH 7.4,2,12,1.132,T5,2-1C
1059,16,2,A,2A,yhjE,M9 20 mM glucose pH 7.4,2,12,1.34,T5,2-2A
1060,16,2,B,2B,yhjE,M9 20 mM glucose pH 7.4,2,12,1.389,T5,2-2B
1061,16,2,C,2C,yhjE,M9 20 mM glucose pH 7.4,2,12,1.325,T5,2-2C
1062,17,3,A,3A,adeP,M9 20 mM glucose pH 7.4,2,12,0.896,T5,2-3A
1063,17,3,B,3B,adeP,M9 20 mM glucose pH 7.4,2,12,0.868,T5,2-3B
1064,17,3,C,3C,adeP,M9 20 mM glucose pH 7.4,2,12,0.832,T5,2-3C
1065,18,4,A,4A,actP,M9 20 mM glucose pH 7.4,2,12,1.228,T5,2-4A
1066,18,4,B,4B,actP,M9 20 mM glucose pH 7.4,2,12,1.214,T5,2-4B
1067,18,4,C,4C,actP,M9 20 mM glucose pH 7.4,2,12,1.155,T5,2-4C
1068,19,5,A,5A,codB,M9 20 mM glucose pH 7.4,2,12,1.358,T5,2-5A
1069,19,5,B,5B,codB,M9 20 mM glucose pH 7.4,2,12,1.36,T5,2-5B
1070,19,5,C,5C,codB,M9 20 mM glucose pH 7.4,2,12,1.326,T5,2-5C
1071,20,6,A,6A,aroP,M9 20 mM glucose pH 7.4,2,12,1.384,T5,2-6A
1072,20,6,B,6B,aroP,M9 20 mM glucose pH 7.4,2,12,1.411,T5,2-6B
1073,20,6,C,6C,aroP,M9 20 mM glucose pH 7.4,2,12,1.365,T5,2-6C
1074,21,7,A,7A,brnQ,M9 20 mM glucose pH 7.4,2,12,1.391,T5,2-7A
1075,21,7,B,7B,brnQ,M9 20 mM glucose pH 7.4,2,12,1.046,T5,2-7B
1076,21,7,C,7C,brnQ,M9 20 mM glucose pH 7.4,2,12,1.006,T5,2-7C
1077,0,0,A,0A,WT,M9 20 mM glucose pH 7.4,2,12,1.385,T5,2-0A
1078,0,0,B,0B,WT,M9 20 mM glucose pH 7.4,2,12,1.395,T5,2-0B
1079,0,0,C,0C,WT,M9 20 mM glucose pH 7.4,2,12,1.378,T5,2-0C
1080,22,8,A,8A,setA,M9 20 mM glucose pH 7.4,2,12,1.436,T5,2-8A
1081,22,8,B,8B,setA,M9 20 mM glucose pH 7.4,2,12,1.378,T5,2-8B
1082,22,8,C,8C,setA,M9 20 mM glucose pH 7.4,2,12,1.353,T5,2-8C
1083,23,9,A,9A,acrB,M9 20 mM glucose pH 7.4,2,12,1.379,T5,2-9A
1084,23,9,B,9B,acrB,M9 20 mM glucose pH 7.4,2,12,1.41,T5,2-9B
1085,23,9,C,9C,acrB,M9 20 mM glucose pH 7.4,2,12,1.354,T5,2-9C
1086,24,10,A,10A,nagE,M9 20 mM glucose pH 7.4,2,12,1.143,T5,2-10A
1087,24,10,B,10B,nagE,M9 20 mM glucose pH 7.4,2,12,1.218,T5,2-10B
1088,24,10,C,10C,nagE,M9 20 mM glucose pH 7.4,2,12,1.17,T5,2-10C
1089,25,11,A,11A,gltJ,M9 20 mM glucose pH 7.4,2,12,1.305,T5,2-11A
1090,25,11,B,11B,gltJ,M9 20 mM glucose pH 7.4,2,12,1.307,T5,2-11B
1091,25,11,C,11C,gltJ,M9 20 mM glucose pH 7.4,2,12,1.234,T5,2-11C
1092,26,12,A,12A,ptsG,M9 20 mM glucose pH 7.4,2,12,0.139,T5,2-12A
1093,26,12,B,12B,ptsG,M9 20 mM glucose pH 7.4,2,12,0.14,T5,2-12B
1094,26,12,C,12C,ptsG,M9 20 mM glucose pH 7.4,2,12,0.135,T5,2-12C
1095,27,13,A,13A,lysP,M9 20 mM glucose pH 7.4,2,12,1.158,T5,2-13A
1096,27,13,B,13B,lysP,M9 20 mM glucose pH 7.4,2,12,1.167,T5,2-13B
1097,27,13,C,13C,lysP,M9 20 mM glucose pH 7.4,2,12,1.245,T5,2-13C
1098,28,14,A,14A,putP,M9 20 mM glucose pH 7.4,2,12,1.206,T5,2-14A
1099,28,14,B,14B,putP,M9 20 mM glucose pH 7.4,2,12,1.198,T5,2-14B
1100,28,14,C,14C,putP,M9 20 mM glucose pH 7.4,2,12,1.23,T5,2-14C
1101,0,0,D,0D,WT,M9 20 mM glucose pH 7.4,2,12,1.256,T5,2-0D
1102,0,0,E,0E,WT,M9 20 mM glucose pH 7.4,2,12,1.232,T5,2-0E
1103,0,0,F,0F,WT,M9 20 mM glucose pH 7.4,2,12,1.189,T5,2-0F
1104,15,1,A,1A,argO,M9 20 mM glucose pH 7.4,2,13,1.429,T6,2-1A
1105,15,1,B,1B,argO,M9 20 mM glucose pH 7.4,2,13,1.377,T6,2-1B
1106,15,1,C,1C,argO,M9 20 mM glucose pH 7.4,2,13,1.395,T6,2-1C
1107,16,2,A,2A,yhjE,M9 20 mM glucose pH 7.4,2,13,1.495,T6,2-2A
1108,16,2,B,2B,yhjE,M9 20 mM glucose pH 7.4,2,13,1.554,T6,2-2B
1109,16,2,C,2C,yhjE,M9 20 mM glucose pH 7.4,2,13,1.457,T6,2-2C
1110,17,3,A,3A,adeP,M9 20 mM glucose pH 7.4,2,13,1.151,T6,2-3A
1111,17,3,B,3B,adeP,M9 20 mM glucose pH 7.4,2,13,1.122,T6,2-3B
1112,17,3,C,3C,adeP,M9 20 mM glucose pH 7.4,2,13,1.104,T6,2-3C
1113,18,4,A,4A,actP,M9 20 mM glucose pH 7.4,2,13,1.432,T6,2-4A
1114,18,4,B,4B,actP,M9 20 mM glucose pH 7.4,2,13,1.379,T6,2-4B
1115,18,4,C,4C,actP,M9 20 mM glucose pH 7.4,2,13,1.388,T6,2-4C
1116,19,5,A,5A,codB,M9 20 mM glucose pH 7.4,2,13,1.493,T6,2-5A
1117,19,5,B,5B,codB,M9 20 mM glucose pH 7.4,2,13,1.49,T6,2-5B
1118,19,5,C,5C,codB,M9 20 mM glucose pH 7.4,2,13,1.465,T6,2-5C
1119,20,6,A,6A,aroP,M9 20 mM glucose pH 7.4,2,13,1.497,T6,2-6A
1120,20,6,B,6B,aroP,M9 20 mM glucose pH 7.4,2,13,1.494,T6,2-6B
1121,20,6,C,6C,aroP,M9 20 mM glucose pH 7.4,2,13,1.476,T6,2-6C
1122,21,7,A,7A,brnQ,M9 20 mM glucose pH 7.4,2,13,1.52,T6,2-7A
1123,21,7,B,7B,brnQ,M9 20 mM glucose pH 7.4,2,13,1.339,T6,2-7B
1124,21,7,C,7C,brnQ,M9 20 mM glucose pH 7.4,2,13,1.304,T6,2-7C
1125,0,0,A,0A,WT,M9 20 mM glucose pH 7.4,2,13,1.515,T6,2-0A
1126,0,0,B,0B,WT,M9 20 mM glucose pH 7.4,2,13,1.534,T6,2-0B
1127,0,0,C,0C,WT,M9 20 mM glucose pH 7.4,2,13,1.504,T6,2-0C
1128,22,8,A,8A,setA,M9 20 mM glucose pH 7.4,2,13,1.545,T6,2-8A
1129,22,8,B,8B,setA,M9 20 mM glucose pH 7.4,2,13,1.508,T6,2-8B
1130,22,8,C,8C,setA,M9 20 mM glucose pH 7.4,2,13,1.478,T6,2-8C
1131,23,9,A,9A,acrB,M9 20 mM glucose pH 7.4,2,13,1.519,T6,2-9A
1132,23,9,B,9B,acrB,M9 20 mM glucose pH 7.4,2,13,1.544,T6,2-9B
1133,23,9,C,9C,acrB,M9 20 mM glucose pH 7.4,2,13,1.485,T6,2-9C
1134,24,10,A,10A,nagE,M9 20 mM glucose pH 7.4,2,13,1.38,T6,2-10A
1135,24,10,B,10B,nagE,M9 20 mM glucose pH 7.4,2,13,1.422,T6,2-10B
1136,24,10,C,10C,nagE,M9 20 mM glucose pH 7.4,2,13,1.391,T6,2-10C
1137,25,11,A,11A,gltJ,M9 20 mM glucose pH 7.4,2,13,1.456,T6,2-11A
1138,25,11,B,11B,gltJ,M9 20 mM glucose pH 7.4,2,13,1.461,T6,2-11B
1139,25,11,C,11C,gltJ,M9 20 mM glucose pH 7.4,2,13,1.414,T6,2-11C
1140,26,12,A,12A,ptsG,M9 20 mM glucose pH 7.4,2,13,0.174,T6,2-12A
1141,26,12,B,12B,ptsG,M9 20 mM glucose pH 7.4,2,13,0.175,T6,2-12B
1142,26,12,C,12C,ptsG,M9 20 mM glucose pH 7.4,2,13,0.167,T6,2-12C
1143,27,13,A,13A,lysP,M9 20 mM glucose pH 7.4,2,13,1.332,T6,2-13A
1144,27,13,B,13B,lysP,M9 20 mM glucose pH 7.4,2,13,1.308,T6,2-13B
1145,27,13,C,13C,lysP,M9 20 mM glucose pH 7.4,2,13,1.368,T6,2-13C
1146,28,14,A,14A,putP,M9 20 mM glucose pH 7.4,2,13,1.365,T6,2-14A
1147,28,14,B,14B,putP,M9 20 mM glucose pH 7.4,2,13,1.353,T6,2-14B
1148,28,14,C,14C,putP,M9 20 mM glucose pH 7.4,2,13,1.377,T6,2-14C
1149,0,0,D,0D,WT,M9 20 mM glucose pH 7.4,2,13,1.406,T6,2-0D
1150,0,0,E,0E,WT,M9 20 mM glucose pH 7.4,2,13,1.378,T6,2-0E
1151,0,0,F,0F,WT,M9 20 mM glucose pH 7.4,2,13,1.355,T6,2-0F
1152,15,1,A,1A,argO,M9 20 mM glucose pH 7.4,2,14,1.544,T7,2-1A
1153,15,1,B,1B,argO,M9 20 mM glucose pH 7.4,2,14,1.493,T7,2-1B
1154,15,1,C,1C,argO,M9 20 mM glucose pH 7.4,2,14,1.497,T7,2-1C
1155,16,2,A,2A,yhjE,M9 20 mM glucose pH 7.4,2,14,1.632,T7,2-2A
1156,16,2,B,2B,yhjE,M9 20 mM glucose pH 7.4,2,14,1.654,T7,2-2B
1157,16,2,C,2C,yhjE,M9 20 mM glucose pH 7.4,2,14,1.535,T7,2-2C
1158,17,3,A,3A,adeP,M9 20 mM glucose pH 7.4,2,14,1.359,T7,2-3A
1159,17,3,B,3B,adeP,M9 20 mM glucose pH 7.4,2,14,1.34,T7,2-3B
1160,17,3,C,3C,adeP,M9 20 mM glucose pH 7.4,2,14,1.33,T7,2-3C
1161,18,4,A,4A,actP,M9 20 mM glucose pH 7.4,2,14,1.581,T7,2-4A
1162,18,4,B,4B,actP,M9 20 mM glucose pH 7.4,2,14,1.574,T7,2-4B
1163,18,4,C,4C,actP,M9 20 mM glucose pH 7.4,2,14,1.561,T7,2-4C
1164,19,5,A,5A,codB,M9 20 mM glucose pH 7.4,2,14,1.573,T7,2-5A
1165,19,5,B,5B,codB,M9 20 mM glucose pH 7.4,2,14,1.611,T7,2-5B
1166,19,5,C,5C,codB,M9 20 mM glucose pH 7.4,2,14,1.57,T7,2-5C
1167,20,6,A,6A,aroP,M9 20 mM glucose pH 7.4,2,14,1.598,T7,2-6A
1168,20,6,B,6B,aroP,M9 20 mM glucose pH 7.4,2,14,1.467,T7,2-6B
1169,20,6,C,6C,aroP,M9 20 mM glucose pH 7.4,2,14,1.447,T7,2-6C
1170,21,7,A,7A,brnQ,M9 20 mM glucose pH 7.4,2,14,1.599,T7,2-7A
1171,21,7,B,7B,brnQ,M9 20 mM glucose pH 7.4,2,14,1.597,T7,2-7B
1172,21,7,C,7C,brnQ,M9 20 mM glucose pH 7.4,2,14,1.595,T7,2-7C
1173,0,0,A,0A,WT,M9 20 mM glucose pH 7.4,2,14,1.584,T7,2-0A
1174,0,0,B,0B,WT,M9 20 mM glucose pH 7.4,2,14,1.563,T7,2-0B
1175,0,0,C,0C,WT,M9 20 mM glucose pH 7.4,2,14,1.55,T7,2-0C
1176,22,8,A,8A,setA,M9 20 mM glucose pH 7.4,2,14,1.557,T7,2-8A
1177,22,8,B,8B,setA,M9 20 mM glucose pH 7.4,2,14,1.61,T7,2-8B
1178,22,8,C,8C,setA,M9 20 mM glucose pH 7.4,2,14,1.55,T7,2-8C
1179,23,9,A,9A,acrB,M9 20 mM glucose pH 7.4,2,14,1.561,T7,2-9A
1180,23,9,B,9B,acrB,M9 20 mM glucose pH 7.4,2,14,1.604,T7,2-9B
1181,23,9,C,9C,acrB,M9 20 mM glucose pH 7.4,2,14,1.559,T7,2-9C
1182,24,10,A,10A,nagE,M9 20 mM glucose pH 7.4,2,14,1.511,T7,2-10A
1183,24,10,B,10B,nagE,M9 20 mM glucose pH 7.4,2,14,1.521,T7,2-10B
1184,24,10,C,10C,nagE,M9 20 mM glucose pH 7.4,2,14,1.505,T7,2-10C
1185,25,11,A,11A,gltJ,M9 20 mM glucose pH 7.4,2,14,1.532,T7,2-11A
1186,25,11,B,11B,gltJ,M9 20 mM glucose pH 7.4,2,14,1.531,T7,2-11B
1187,25,11,C,11C,gltJ,M9 20 mM glucose pH 7.4,2,14,1.502,T7,2-11C
1188,26,12,A,12A,ptsG,M9 20 mM glucose pH 7.4,2,14,0.209,T7,2-12A
1189,26,12,B,12B,ptsG,M9 20 mM glucose pH 7.4,2,14,0.213,T7,2-12B
1190,26,12,C,12C,ptsG,M9 20 mM glucose pH 7.4,2,14,0.204,T7,2-12C
1191,27,13,A,13A,lysP,M9 20 mM glucose pH 7.4,2,14,1.457,T7,2-13A
1192,27,13,B,13B,lysP,M9 20 mM glucose pH 7.4,2,14,1.54,T7,2-13B
1193,27,13,C,13C,lysP,M9 20 mM glucose pH 7.4,2,14,1.476,T7,2-13C
1194,28,14,A,14A,putP,M9 20 mM glucose pH 7.4,2,14,1.449,T7,2-14A
1195,28,14,B,14B,putP,M9 20 mM glucose pH 7.4,2,14,1.4,T7,2-14B
1196,28,14,C,14C,putP,M9 20 mM glucose pH 7.4,2,14,1.477,T7,2-14C
1197,0,0,D,0D,WT,M9 20 mM glucose pH 7.4,2,14,1.483,T7,2-0D
1198,0,0,E,0E,WT,M9 20 mM glucose pH 7.4,2,14,1.456,T7,2-0E
1199,0,0,F,0F,WT,M9 20 mM glucose pH 7.4,2,14,1.438,T7,2-0F
1200,15,1,A,1A,argO,M9 20 mM glucose pH 7.4,2,15,1.603,T8,2-1A
1201,15,1,B,1B,argO,M9 20 mM glucose pH 7.4,2,15,1.552,T8,2-1B
1202,15,1,C,1C,argO,M9 20 mM glucose pH 7.4,2,15,1.566,T8,2-1C
1203,16,2,A,2A,yhjE,M9 20 mM glucose pH 7.4,2,15,1.619,T8,2-2A
1204,16,2,B,2B,yhjE,M9 20 mM glucose pH 7.4,2,15,1.64,T8,2-2B
1205,16,2,C,2C,yhjE,M9 20 mM glucose pH 7.4,2,15,1.563,T8,2-2C
1206,17,3,A,3A,adeP,M9 20 mM glucose pH 7.4,2,15,1.461,T8,2-3A
1207,17,3,B,3B,adeP,M9 20 mM glucose pH 7.4,2,15,1.452,T8,2-3B
1208,17,3,C,3C,adeP,M9 20 mM glucose pH 7.4,2,15,1.457,T8,2-3C
1209,18,4,A,4A,actP,M9 20 mM glucose pH 7.4,2,15,1.556,T8,2-4A
1210,18,4,B,4B,actP,M9 20 mM glucose pH 7.4,2,15,1.505,T8,2-4B
1211,18,4,C,4C,actP,M9 20 mM glucose pH 7.4,2,15,1.555,T8,2-4C
1212,19,5,A,5A,codB,M9 20 mM glucose pH 7.4,2,15,1.574,T8,2-5A
1213,19,5,B,5B,codB,M9 20 mM glucose pH 7.4,2,15,1.563,T8,2-5B
1214,19,5,C,5C,codB,M9 20 mM glucose pH 7.4,2,15,1.577,T8,2-5C
1215,20,6,A,6A,aroP,M9 20 mM glucose pH 7.4,2,15,1.564,T8,2-6A
1216,20,6,B,6B,aroP,M9 20 mM glucose pH 7.4,2,15,1.613,T8,2-6B
1217,20,6,C,6C,aroP,M9 20 mM glucose pH 7.4,2,15,1.559,T8,2-6C
1218,21,7,A,7A,brnQ,M9 20 mM glucose pH 7.4,2,15,1.581,T8,2-7A
1219,21,7,B,7B,brnQ,M9 20 mM glucose pH 7.4,2,15,1.551,T8,2-7B
1220,21,7,C,7C,brnQ,M9 20 mM glucose pH 7.4,2,15,1.53,T8,2-7C
1221,0,0,A,0A,WT,M9 20 mM glucose pH 7.4,2,15,1.591,T8,2-0A
