Batch-Tube,Timepoint,ionMz,Z-score median,Z-score std
5-12A,1.0,130.0874,-0.05183941357310714,0.031111187738975574
5-12A,1.0,131.0008,-1.187479418107,0.23631441018555277
5-12A,1.0,131.0123,-0.6959066269598879,0.021801653116221027
5-12A,1.0,131.035,-0.7453606774652985,0.2678237107145507
5-12A,1.0,131.0462,0.304988626095017,0.437298261908744
5-12A,1.0,131.0828,5.3348700168892025,0.3644105281305312
5-12A,1.0,132.0302,-1.114620365846721,0.018230961803111328
5-12A,1.0,133.0142,-0.6718796283078033,0.02754965076717832
5-12A,1.0,133.0257,-0.8531610123885995,0.051139592694235333
5-12A,1.0,133.0505,-1.381553654070312,0.004330313026826726
5-12A,1.0,134.0472,-1.6008834912081176,0.0629138198042493
5-12A,1.0,134.0604,-1.7435400299373498,0.4470861635188017
5-12A,1.0,135.0302,-0.8473020422694906,0.062335660805490405
5-12A,1.0,135.0453,-2.0370243115376123,0.07488550113695844
5-12A,1.0,136.0404,-0.5874671997778248,0.051791483275298165
5-12A,1.0,136.0487,-1.9649995446470365,0.12337071119208243
5-12A,1.0,136.0767,-1.4044196017934625,0.3425444016676286
5-12A,1.0,137.0239,-0.3674551963618078,0.14481716106680345
5-12A,1.0,138.9789,-2.43352089270718,0.11704265720856852
5-12A,1.0,139.0014,-0.4155320995849207,0.03412762082073389
5-12A,1.0,139.0067,-0.8773980203741739,0.029296432765286002
5-12A,1.0,139.976,-1.96506957180417,0.13928237450080908
5-12A,1.0,143.0713,-0.5124737870715463,0.2611462123721435
5-12A,1.0,143.1077,-2.3764732254733367,0.13411429234847294
5-12A,1.0,145.0141,-0.4546323538475296,0.07035531491042024
5-12A,1.0,145.0506,1.1137833408124411,0.173173131388198
5-12A,1.0,145.0623,2.3081083723821463,0.29998599175484747
5-12A,1.0,145.0982,3.365806693579506,0.41518929232906376
5-12A,1.0,145.1106,1.6146210537599122,0.6736714539693041
5-12A,1.0,146.0459,-0.45941050589057786,0.005048274096627364
5-12A,1.0,147.0298,-1.0080768995411935,0.005136632779859831
5-12A,1.0,147.0662,-1.496135702392639,0.005112417133466619
5-12A,1.0,149.0092,-1.296135532202082,0.29028971624955874
5-12A,1.0,149.0456,-0.6247373930684692,0.334313785590077
5-12A,1.0,149.0608,-2.3795711184881725,0.359905844255318
5-12A,1.0,150.0422,-0.041595824388600953,0.4590640862482601
5-12A,1.0,150.9707,-0.7122890232345863,0.7392253647666176
5-12A,1.0,151.0259,-0.03329759595784556,0.06960345453655112
5-12A,1.0,151.04,-2.5802671020716645,0.4626379518847361
5-12A,1.0,151.06,-0.6716603198080751,0.3781989959635509
5-12A,1.0,152.0353,-3.2273840185431206,0.11188536874171164
5-12A,1.0,152.0716,-0.512782365086816,0.24616916751166268
5-12A,1.0,153.0192,-0.6066902998444132,0.02437389608972609
5-12A,1.0,154.062,6.14827849388889,0.4499854582674914
5-12A,1.0,154.9751,-1.0109991906115001,0.004165551698847006
5-12A,1.0,155.0099,-1.195791635605152,0.0035754945798434526
5-12A,1.0,157.0128,-1.0857009494852665,0.027672813826095606
5-12A,1.0,157.0255,-1.3509229002189247,0.003669053814382517
5-12A,1.0,157.0379,-1.4027908731626815,0.023944634144299166
5-12A,1.0,157.0504,-1.2856614767680834,0.015834498802956183
5-12A,1.0,159.0297,-0.4093982228610238,0.3583938819645427
5-12A,1.0,159.0775,-1.2169967671175217,0.006459220769811637
5-12A,1.0,160.0616,-1.5900205548261153,0.3606308610797545
5-12A,1.0,161.0453,-1.4307819520629739,0.20029916860746452
5-12A,1.0,162.0424,-1.3961914426649147,0.23485915212080827
5-12A,1.0,163.0351,-1.42731999839072,0.10327939566239511
5-12A,1.0,163.0398,-0.3001689215822798,0.0756395388567764
5-12A,1.0,163.0611,-1.6777819152865079,0.5986505664849932
5-12A,1.0,164.0716,0.5171424852093691,0.1315422124296805
5-12A,1.0,165.03,-1.7865577524297915,0.3834994865002403
5-12A,1.0,165.0405,-2.859948374338951,0.274356229451122
5-12A,1.0,165.0556,-1.2119751995289014,0.08368582327677757
5-12A,1.0,166.0508,-1.8481240851288632,0.3180193142955548
5-12A,1.0,166.0632,-1.867565745345798,0.309476445677965
5-12A,1.0,166.9759,-1.3041431546199456,0.1322130647041763
5-12A,1.0,167.0207,2.5788311435825824,0.4960363824640229
5-12A,1.0,167.0358,-1.970941338200517,0.4818860749464461
5-12A,1.0,167.0828,-1.0848750867570927,0.8013440299581803
5-12A,1.0,168.0277,-0.44826624079640215,0.0085310428402224
5-12A,1.0,168.0664,-1.0194270973133395,0.5630583188739031
5-12A,1.0,170.0455,-0.8432842459863168,0.006563258369371514
5-12A,1.0,171.0065,-1.2796589930726383,0.060767745833735426
5-12A,1.0,171.0092,-1.3974324289493774,0.041445660458808695
5-12A,1.0,171.0284,-0.7906561027957004,0.02455981559780958
5-12A,1.0,172.0616,-1.592945824351892,0.08616621071158685
5-12A,1.0,172.962,-0.6965752728941201,0.02673130870661194
5-12A,1.0,173.0089,-1.174487580246919,0.053916493308909734
5-12A,1.0,173.0453,-0.9549205528235682,0.13647790284298592
5-12A,1.0,173.0932,-0.4146520846304975,0.021397276679556914
5-12A,1.0,173.1041,2.948333972097645,0.34675493804694213
5-12A,1.0,174.0407,-1.0025070386762212,0.0034880415589486173
5-12A,1.0,174.088,1.7385186749771853,0.13513022950229256
5-12A,1.0,175.022,-1.0625284937009312,0.1436291255545676
5-12A,1.0,175.0361,-1.2532572104267499,0.0072771702919155745
5-12A,1.0,175.0611,-1.2713903035376664,0.0029494112653793954
