,Strain #,Tube #,Parallel,Tube,Strain,Medium,Batch,Hours,OD,Timepoint,Batch-Tube,Exp. phase time limit,AUC OD
16,37,9,B,9B,cycA,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-9B,14.0,0.0
17,37,9,A,9A,cycA,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-9A,14.0,0.0
18,41,13,A,13A,gltP,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-13A,13.0,0.0
19,41,13,B,13B,gltP,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-13B,13.0,0.0
20,41,13,C,13C,gltP,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-13C,13.0,0.0
21,35,7,A,7A,glpF,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-7A,12.0,0.0
22,33,5,A,5A,artQ,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-5A,14.0,0.0
23,32,4,B,4B,focA,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-4B,14.0,0.0
24,22,8,C,8C,setA,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-8C,13.0,0.0
25,29,1,C,1C,gadC,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-1C,14.0,0.0
26,0,0,A,0A,WT,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-0A,13.0,0.0
27,0,0,A,0A,WT,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-0A,13.0,0.0
28,42,14,C,14C,mscL,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-14C,14.0,0.0
29,38,10,A,10A,nupC,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-10A,13.0,0.0
30,38,10,B,10B,nupC,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-10B,13.0,0.0
31,38,10,C,10C,nupC,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-10C,13.0,0.0
32,0,0,F,0F,WT,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-0F,13.0,0.0
33,0,0,E,0E,WT,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-0E,13.0,0.0
34,0,0,D,0D,WT,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-0D,13.0,0.0
35,36,8,B,8B,proP,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-8B,13.0,0.0
36,0,0,C,0C,WT,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-0C,13.0,0.0
37,0,0,B,0B,WT,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-0B,13.0,0.0
38,36,8,A,8A,proP,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-8A,13.0,0.0
39,42,14,A,14A,mscL,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-14A,14.0,0.0
40,36,8,C,8C,proP,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-8C,13.0,0.0
41,16,2,C,2C,yhjE,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-2C,13.0,0.0
42,16,2,B,2B,yhjE,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-2B,13.0,0.0
43,16,2,A,2A,yhjE,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-2A,13.0,0.0
44,34,6,A,6A,rbsC,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-6A,13.0,0.0
45,34,6,C,6C,rbsC,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-6C,13.0,0.0
46,33,5,C,5C,artQ,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-5C,14.0,0.0
47,19,5,A,5A,codB,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-5A,13.0,0.0
48,42,14,B,14B,mscL,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-14B,14.0,0.0
49,0,0,B,0B,WT,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-0B,13.0,0.0
50,28,14,A,14A,putP,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-14A,12.0,0.0
51,40,12,A,12A,sdaC,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-12A,13.0,0.0
52,40,12,B,12B,sdaC,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-12B,13.0,0.0
53,40,12,C,12C,sdaC,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-12C,13.0,0.0
54,26,12,C,12C,ptsG,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-12C,20.0,0.0
55,26,12,B,12B,ptsG,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-12B,20.0,0.0
56,26,12,A,12A,ptsG,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-12A,20.0,0.0
57,30,2,A,2A,znuB,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-2A,14.0,0.0
58,30,2,B,2B,znuB,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-2B,14.0,0.0
59,30,2,C,2C,znuB,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-2C,14.0,0.0
60,24,10,B,10B,nagE,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-10B,13.0,0.0
61,27,13,C,13C,lysP,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-13C,13.0,0.0
62,27,13,B,13B,lysP,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-13B,13.0,0.0
63,27,13,A,13A,lysP,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-13A,13.0,0.0
64,25,11,C,11C,gltJ,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-11C,12.0,0.0
65,25,11,B,11B,gltJ,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-11B,12.0,0.0
66,25,11,A,11A,gltJ,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-11A,12.0,0.0
67,19,5,C,5C,codB,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-5C,13.0,0.0
68,28,14,C,14C,putP,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-14C,12.0,0.0
69,34,6,B,6B,rbsC,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-6B,13.0,0.0
70,24,10,A,10A,nagE,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-10A,13.0,0.0
71,28,14,B,14B,putP,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-14B,12.0,0.0
72,19,5,B,5B,codB,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-5B,13.0,0.0
73,21,7,B,7B,brnQ,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-7B,13.0,0.0
74,17,3,A,3A,adeP,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-3A,14.0,0.0
75,24,10,C,10C,nagE,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-10C,13.0,0.0
76,21,7,A,7A,brnQ,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-7A,13.0,0.0
77,20,6,C,6C,aroP,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-6C,13.0,0.0
78,20,6,B,6B,aroP,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-6B,13.0,0.0
79,20,6,A,6A,aroP,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-6A,13.0,0.0
80,15,1,C,1C,argO,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-1C,13.0,0.0
81,17,3,C,3C,adeP,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-3C,14.0,0.0
82,17,3,B,3B,adeP,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-3B,14.0,0.0
83,18,4,C,4C,actP,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-4C,13.0,0.0
84,15,1,B,1B,argO,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-1B,13.0,0.0
85,15,1,A,1A,argO,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-1A,13.0,0.0
86,21,7,C,7C,brnQ,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-7C,13.0,0.0
87,29,1,B,1B,gadC,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-1B,14.0,0.0
88,18,4,A,4A,actP,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-4A,13.0,0.0
89,23,9,C,9C,acrB,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-9C,12.0,0.0
90,23,9,B,9B,acrB,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-9B,12.0,0.0
91,23,9,A,9A,acrB,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-9A,12.0,0.0
92,0,0,F,0F,WT,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-0F,13.0,0.0
93,0,0,E,0E,WT,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-0E,13.0,0.0
94,0,0,D,0D,WT,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-0D,13.0,0.0
95,0,0,C,0C,WT,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-0C,13.0,0.0
96,60,4,A,4A,metI,M9 20 mM glucose pH 7.4,5,0.33,0.013,,5-4A,13.0,0.0
97,26,12,B,12B,ptsG,M9 20 mM glucose pH 7.4,2,0.33,0.018,,2-12B,20.0,0.00462
98,26,12,C,12C,ptsG,M9 20 mM glucose pH 7.4,2,0.33,0.017,,2-12C,20.0,0.004455000000000001
99,12,12,C,12C,rhtA,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-12C,14.0,0.0
100,60,4,B,4B,metI,M9 20 mM glucose pH 7.4,5,0.33,0.011,,5-4B,13.0,0.0
101,33,5,B,5B,artQ,M9 20 mM glucose pH 7.4,3,0.33,0.015,,3-5B,14.0,0.004125
102,33,5,C,5C,artQ,M9 20 mM glucose pH 7.4,3,0.33,0.017,,3-5C,14.0,0.004455000000000001
103,42,14,A,14A,mscL,M9 20 mM glucose pH 7.4,3,0.33,0.017,,3-14A,14.0,0.004455000000000001
104,33,5,A,5A,artQ,M9 20 mM glucose pH 7.4,3,0.33,0.015,,3-5A,14.0,0.004125
105,4,4,A,4A,ompF,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-4A,14.0,0.0
106,60,4,C,4C,metI,M9 20 mM glucose pH 7.4,5,0.33,0.012,,5-4C,13.0,0.0
107,36,8,A,8A,proP,M9 20 mM glucose pH 7.4,3,0.33,0.017,,3-8A,13.0,0.004455000000000001
108,26,12,A,12A,ptsG,M9 20 mM glucose pH 7.4,2,0.33,0.015,,2-12A,20.0,0.004125
109,38,10,A,10A,nupC,M9 20 mM glucose pH 7.4,3,0.33,0.017,,3-10A,13.0,0.004455000000000001
110,41,13,C,13C,gltP,M9 20 mM glucose pH 7.4,3,0.33,0.017,,3-13C,13.0,0.004455000000000001
111,38,10,B,10B,nupC,M9 20 mM glucose pH 7.4,3,0.33,0.014,,3-10B,13.0,0.00396
112,0,0,F,0F,WT,M9 20 mM glucose pH 7.4,3,0.33,0.016,,3-0F,13.0,0.00429
113,0,0,E,0E,WT,M9 20 mM glucose pH 7.4,3,0.33,0.015,,3-0E,13.0,0.004125
114,0,0,D,0D,WT,M9 20 mM glucose pH 7.4,3,0.33,0.016,,3-0D,13.0,0.00429
115,0,0,C,0C,WT,M9 20 mM glucose pH 7.4,3,0.33,0.023,,3-0C,13.0,0.005445
116,0,0,B,0B,WT,M9 20 mM glucose pH 7.4,3,0.33,0.017,,3-0B,13.0,0.004455000000000001
117,64,8,C,8C,manY,M9 20 mM glucose pH 7.4,5,0.33,0.012,,5-8C,13.0,0.0
118,64,8,B,8B,manY,M9 20 mM glucose pH 7.4,5,0.33,0.014,,5-8B,13.0,0.0
119,13,13,B,13B,mscS,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-13B,16.0,0.0
120,4,4,B,4B,ompF,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-4B,14.0,0.0
121,0,0,A,0A,WT,M9 20 mM glucose pH 7.4,3,0.33,0.016,,3-0A,13.0,0.00429
122,0,0,B,0B,WT,M9 20 mM glucose pH 7.4,2,0.33,0.017,,2-0B,13.0,0.004455000000000001
123,14,14,A,14A,sstT,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-14A,14.0,0.0
124,47,5,B,5B,mtr,M9 20 mM glucose pH 7.4,4,0.33,0.012,,4-5B,13.0,0.0
125,4,4,C,4C,ompF,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-4C,14.0,0.0
126,18,4,A,4A,actP,M9 20 mM glucose pH 7.4,2,0.33,0.025,,2-4A,13.0,0.005775000000000001
127,23,9,C,9C,acrB,M9 20 mM glucose pH 7.4,2,0.33,0.017,,2-9C,12.0,0.004455000000000001
128,18,4,B,4B,actP,M9 20 mM glucose pH 7.4,2,0.33,0.016,,2-4B,13.0,0.00429
129,14,14,C,14C,sstT,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-14C,14.0,0.0
130,53,11,C,11C,galP,M9 20 mM glucose pH 7.4,4,0.33,0.014,,4-11C,12.0,0.0
131,59,3,A,3A,eamA,M9 20 mM glucose pH 7.4,5,0.33,0.012,,5-3A,13.0,0.0
132,23,9,B,9B,acrB,M9 20 mM glucose pH 7.4,2,0.33,0.021,,2-9B,12.0,0.005115000000000001
133,23,9,A,9A,acrB,M9 20 mM glucose pH 7.4,2,0.33,0.015,,2-9A,12.0,0.004125
134,13,13,C,13C,mscS,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-13C,16.0,0.0
135,0,0,D,0D,WT,M9 20 mM glucose pH 7.4,2,0.33,0.026,,2-0D,13.0,0.00594
136,0,0,E,0E,WT,M9 20 mM glucose pH 7.4,2,0.33,0.018,,2-0E,13.0,0.00462
137,0,0,F,0F,WT,M9 20 mM glucose pH 7.4,2,0.33,0.017,,2-0F,13.0,0.004455000000000001
138,1,1,C,1C,tsx,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-1C,14.0,0.0
139,1,1,B,1B,tsx,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-1B,14.0,0.0
140,1,1,A,1A,tsx,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-1A,14.0,0.0
141,51,9,C,9C,nupG,M9 20 mM glucose pH 7.4,4,0.33,0.011,,4-9C,12.0,0.0
142,51,9,B,9B,nupG,M9 20 mM glucose pH 7.4,4,0.33,0.011,,4-9B,12.0,0.0
143,51,9,A,9A,nupG,M9 20 mM glucose pH 7.4,4,0.33,0.013,,4-9A,12.0,0.0
144,66,10,A,10A,ansP,M9 20 mM glucose pH 7.4,5,0.33,0.011,,5-10A,13.0,0.0
145,66,10,B,10B,ansP,M9 20 mM glucose pH 7.4,5,0.33,0.011,,5-10B,13.0,0.0
146,66,10,C,10C,ansP,M9 20 mM glucose pH 7.4,5,0.33,0.015,,5-10C,13.0,0.0
147,47,5,C,5C,mtr,M9 20 mM glucose pH 7.4,4,0.33,0.014,,4-5C,13.0,0.0
148,47,5,A,5A,mtr,M9 20 mM glucose pH 7.4,4,0.33,0.012,,4-5A,13.0,0.0
149,64,8,A,8A,manY,M9 20 mM glucose pH 7.4,5,0.33,0.011,,5-8A,13.0,0.0
150,14,14,B,14B,sstT,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-14B,14.0,0.0
151,43,1,C,1C,livH,M9 20 mM glucose pH 7.4,5,0.33,0.016,,5-1C,15.0,0.0
152,40,12,C,12C,sdaC,M9 20 mM glucose pH 7.4,3,0.33,0.018,,3-12C,13.0,0.00462
153,35,7,C,7C,glpF,M9 20 mM glucose pH 7.4,3,0.33,0.019,,3-7C,12.0,0.004785
154,37,9,B,9B,cycA,M9 20 mM glucose pH 7.4,3,0.33,0.022,,3-9B,14.0,0.00528
155,31,3,A,3A,glnP,M9 20 mM glucose pH 7.4,3,0.33,0.016,,3-3A,13.0,0.00429
156,16,2,A,2A,yhjE,M9 20 mM glucose pH 7.4,2,0.33,0.016,,2-2A,13.0,0.00429
157,42,14,C,14C,mscL,M9 20 mM glucose pH 7.4,3,0.33,0.016,,3-14C,14.0,0.00429
158,5,5,A,5A,yddG,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-5A,14.0,0.0
159,2,2,A,2A,oppA,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-2A,14.0,0.0
160,37,9,C,9C,cycA,M9 20 mM glucose pH 7.4,3,0.33,0.017,,3-9C,14.0,0.004455000000000001
161,2,2,C,2C,oppA,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-2C,14.0,0.0
162,22,8,C,8C,setA,M9 20 mM glucose pH 7.4,2,0.33,0.021,,2-8C,13.0,0.005115000000000001
163,43,1,A,1A,livH,M9 20 mM glucose pH 7.4,5,0.33,0.011,,5-1A,15.0,0.0
164,43,1,B,1B,livH,M9 20 mM glucose pH 7.4,5,0.33,0.011,,5-1B,15.0,0.0
165,2,2,B,2B,oppA,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-2B,14.0,0.0
166,34,6,A,6A,rbsC,M9 20 mM glucose pH 7.4,3,0.33,0.016,,3-6A,13.0,0.00429
167,35,7,B,7B,glpF,M9 20 mM glucose pH 7.4,3,0.33,0.023,,3-7B,12.0,0.005445
168,22,8,A,8A,setA,M9 20 mM glucose pH 7.4,2,0.33,0.014,,2-8A,13.0,0.00396
169,0,0,D,0D,WT,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-0D,14.0,0.0
170,40,12,B,12B,sdaC,M9 20 mM glucose pH 7.4,3,0.33,0.017,,3-12B,13.0,0.004455000000000001
171,28,14,C,14C,putP,M9 20 mM glucose pH 7.4,2,0.33,0.023,,2-14C,12.0,0.005445
172,28,14,B,14B,putP,M9 20 mM glucose pH 7.4,2,0.33,0.016,,2-14B,12.0,0.00429
173,22,8,B,8B,setA,M9 20 mM glucose pH 7.4,2,0.33,0.016,,2-8B,13.0,0.00429
174,34,6,C,6C,rbsC,M9 20 mM glucose pH 7.4,3,0.33,0.019,,3-6C,13.0,0.004785
175,40,12,A,12A,sdaC,M9 20 mM glucose pH 7.4,3,0.33,0.017,,3-12A,13.0,0.004455000000000001
176,34,6,B,6B,rbsC,M9 20 mM glucose pH 7.4,3,0.33,0.015,,3-6B,13.0,0.004125
177,13,13,A,13A,mscS,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-13A,16.0,0.0
178,28,14,A,14A,putP,M9 20 mM glucose pH 7.4,2,0.33,0.015,,2-14A,12.0,0.004125
179,32,4,A,4A,focA,M9 20 mM glucose pH 7.4,3,0.33,0.017,,3-4A,14.0,0.004455000000000001
180,35,7,A,7A,glpF,M9 20 mM glucose pH 7.4,3,0.33,0.018,,3-7A,12.0,0.00462
181,32,4,C,4C,focA,M9 20 mM glucose pH 7.4,3,0.33,0.018,,3-4C,14.0,0.00462
182,32,4,B,4B,focA,M9 20 mM glucose pH 7.4,3,0.33,0.02,,3-4B,14.0,0.00495
183,38,10,C,10C,nupC,M9 20 mM glucose pH 7.4,3,0.33,0.015,,3-10C,13.0,0.004125
184,16,2,B,2B,yhjE,M9 20 mM glucose pH 7.4,2,0.33,0.017,,2-2B,13.0,0.004455000000000001
185,41,13,B,13B,gltP,M9 20 mM glucose pH 7.4,3,0.33,0.016,,3-13B,13.0,0.00429
186,37,9,A,9A,cycA,M9 20 mM glucose pH 7.4,3,0.33,0.019,,3-9A,14.0,0.004785
187,0,0,B,0B,WT,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-0B,14.0,0.0
188,29,1,A,1A,gadC,M9 20 mM glucose pH 7.4,3,0.33,0.016,,3-1A,14.0,0.00429
189,29,1,B,1B,gadC,M9 20 mM glucose pH 7.4,3,0.33,0.02,,3-1B,14.0,0.00495
190,29,1,C,1C,gadC,M9 20 mM glucose pH 7.4,3,0.33,0.021,,3-1C,14.0,0.005115000000000001
191,39,11,C,11C,fruA,M9 20 mM glucose pH 7.4,3,0.33,0.018,,3-11C,13.0,0.00462
192,39,11,B,11B,fruA,M9 20 mM glucose pH 7.4,3,0.33,0.017,,3-11B,13.0,0.004455000000000001
193,39,11,A,11A,fruA,M9 20 mM glucose pH 7.4,3,0.33,0.014,,3-11A,13.0,0.00396
194,36,8,B,8B,proP,M9 20 mM glucose pH 7.4,3,0.33,0.017,,3-8B,13.0,0.004455000000000001
195,42,14,B,14B,mscL,M9 20 mM glucose pH 7.4,3,0.33,0.016,,3-14B,14.0,0.00429
196,0,0,C,0C,WT,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-0C,14.0,0.0
197,0,0,F,0F,WT,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-0F,14.0,0.0
198,58,2,C,2C,rhtB,M9 20 mM glucose pH 7.4,5,0.33,0.013,,5-2C,12.0,0.0
199,58,2,B,2B,rhtB,M9 20 mM glucose pH 7.4,5,0.33,0.011,,5-2B,12.0,0.0
200,41,13,A,13A,gltP,M9 20 mM glucose pH 7.4,3,0.33,0.017,,3-13A,13.0,0.004455000000000001
201,58,2,A,2A,rhtB,M9 20 mM glucose pH 7.4,5,0.33,0.012,,5-2A,12.0,0.0
202,31,3,B,3B,glnP,M9 20 mM glucose pH 7.4,3,0.33,0.017,,3-3B,13.0,0.004455000000000001
203,31,3,C,3C,glnP,M9 20 mM glucose pH 7.4,3,0.33,0.018,,3-3C,13.0,0.00462
204,3,3,A,3A,ompC,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-3A,14.0,0.0
205,3,3,B,3B,ompC,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-3B,14.0,0.0
206,3,3,C,3C,ompC,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-3C,14.0,0.0
207,36,8,C,8C,proP,M9 20 mM glucose pH 7.4,3,0.33,0.016,,3-8C,13.0,0.00429
208,16,2,C,2C,yhjE,M9 20 mM glucose pH 7.4,2,0.33,0.014,,2-2C,13.0,0.00396
209,0,0,E,0E,WT,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-0E,14.0,0.0
210,50,8,B,8B,cstA,M9 20 mM glucose pH 7.4,4,0.33,0.014,,4-8B,13.0,0.0
211,18,4,C,4C,actP,M9 20 mM glucose pH 7.4,2,0.33,0.017,,2-4C,13.0,0.004455000000000001
212,49,7,B,7B,uhpT,M9 20 mM glucose pH 7.4,4,0.33,0.014,,4-7B,13.0,0.0
213,44,2,A,2A,dppB,M9 20 mM glucose pH 7.4,4,0.33,0.018,,4-2A,20.0,0.0
214,61,5,B,5B,tolC,M9 20 mM glucose pH 7.4,5,0.33,0.012,,5-5B,24.0,0.0
215,61,5,C,5C,tolC,M9 20 mM glucose pH 7.4,5,0.33,0.012,,5-5C,24.0,0.0
216,20,6,A,6A,aroP,M9 20 mM glucose pH 7.4,2,0.33,0.019,,2-6A,13.0,0.004785
217,17,3,A,3A,adeP,M9 20 mM glucose pH 7.4,2,0.33,0.012,,2-3A,14.0,0.00363
218,19,5,C,5C,codB,M9 20 mM glucose pH 7.4,2,0.33,0.023,,2-5C,13.0,0.005445
219,0,0,C,0C,WT,M9 20 mM glucose pH 7.4,4,0.33,0.017,,4-0C,12.0,0.0
220,0,0,B,0B,WT,M9 20 mM glucose pH 7.4,4,0.33,0.015,,4-0B,12.0,0.0
221,0,0,A,0A,WT,M9 20 mM glucose pH 7.4,4,0.33,0.019,,4-0A,12.0,0.0
222,24,10,A,10A,nagE,M9 20 mM glucose pH 7.4,2,0.33,0.014,,2-10A,13.0,0.00396
223,24,10,B,10B,nagE,M9 20 mM glucose pH 7.4,2,0.33,0.015,,2-10B,13.0,0.004125
224,24,10,C,10C,nagE,M9 20 mM glucose pH 7.4,2,0.33,0.015,,2-10C,13.0,0.004125
225,0,0,D,0D,WT,M9 20 mM glucose pH 7.4,4,0.33,0.016,,4-0D,12.0,0.0
226,11,11,C,11C,punC,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-11C,15.0,0.0
227,11,11,A,11A,punC,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-11A,15.0,0.0
228,30,2,C,2C,znuB,M9 20 mM glucose pH 7.4,3,0.33,0.023,,3-2C,14.0,0.005445
229,30,2,B,2B,znuB,M9 20 mM glucose pH 7.4,3,0.33,0.023,,3-2B,14.0,0.005445
230,30,2,A,2A,znuB,M9 20 mM glucose pH 7.4,3,0.33,0.018,,3-2A,14.0,0.00462
231,62,6,A,6A,yahN,M9 20 mM glucose pH 7.4,5,0.33,0.014,,5-6A,13.0,0.0
232,62,6,B,6B,yahN,M9 20 mM glucose pH 7.4,5,0.33,0.014,,5-6B,13.0,0.0
233,11,11,B,11B,punC,M9 20 mM glucose pH 7.4,1,0.33,0.01,,1-11B,15.0,0.0
234,0,0,E,0E,WT,M9 20 mM glucose pH 7.4,4,0.33,0.014,,4-0E,12.0,0.0
235,0,0,F,0F,WT,M9 20 mM glucose pH 7.4,4,0.33,0.019,,4-0F,12.0,0.0
236,44,2,B,2B,dppB,M9 20 mM glucose pH 7.4,4,0.33,0.012,,4-2B,20.0,0.0
237,15,1,C,1C,argO,M9 20 mM glucose pH 7.4,2,0.33,0.02,,2-1C,13.0,0.00495
238,45,3,A,3A,dctA,M9 20 mM glucose pH 7.4,4,0.33,0.011,,4-3A,13.0,0.0
239,44,2,C,2C,dppB,M9 20 mM glucose pH 7.4,4,0.33,0.014,,4-2C,20.0,0.0
240,19,5,B,5B,codB,M9 20 mM glucose pH 7.4,2,0.33,0.022,,2-5B,13.0,0.00528
241,15,1,B,1B,argO,M9 20 mM glucose pH 7.4,2,0.33,0.016,,2-1B,13.0,0.00429
242,53,11,B,11B,galP,M9 20 mM glucose pH 7.4,4,0.33,0.013,,4-11B,12.0,0.0
243,21,7,B,7B,brnQ,M9 20 mM glucose pH 7.4,2,0.33,0.015,,2-7B,13.0,0.004125
244,56,14,A,14A,dcuA,M9 20 mM glucose pH 7.4,4,0.33,0.018,,4-14A,12.0,0.0
