,Strain,ionMz,Rel. abs. distance,Rel. distance,Mean abs. distance,Mean distance,MAE1,MAE2,Mean MAE,Strain 1,Strain 2,p-value rel,p-value abs
55,yeaS,131.035,0.2656242139546146,0.19946475255859675,0.036585607716306215,0.027473170015990287,0.1498253087616815,0.12564361157219547,0.1377344601669385,yeaS,WT,0.363,0.882
56,yeaS,131.0466,0.2831614202315007,0.12517945060032618,0.04226431858242295,0.018684127858305956,0.16493499559167324,0.13358249699520142,0.14925874629343733,yeaS,WT,0.378,0.816
57,yeaS,131.0828,0.7463239560090303,-0.3561568888697543,0.12893152533116362,-0.061528040965930786,0.15433648327911262,0.19117440188830273,0.17275544258370767,yeaS,WT,0.163,0.232
58,yeaS,132.0305,1.9515298370720748,-1.3891663917133619,0.1540298980175599,-0.10964380537786686,0.09092730223696628,0.06692823764927446,0.07892776994312037,yeaS,WT,0.001,0.0
59,yeaS,133.0144,2.2424414685696936,1.6186575600252449,0.09354109100975495,0.06752060031806514,0.04875251199134274,0.034675387751716046,0.04171394987152939,yeaS,WT,0.002,0.002
60,yeaS,133.0508,4.763509975206572,-4.763509975206572,0.6849191249186974,-0.6849191249186974,0.16601958037619072,0.12154951404519566,0.1437845472106932,yeaS,WT,0.0,0.0
61,yeaS,135.031,2.0316264431220437,-0.7610310032555687,0.20936084022752113,-0.07842489490141372,0.1327846755813627,0.07331703266948275,0.10305085412542273,yeaS,WT,0.085,0.005
62,yeaS,135.0456,0.9540980887311897,0.9540980887311897,0.21253998755138698,0.21253998755138698,0.29793042232912265,0.1476002627475741,0.22276534253834837,yeaS,WT,0.011,0.038
63,yeaS,136.0404,0.8655897377829382,-0.023989686746678944,0.2632171174675831,-0.007295022016532483,0.29161759827916767,0.316562249466646,0.30408992387290684,yeaS,WT,0.483,0.018
64,yeaS,138.9798,0.420932382921491,0.25103814250850487,0.11697081307063417,0.0697597448719889,0.25508287721028056,0.300687207565785,0.2778850423880328,yeaS,WT,0.258,0.588
