ionMz,Metabolite,KEGG,All metabolite names,Alt. annotations,Classes,Classification
116.0356,Aspartate semialdehyde,C00441;C03508;C20250,(Z)-2-Methyl-peroxyaminoacrylate / 2-Amino-3-oxobutanoic acid / Aspartate semialdehyde,(Z)-2-Methyl-peroxyaminoacrylate / 2-Amino-3-oxobutanoic acid,Amino acids,Amino acids
116.0718,Valine,C00183;C00719,Betaine / Valine,Betaine,Amino acids,Amino acids
117.0194,Succinate,C00042,Succinate,,Carboxylic acids,Carboxylic acids
117.0676,"L-2,4-Diaminobutanoic acid",C03283,"L-2,4-Diaminobutanoic acid",,Unknown,Unknown
118.0513,Threonine,C00188;C00263;C00820;C05519,Allothreonine / Homoserine / Threonine,Allothreonine / Homoserine,Amino acids,Amino acids
118.9807,Mercaptopyruvic acid,C00957,Mercaptopyruvic acid,,Keto / hydroxy acids,Keto / hydroxy acids
119.0503,Phenylacetaldehyde,C00601,Phenylacetaldehyde,,Benzenoids,Other
120.0127,Cys,C00097;C00793,Cys,,Amino acids,Amino acids
121.0409,Nicotinamide,C00153,Nicotinamide,,Organoheterocyclic compounds,Organoheterocyclic compounds
124.0076,Taurine,C00245,Taurine,,Other organic acids,Other
125.0354,Thymine,C00178,Thymine,,Organoheterocyclic compounds,Organoheterocyclic compounds
125.0466,5-Amino-4-imidazolecarboxyamide,C04051,5-Amino-4-imidazolecarboxyamide,,Carboxylic acids,Carboxylic acids
127.0403,"2-Hydroxy-cis-hex-2,4-dienoate",C11354,"2-Hydroxy-cis-hex-2,4-dienoate",,Unknown,Unknown
127.0523,Dihydrothymine,C00906,Dihydrothymine,,Organoheterocyclic compounds,Organoheterocyclic compounds
128.0353,Pyrrolidonecarboxylic acid,C02237;C04281,Pyrrolidonecarboxylic acid / Pyrroline hydroxycarboxylic acid,Pyrroline hydroxycarboxylic acid,Amino acids,Amino acids
128.0719,Pipecolate,C00408,Pipecolate,,Unknown,Unknown
129.0194,Itaconate,C00490;C02226,Citraconic acid / Itaconate,Citraconic acid,Lipid-like molecules,Lipid-like molecules
129.056,4-Methyl-2-oxopentanoate,C00233;C00671;C03465,2-Keto-3-methyl-valerate / 4-Methyl-2-oxopentanoate / Ketoleucine,2-Keto-3-methyl-valerate / Ketoleucine,Keto / hydroxy acids,Keto / hydroxy acids
129.1035,N-Acetylputrescine,C02714,N-Acetylputrescine,,Carboxylic acids,Carboxylic acids
130.0511,5-Aminolevulinic acid,C00430;C01157;C01165;C03741,(S)-4-Amino-5-oxopentanoate / 5-Aminolevulinic acid / Glutamic-gamma-semialdehyde / Hydroxyproline,(S)-4-Amino-5-oxopentanoate / Glutamic-gamma-semialdehyde / Hydroxyproline,Amino acids,Amino acids
130.0876,(Iso)Leucine,C00123;C00407,Isoleucine / (Iso)Leucine,Isoleucine,Amino acids,Amino acids
131.035,Glutarate,C00489;C00900;C03589;C04181;C06010;C11838,"(4S)-4,5-Dihydroxypentan-2,3-dione / (S)-2-Acetolactate / 2-Acetolactate / 3-Hydroxy-3-methyl-2-oxobutanoic acid / 4-Hydroxy-2-oxopentanoate / Glutarate","(4S)-4,5-Dihydroxypentan-2,3-dione / (S)-2-Acetolactate / 2-Acetolactate / 3-Hydroxy-3-methyl-2-oxobutanoic acid / 4-Hydroxy-2-oxopentanoate",Keto / hydroxy acids;Carboxylic acids,Mixed
131.0466,Asparagine,C00152;C02642,Asparagine / Ureidopropionic acid,Ureidopropionic acid,Amino acids;Other organic acids,Mixed
131.0828,Ornithine,C00077;C01602,Ornithine,,Amino acids,Amino acids
132.0305,Aspartate,C00049,Aspartate,,Amino acids,Amino acids
133.0144,Malate,C00149;C00497,Malate / Malic acid,Malic acid,Keto / hydroxy acids,Keto / hydroxy acids
133.0508,Deoxyribose,C01801;C04039;C04272;C06257,"(R)-2,3-Dihydroxy-isovalerate / 1-Deoxy-xylulose / 2,3-Dihydroxyisovaleric acid / Deoxyribose","(R)-2,3-Dihydroxy-isovalerate / 1-Deoxy-xylulose / 2,3-Dihydroxyisovaleric acid",Lipid-like molecules;Organic oxygen compounds,Mixed
135.031,Hypoxanthine,C00262,Hypoxanthine,,Organoheterocyclic compounds,Organoheterocyclic compounds
135.0456,Phenyl acetate,C03765;C07086,Phenyl acetate / Benzeneacetic acid,Benzeneacetic acid,Benzenoids,Other
136.0404,2-Aminobenzoic acid,C00108;C00568,2-Aminobenzoic acid / p-Aminobenzoic acid,p-Aminobenzoic acid,Benzenoids,Other
138.9798,Acetyl-P,C00227;C05682,Acetyl-P / Phosphonoacetate,Phosphonoacetate,Other organic acids,Other
139.976,Carbamoyl phosphate,C00169,Carbamoyl phosphate,,Other organic acids,Other
142.0873,Crotonobetaine,C04114;C10172,Crotonobetaine / Stachydrine,Stachydrine,Unknown,Unknown
143.108,Octanoic acid,C06423,Octanoic acid,,Lipid-like molecules,Lipid-like molecules
145.0145,Oxoglutarate,C00026,Oxoglutarate / alpha-Ketoglutarate,alpha-Ketoglutarate,Keto / hydroxy acids,Keto / hydroxy acids
145.0508,2-Aceto-2-hydroxybutanoate,C00966;C06006;C06762;C14463;C16272,(R)-3-Hydroxy-3-methyl-2-oxopentanoate / 2-Aceto-2-hydroxybutanoate / 2-Dehydropantoate / 3-Hydroxy-5-oxohexanoate / 4-Hydroxy-2-oxohexanoic acid,(R)-3-Hydroxy-3-methyl-2-oxopentanoate / 2-Dehydropantoate / 3-Hydroxy-5-oxohexanoate / 4-Hydroxy-2-oxohexanoic acid,Keto / hydroxy acids,Keto / hydroxy acids
145.0621,Glutamine,C00064;C00819;C05100,Glutamine / Ureidoisobutyric acid,Ureidoisobutyric acid,Amino acids,Amino acids
145.0986,Lysine,C00047,Lysine,,Amino acids,Amino acids
145.1098,gamma-Butyrobetaine,C01181,gamma-Butyrobetaine,,Lipid-like molecules,Lipid-like molecules
146.046,Glutamate,C00025;C00217;C00979,Glutamate / Glutamic acid / O-Acetylserine,Glutamic acid / O-Acetylserine,Amino acids,Amino acids
147.0299,Hydroxyglutarate,C02630;C03196;C06032,Hydroxyglutarate / Erythro-3-Methylmalate,Erythro-3-Methylmalate,Lipid-like molecules,Lipid-like molecules
147.0664,"(R) 2,3-Dihydroxy-3-methylvalerate",C00522;C06007,"(R) 2,3-Dihydroxy-3-methylvalerate / (R)-Pantoate",(R)-Pantoate,Lipid-like molecules,Lipid-like molecules
148.044,Methionine,C00073;C00855,Methionine,,Amino acids,Amino acids
149.0096,Tartaric acid,C00552;C00898,Tartaric acid / Tartaric acid,,Keto / hydroxy acids,Keto / hydroxy acids
149.0455,Pentose,C00121;C00181;C00216;C00259;C00309;C00310;C00312;C00476;C00508;C01508;C08353;C16639,Pentose / Lyxose / Ribose / Ribulose / Threo-2-pentulose / Xylose / Xylulose / beta-Ribopyranose / beta-ribofuranose,Lyxose / Ribose / Ribulose / Threo-2-pentulose / Xylose / Xylulose / beta-Ribopyranose / beta-ribofuranose,Organoheterocyclic compounds;Organic oxygen compounds,Mixed
150.0425,Guanine,C00242,Guanine,,Organoheterocyclic compounds,Organoheterocyclic compounds
151.0264,Xanthine,C00385,Xanthine,,Organoheterocyclic compounds,Organoheterocyclic compounds
151.0609,Xylitol,C00474;C00532,Xylitol / Ribitol,Ribitol,Unknown,Unknown
152.0021,3-Sulfino-L-alanine,C00606,3-Sulfino-L-alanine,,Amino acids,Amino acids
152.0356,3-Hydroxyanthranilate,C00632,3-Hydroxyanthranilate,,Benzenoids,Other
152.0716,Dopamine,C03758,Dopamine,,Benzenoids,Other
153.0193,2-Pyrocatechuic acid,C00196,2-Pyrocatechuic acid,,Benzenoids,Other
154.0623,Histidine,C00135,Histidine,,Amino acids,Amino acids
154.9751,2-Phosphoglycolate,C00988,2-Phosphoglycolate,,Other organic acids,Other
155.0099,Orotate,C00295,Orotate,,Organoheterocyclic compounds,Organoheterocyclic compounds
157.0256,Dihydroorotate,C00337,Dihydroorotate,,Amino acids,Amino acids
157.0504,Isopropylmaleate,C02631,Isopropylmaleate,,Lipid-like molecules,Lipid-like molecules
157.0646,(2-Naphthyl)methanol,C02909;C14089,(2-Naphthyl)methanol / 1-Hydroxymethylnaphthalene,1-Hydroxymethylnaphthalene,Benzenoids,Other
159.03,Oxoadipate,C00322,Oxoadipate,,Keto / hydroxy acids,Keto / hydroxy acids
159.0773,Alanyl-alanine,C00993,Alanyl-alanine,,Amino acids,Amino acids
160.0616,Aminoadipate,C00956,Aminoadipate,,Unknown,Unknown
161.0455,2-Dehydro-3-deoxy-rhamnonate,C02488;C03979,2-Dehydro-3-deoxy-rhamnonate / 2-Ethylmalate,2-Ethylmalate,Unknown,Unknown
163.0397,3-Hydroxycinnamic acid,C00166;C12621,3-Hydroxycinnamic acid / Phenylpyruvic acid,Phenylpyruvic acid,Phenylpropanoids and polyketides;Benzenoids,Other
163.0614,2-Deoxyglucose,C00507;C00586;C00861;C01019;C01721;C02338;C02476;C20835;C20836,2-Deoxyglucose / Fucose / Fuculose / Rhamnose / Rhamnulose / alpha-Fucopyranose / alpha-Fucose / alpha-Rhamnose / beta-Fucopyranose / beta-Rhamnose,Fucose / Fuculose / Rhamnose / Rhamnulose / alpha-Fucopyranose / alpha-Fucose / alpha-Rhamnose / beta-Fucopyranose / beta-Rhamnose,Lipid-like molecules;Organic oxygen compounds,Mixed
164.038,Met-oxide,C02989;C15998;C15999,Methionine (R)-S-oxide / Met-oxide / methionine (S)-S-oxide,Methionine (R)-S-oxide / methionine (S)-S-oxide,Amino acids,Amino acids
164.0717,Phenylalanine,C00079;C02265,Phenylalanine,,Amino acids,Amino acids
165.0551,3-(2-Hydroxyphenyl)propanoate,C05607;C11457,3-(2-Hydroxyphenyl)propanoate / 3-(3-Hydroxyphenyl)propionate / Phenyllactic acid,3-(3-Hydroxyphenyl)propionate / Phenyllactic acid,Phenylpropanoids and polyketides,Other
166.0507,Pyridoxal,C00250,Pyridoxal,,Organoheterocyclic compounds,Organoheterocyclic compounds
166.9752,Phosphoenolpyruvate,C00074,Phosphoenolpyruvate,,Other organic acids,Other
167.021,Urate,C00366,Urate,,Organoheterocyclic compounds,Organoheterocyclic compounds
167.0827,Pyridoxamine,C00534,Pyridoxamine,,Organoheterocyclic compounds,Organoheterocyclic compounds
168.0667,Pyridoxine,C00314,Pyridoxine,,Organoheterocyclic compounds,Organoheterocyclic compounds
169.0503,"3,4-Dihydroxyphenylethyleneglycol",C05576,"3,4-Dihydroxyphenylethyleneglycol",,Benzenoids,Other
170.0454,"2,3,4,5-Tetrahydrodipicolinate",C03972,"2,3,4,5-Tetrahydrodipicolinate",,Amino acids,Amino acids
170.0825,Homoserine lactone,C11837,Homoserine lactone,,Unknown,Unknown
171.0064,sn-Glycerol 3-phosphate,C00093;C00623;C02979;C03189,Glycerol 2-phosphate / sn-Glycerol 3-phosphate / Sn-Glycerol-1-phosphate / glycerol-3-phosphate,Glycerol 2-phosphate / Sn-Glycerol-1-phosphate / glycerol-3-phosphate,Lipid-like molecules,Lipid-like molecules
172.0615,Acetyl-Glu-semialdehyde,C01250,Acetyl-Glu-semialdehyde,,Amino acids,Amino acids
173.0092,Aconitate,C00417;C02341,Aconitate / trans-Aconitic acid,trans-Aconitic acid,Carboxylic acids,Carboxylic acids
173.0455,Shikimate,C00493;C04236,2-Isopropyl-3-oxosuccinate / Shikimate,2-Isopropyl-3-oxosuccinate,Organic oxygen compounds;Keto / hydroxy acids,Mixed
173.0932,Acetylornithine,C00437,Acetylornithine,,Amino acids,Amino acids
173.1041,Arginine,C00062,Arginine,,Amino acids,Amino acids
174.0409,Acetyl-Asp,C01042,Acetyl-Asp,,Unknown,Unknown
174.088,Citrulline,C00327,Citrulline,,Amino acids,Amino acids
175.0245,Hexuronic acid,C00072;C04053;C04349,"(4S)-4,6-Dihydroxy-2,5-dioxohexanoate / 5-Dehydro-4-deoxy-glucuronate / Hexuronic acid","(4S)-4,6-Dihydroxy-2,5-dioxohexanoate / 5-Dehydro-4-deoxy-glucuronate",Organoheterocyclic compounds;Keto / hydroxy acids,Mixed
175.0364,Ureidosuccinic acid,C00438,Ureidosuccinic acid,,Amino acids,Amino acids
175.061,3-Propylmalate,C02504;C04411,2-Isopropylmalic acid / 3-Carboxy-3-hydroxy-isocaproate / 3-Propylmalate,2-Isopropylmalic acid / 3-Carboxy-3-hydroxy-isocaproate,Lipid-like molecules;Keto / hydroxy acids,Mixed
177.0405,Glucono-lactone,C00198;C00204;C01216;C03383;C03926,2-Dehydro-3-deoxy-galactonate / 2-Keto-3-deoxy-gluconic acid / 3-Dehydro-2-deoxy-gluconate / Galactonolactone / Glucono-lactone,2-Dehydro-3-deoxy-galactonate / 2-Keto-3-deoxy-gluconic acid / 3-Dehydro-2-deoxy-gluconate / Galactonolactone,Organic oxygen compounds;Keto / hydroxy acids,Mixed
178.017,S-Carboxymethyl-Cys,C03727,S-Carboxymethyl-Cys,,Unknown,Unknown
178.051,N-Acetylanthranilate,C06332,N-Acetylanthranilate,,Benzenoids,Other
179.036,3-(4-Hydroxyphenyl)pyruvate,C01179;C12623,"3-(4-Hydroxyphenyl)pyruvate / Trans-2,3-Dihydroxycinnamate","Trans-2,3-Dihydroxycinnamate",Phenylpropanoids and polyketides;Benzenoids,Other
179.0561,2-Deoxygluconate,C00031;C00095;C00124;C00137;C00159;C00221;C00247;C00267;C00962;C00984;C01487;C01934;C02782,2-Deoxygluconate / Allose / Alpha-Galactose / Fructose / Galactose / Glucose / Inositol / Mannose / Myoinositol / Rhamnonate / Sorbose / alpha-Glucose / b-Glucose / beta-Galactose,Allose / Alpha-Galactose / Fructose / Galactose / Glucose / Inositol / Mannose / Myoinositol / Rhamnonate / Sorbose / alpha-Glucose / b-Glucose / beta-Galactose,Organic oxygen compounds;Keto / hydroxy acids,Mixed
180.0664,Tyrosine,C00082;C06420,Tyrosine,,Amino acids,Amino acids
181.051,3-(4-Hydroxyphenyl)lactate,C04044;C12622,"3-(2,3-Dihydroxyphenyl)propanoate / 3-(4-Hydroxyphenyl)lactate / cis-3-(3-Carboxyethenyl)-3,5-cyclohexadiene-1,2-diol","3-(2,3-Dihydroxyphenyl)propanoate / cis-3-(3-Carboxyethenyl)-3,5-cyclohexadiene-1,2-diol",Unknown,Unknown
183.0061,"L-3,4-Dihydroxybutan-2-one 4-P",C15556,"1-Deoxy-glycero-tetrulose 4-phosphate / 3,4-Dihydroxy-2-butanone-4-P / L-3,4-Dihydroxybutan-2-one 4-P","1-Deoxy-glycero-tetrulose 4-phosphate / 3,4-Dihydroxy-2-butanone-4-P",Other organic acids,Other
184.0017,Phosphoserine,C01005;C02532,O-Phospho-serine / Phosphoserine,O-Phospho-serine,Amino acids,Amino acids
184.9853,Phosphoglycerate,C00197;C00597;C00631,2-Phospho-glyceric acid / 3-Phospho-glycerate / Phosphoglycerate,2-Phospho-glyceric acid / 3-Phospho-glycerate,Organic oxygen compounds,Organic oxygen compounds
187.1459,"7,8-Diaminononanoate",C01037,"7,8-Diaminononanoate",,Lipid-like molecules,Lipid-like molecules
188.0566,Acetyl-Glu,C00624,Acetyl-Glu,,Amino acids,Amino acids
189.0022,Oxalosuccinate,C05379,Oxalosuccinate,,Carboxylic acids,Carboxylic acids
189.0404,3-Dehydroquinate,C00944,3-Dehydroquinate,,Keto / hydroxy acids,Keto / hydroxy acids
189.088,Diaminopimelate,C00666;C00680,"Diaminopimelate / Meso-2,6-Diaminoheptanedioate","Meso-2,6-Diaminoheptanedioate",Amino acids,Amino acids
190.055,Acetyl-Met,C02712,Acetyl-Met,,Unknown,Unknown
191.0196,(Iso)Citrate,C00158;C00311;C00679;C02780;C03921;C04575,"2,3-Diketo-gulonate / 2,5-Diketo-gluconate / 2-Dehydro-3-deoxy-glucarate / 5-Dehydro-4-deoxy-glucarate / Citric acid / (Iso)Citrate","2,3-Diketo-gulonate / 2,5-Diketo-gluconate / 2-Dehydro-3-deoxy-glucarate / 5-Dehydro-4-deoxy-glucarate / Citric acid",Keto / hydroxy acids;Carboxylic acids,Mixed
191.0561,Quinate,C00296,Quinate,,Organic oxygen compounds,Organic oxygen compounds
192.0666,3-Carbamoyl-2-phenylpropionaldehyde,C16587;C16595,"3-Carbamoyl-2-phenylpropionaldehyde / 4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one","4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one",Benzenoids,Other
193.0352,Hexuronate,C00191;C00333;C00558;C00618;C00905;C01062;C06473,2-Dehydro-gluconate / 3-Dehydro-gulonate / 5-Keto-gluconate / Hexuronate / Galacturonate / Glucuronic acid / Tagaturonate,2-Dehydro-gluconate / 3-Dehydro-gulonate / 5-Keto-gluconate / Galacturonate / Glucuronic acid / Tagaturonate,Organic oxygen compounds;Keto / hydroxy acids,Mixed
193.0719,Methyl-beta-galactoside,C03619,Methyl-beta-galactoside,,Unknown,Unknown
194.0686,"2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine",C01300,"2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine / 6-Hydroxymethyl dihydropterin",6-Hydroxymethyl dihydropterin,Organoheterocyclic compounds,Organoheterocyclic compounds
195.0508,Hexonic acid,C00257;C00514;C00770;C00800;C00817;C00880;C15930,Altronate / Galactonate / Hexonic acid / Gluconic acid / Gulonate / Idonate / Mannonate,Altronate / Galactonate / Gluconic acid / Gulonate / Idonate / Mannonate,Keto / hydroxy acids,Keto / hydroxy acids
198.088,gamma-Glutamyl-beta-aminopropiononitrile,C06114,gamma-Glutamyl-beta-aminopropiononitrile,,Amino acids,Amino acids
199.0014,D-Erythrose 4-phosphate,C00279,D-Erythrose 4-phosphate,,Other organic acids,Other
199.1703,Dodecanoic acid (FA12:0),C02679,Dodecanoic acid (FA12:0),,Unknown,Unknown
203.0348,"1,4-Dihydroxy-2-naphthoate",C03657,"1,4-Dihydroxy-2-naphthoate",,Benzenoids,Other
203.0824,Tryptophan,C00078,Tryptophan,,Amino acids,Amino acids
204.0508,Lipoamide,C00248,Lipoamide,,Organoheterocyclic compounds,Organoheterocyclic compounds
205.0353,"(R)-2-Hydroxybutane-1,2,4-tricarboxylate",C00725;C02225;C04593;C16241,"(R)-2-Hydroxybutane-1,2,4-tricarboxylate / Lipoate / Methylcitric acid / Methylisocitric acid / lipoate",Lipoate / Methylcitric acid / Methylisocitric acid / lipoate,Organoheterocyclic compounds;Carboxylic acids,Mixed
211.9967,2-Amino-3-oxo-4-phosphonooxybutyrate,C03082;C07335,2-Amino-3-oxo-4-phosphonooxybutyrate / Aspartyl-4-phosphate,Aspartyl-4-phosphate,Amino acids,Amino acids
212.9812,2-Oxo-3-hydroxy-4-phosphobutanoate,C06054,2-Oxo-3-hydroxy-4-phosphobutanoate,,Keto / hydroxy acids,Keto / hydroxy acids
213.0161,2-Deoxy-D-ribose 1-phosphate,C00672;C00673;C11437,1-Deoxy-xylulose 5-phosphate / 2-Deoxy-D-ribose 1-phosphate / Deoxyribose 5-phosphate,1-Deoxy-xylulose 5-phosphate / Deoxyribose 5-phosphate,Other organic acids;Organic oxygen compounds,Mixed
214.0117,O-Phospho-4-hydroxy-L-threonine,C06055,O-Phospho-4-hydroxy-L-threonine,,Amino acids,Amino acids
214.0491,sn-Glycero-3-phosphoethanolamine,C01233,sn-Glycero-3-phosphoethanolamine,,Lipid-like molecules,Lipid-like molecules
215.0326,2-C-Methyl-D-erythritol 4-phosphate,C11434,2-C-Methyl-D-erythritol 4-phosphate,,Other organic acids,Other
216.1344,gamma-Glutamyl-putrescine,C15699,gamma-Glutamyl-putrescine,,Amino acids,Amino acids
218.0332,4-Amino-2-methyl-5-phosphomethylpyrimidine,C04556,4-Amino-2-methyl-5-phosphomethylpyrimidine / 4-amino-5-phosphonooxymethyl-2-methylpyrimidine,4-amino-5-phosphonooxymethyl-2-methylpyrimidine,Other organic acids,Other
218.1034,Pantothenate,C00864,Pantothenate,,Amino acids,Amino acids
220.0487,L-Histidinol phosphate,C01100,L-Histidinol phosphate,,Other organic acids,Other
220.0825,N-Acetyl-D-glucosamine,C00140;C00645;C05021,N-Acetyl-b-galactosamine / N-Acetyl-D-glucosamine / N-Acetylglucosamine / N-Acetylmannosamine,N-Acetyl-b-galactosamine / N-Acetylglucosamine / N-Acetylmannosamine,Organic oxygen compounds,Organic oxygen compounds
221.0668,6-Acetyl-D-glucose,C02655,6-Acetyl-D-glucose,,Unknown,Unknown
225.0403,Chorismate,C00251;C00254;C00885,Chorismate / Isochorismate / Prephenate,Isochorismate / Prephenate,Keto / hydroxy acids;Carboxylic acids,Mixed
226.0125,L-Glutamyl 5-phosphate,C03287,L-Glutamyl 5-phosphate,,Amino acids,Amino acids
227.2016,Myristic acid,C06424,Myristic acid,,Unknown,Unknown
228.0266,5-Phosphoribosylamine,C03090,5-Phosphoribosylamine,,Organic oxygen compounds,Organic oxygen compounds
229.0119,Arabinose 5-phosphate,C00117;C00199;C00231;C00620;C01101;C01112;C03291,Arabinose 5-phosphate / Ribose-1-phosphate / Ribose-5-phosphate / Ribulose 5-phosphate / Xylulose 5-phosphate,Ribose-1-phosphate / Ribose-5-phosphate / Ribulose 5-phosphate / Xylulose 5-phosphate,Other organic acids;Organic oxygen compounds,Mixed
230.0676,N2-Succinyl-glutamic acid 5-semialdehyde,C05932,N2-Succinyl-glutamic acid 5-semialdehyde,,Amino acids,Amino acids
236.0782,Sepiapterin,C03684,Sepiapterin,,Organoheterocyclic compounds,Organoheterocyclic compounds
237.0611,3-Deoxy-D-manno-octulosonate,C01187,3-Deoxy-D-manno-octulosonate,,Keto / hydroxy acids,Keto / hydroxy acids
240.0514,"N-(2,3-Dihydroxybenzoyl)-L-serine",C04204,"N-(2,3-Dihydroxybenzoyl)-L-serine",,Unknown,Unknown
241.0834,Thymidine,C00214,Thymidine,,Nucleotides / nucleosides,Nucleotides / nucleosides
242.079,Cytidine,C00475;C05711,Cytidine / gamma-Glutamyl-beta-cyanoalanine,gamma-Glutamyl-beta-cyanoalanine,Amino acids;Nucleotides / nucleosides,Mixed
243.0632,Uridine,C00299;C02067,Pseudouridine / Uridine,Pseudouridine,Nucleotides / nucleosides;Organoheterocyclic compounds,Mixed
253.0119,Shikimate 3-phosphate,C03175,Shikimate 3-phosphate,,Other organic acids,Other
253.0499,5-L-Glutamyl-taurine,C05844,5-L-Glutamyl-taurine,,Amino acids,Amino acids
254.9905,L-Ascorbate 6-phosphate,C16186,L-Ascorbate 6-phosphate,,Unknown,Unknown
257.0063,"D-Glucono-1,5-lactone 6-phosphate",C01236;C01286;C04442,"D-Glucono-1,5-lactone 6-phosphate / 2-Dehydro-3-deoxy-galactonate-6-phosphate / 2-Keto-3-deoxy-6-phosphogluconic acid / 6-Phosphonoglucono-lactone",2-Dehydro-3-deoxy-galactonate-6-phosphate / 2-Keto-3-deoxy-6-phosphogluconic acid / 6-Phosphonoglucono-lactone,Organic oxygen compounds;Keto / hydroxy acids,Mixed
257.1027,sn-Glycero-3-phosphocholine,C00670,sn-Glycero-3-phosphocholine,,Lipid-like molecules,Lipid-like molecules
