DO [%],FA [mL/h],FB [mL/h],N [rpm],pH,Hours,Bioreactor,CarbonSource
97.337,0.0,0.0,399.737,7.018,0.9233333333333333,M7,L-Malate
97.337,0.0,0.0,399.737,7.018,0.9316666666666666,M7,L-Malate
97.337,0.0,0.0,399.902,7.018,0.9400000000000001,M7,L-Malate
97.337,0.0,0.0,401.102,7.018,0.9483333333333334,M7,L-Malate
97.337,0.0,0.0,398.551,7.018,0.9566666666666667,M7,L-Malate
97.337,0.0,0.0,400.447,7.018,0.965,M7,L-Malate
97.337,0.0,0.0,399.06,7.018,0.9733333333333334,M7,L-Malate
97.036,0.0,0.0,400.363,7.018,0.9816666666666667,M7,L-Malate
96.936,0.0,0.0,399.313,7.018,0.99,M7,L-Malate
96.415,0.0,0.0,400.935,7.018,0.9983333333333333,M7,L-Malate
96.415,0.0,0.0,399.331,7.018,1.0066666666666666,M7,L-Malate
96.415,0.0,0.0,399.331,7.018,1.015,M7,L-Malate
96.415,0.0,0.0,399.331,7.018,1.0233333333333332,M7,L-Malate
96.415,0.0,0.0,399.46,7.018,1.0316666666666665,M7,L-Malate
96.415,0.0,0.0,400.168,7.018,1.04,M7,L-Malate
96.415,0.0,0.0,399.196,7.02,1.0483333333333333,M7,L-Malate
96.415,0.0,0.0,400.535,7.02,1.0566666666666666,M7,L-Malate
96.415,0.0,0.0,400.486,7.02,1.065,M7,L-Malate
96.529,0.0,0.0,401.943,7.02,1.0733333333333333,M7,L-Malate
96.529,0.0,0.0,400.65,7.02,1.0816666666666666,M7,L-Malate
96.529,0.0,0.0,399.244,7.02,1.0899999999999999,M7,L-Malate
96.529,0.0,0.0,398.644,7.02,1.0983333333333332,M7,L-Malate
96.529,0.0,0.0,400.785,7.02,1.1066666666666667,M7,L-Malate
96.529,0.0,0.0,398.158,7.02,1.115,M7,L-Malate
96.529,0.0,0.0,399.84,7.021,1.1233333333333333,M7,L-Malate
96.529,1.236,0.0,400.292,7.021,1.1316666666666666,M7,L-Malate
96.529,0.0,0.0,401.534,7.021,1.14,M7,L-Malate
96.776,0.0,0.0,400.344,7.021,1.1483333333333332,M7,L-Malate
96.776,0.0,0.0,398.792,7.021,1.1566666666666665,M7,L-Malate
96.776,0.0,0.0,401.341,7.021,1.1649999999999998,M7,L-Malate
96.776,0.0,0.0,400.868,7.021,1.1733333333333333,M7,L-Malate
96.776,0.0,0.0,399.032,7.021,1.1816666666666666,M7,L-Malate
96.776,0.0,0.0,400.682,7.021,1.19,M7,L-Malate
96.776,0.0,0.0,400.682,7.018,1.1983333333333333,M7,L-Malate
96.776,0.0,0.0,400.682,7.018,1.2066666666666666,M7,L-Malate
96.776,0.0,0.0,400.682,7.018,1.2149999999999999,M7,L-Malate
96.313,0.0,0.0,400.07,7.018,1.2233333333333334,M7,L-Malate
96.313,0.0,0.0,397.96,7.018,1.2316666666666667,M7,L-Malate
96.313,0.0,0.0,399.821,7.018,1.24,M7,L-Malate
96.313,0.0,0.0,399.821,7.018,1.2483333333333333,M7,L-Malate
96.313,0.0,0.0,399.821,7.018,1.2566666666666666,M7,L-Malate
96.313,0.0,0.0,399.83,7.018,1.265,M7,L-Malate
96.313,0.0,0.0,397.055,7.021,1.2733333333333332,M7,L-Malate
96.313,0.0,0.0,400.971,7.021,1.2816666666666665,M7,L-Malate
96.313,0.0,0.0,400.971,7.021,1.2899999999999998,M7,L-Malate
96.623,0.0,0.0,400.971,7.021,1.2983333333333331,M7,L-Malate
96.623,0.0,0.0,400.186,7.021,1.3066666666666666,M7,L-Malate
96.623,0.0,0.0,398.474,7.021,1.315,M7,L-Malate
96.623,0.0,0.0,399.229,7.021,1.3233333333333333,M7,L-Malate
96.623,0.0,0.0,400.257,7.021,1.3316666666666666,M7,L-Malate
96.478,0.0,0.0,400.257,7.021,1.3399999999999999,M7,L-Malate
96.152,0.0,0.0,401.103,7.021,1.3483333333333332,M7,L-Malate
96.152,0.0,0.0,398.721,7.021,1.3566666666666667,M7,L-Malate
96.152,0.0,0.0,399.897,7.021,1.365,M7,L-Malate
96.156,0.0,0.0,399.897,7.021,1.3733333333333333,M7,L-Malate
96.678,0.0,0.0,399.897,7.021,1.3816666666666666,M7,L-Malate
96.678,0.0,0.0,399.897,7.021,1.39,M7,L-Malate
96.678,1.318,0.0,399.897,7.021,1.3983333333333332,M7,L-Malate
96.678,0.0,0.0,399.743,7.021,1.4066666666666665,M7,L-Malate
96.678,0.0,0.0,400.74,7.021,1.4149999999999998,M7,L-Malate
96.678,0.0,0.0,398.288,7.021,1.4233333333333333,M7,L-Malate
96.678,0.0,0.0,400.068,7.021,1.4316666666666666,M7,L-Malate
96.678,0.0,0.0,400.068,7.021,1.44,M7,L-Malate
96.678,0.0,0.0,400.068,7.021,1.4483333333333333,M7,L-Malate
96.812,0.0,0.0,400.068,7.021,1.4566666666666666,M7,L-Malate
96.812,0.0,0.0,400.068,7.021,1.4649999999999999,M7,L-Malate
96.812,0.0,0.0,398.785,7.021,1.4733333333333334,M7,L-Malate
96.812,0.0,0.0,401.328,7.021,1.4816666666666667,M7,L-Malate
96.812,1.298,0.0,402.368,7.021,1.49,M7,L-Malate
96.812,0.0,0.0,398.261,7.021,1.4983333333333333,M7,L-Malate
96.812,0.0,0.0,400.892,7.021,1.5066666666666666,M7,L-Malate
96.812,0.0,0.0,401.271,7.021,1.515,M7,L-Malate
96.812,0.0,0.0,400.172,7.021,1.5233333333333332,M7,L-Malate
96.718,0.0,0.0,400.172,7.021,1.5319444444444443,M7,L-Malate
96.718,0.0,0.0,400.172,7.021,1.5402777777777776,M7,L-Malate
96.718,0.0,0.0,399.468,7.021,1.548611111111111,M7,L-Malate
96.718,0.0,0.0,400.955,7.021,1.5569444444444445,M7,L-Malate
96.718,0.0,0.0,401.522,7.021,1.5652777777777778,M7,L-Malate
96.718,0.0,0.0,399.696,7.021,1.573611111111111,M7,L-Malate
96.718,0.0,0.0,401.55,7.021,1.5819444444444444,M7,L-Malate
96.718,0.0,0.0,401.55,7.021,1.590277777777778,M7,L-Malate
96.718,0.0,0.0,401.55,7.021,1.5986111111111112,M7,L-Malate
97.001,0.0,0.0,401.55,7.021,1.6069444444444445,M7,L-Malate
97.001,0.0,0.0,400.595,7.021,1.6152777777777778,M7,L-Malate
97.001,0.0,0.0,400.248,7.021,1.6236111111111111,M7,L-Malate
97.001,0.0,0.0,400.681,7.021,1.6319444444444444,M7,L-Malate
97.001,0.0,0.0,398.587,7.021,1.6402777777777777,M7,L-Malate
97.001,0.0,0.0,400.956,7.019,1.648611111111111,M7,L-Malate
97.001,0.0,0.0,400.956,7.019,1.6569444444444443,M7,L-Malate
97.001,0.0,0.0,400.956,7.019,1.6652777777777776,M7,L-Malate
97.001,0.0,0.0,400.956,7.019,1.673611111111111,M7,L-Malate
96.93,0.0,0.0,400.554,7.019,1.6819444444444442,M7,L-Malate
